規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.7,19.2,17.9,154.8,163.1,140.8,138.7,144.1,129.5,16.1,19,11.3
100～499人,18.7,19.2,17.8,152.6,163,133.7,137.7,145,124.5,14.9,18,9.2
100人以上,18.7,19.2,17.8,153.7,163.1,137.1,138.2,144.6,126.9,15.5,18.5,10.2
30～99人,18.5,19.3,17.3,144.6,160,123.8,132.5,144.2,116.8,12.1,15.8,7
５～29人,17.8,19,16.3,137.2,155.4,115,128.2,143.1,110.2,9,12.3,4.8
30人以上,18.6,19.2,17.6,150.5,162.1,132,136.2,144.5,123,14.3,17.6,9
５人以上,18.4,19.2,17.2,146.5,160.2,126.2,133.8,144.1,118.6,12.7,16.1,7.6
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年３月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
