規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.8,18.1,17.3,143.5,149.5,133.1,129.8,133.7,123,13.7,15.8,10.1
100～499人,17.5,18,16.6,143.3,153.3,126.4,129.1,136,117.4,14.2,17.3,9
100人以上,17.6,18.1,16.9,143.4,151.5,129.5,129.4,134.9,120,14,16.6,9.5
30～99人,17.2,17.8,16.4,138.3,150.1,121.6,125.9,134,114.3,12.4,16.1,7.3
５～29人,16.4,17.5,15.1,126.7,143.2,106.6,118.3,131.7,101.9,8.4,11.5,4.7
30人以上,17.5,18,16.7,141.6,151,126.6,128.2,134.6,117.9,13.4,16.4,8.7
５人以上,17.2,17.8,16.2,137.1,148.8,119.8,125.2,133.8,112.5,11.9,15,7.3
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年１月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
