規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,459427,453266,413269,39997,6161,130333,129380,121867,7513,953
100～499人,412065,402888,370642,32246,9177,154465,151967,147301,4666,2498
100人以上,434601,426859,390925,35934,7742,144958,143069,137281,5788,1889
30～99人,383341,376793,352046,24747,6548,96842,96394,93849,2545,448
５～29人,357109,346346,328214,18132,10763,91544,91132,88437,2695,412
30人以上,418581,411212,378774,32438,7369,122240,121031,116775,4256,1209
５人以上,402936,394703,365906,28797,8233,107823,106989,103466,3523,834
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年２月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
