規模,産業,１人平均支給額（円）,前年比（％）,支給事業所数割合（％）,支給労働者数割合（％）,平均支給月数（か月）,前年支給月数差（か月）
30人以上,調査産業計,625350,4.2,87.7,89.7,1.26,-0.11
30人以上,"鉱業,採石業,砂利採取業",－,－,－,－,－,－
30人以上,建設業,709863,18.7,87.4,94.2,1.58,0.28
30人以上,製造業,951058,15.4,89.3,92.2,1.54,0.15
30人以上,電気・ガス・熱供給・水道業,730261,-14.5,89,72,1.71,-0.76
30人以上,情報通信業,645313,-11.9,87.9,93.5,1.18,-0.49
30人以上,運輸業，郵便業,581655,6.9,86.9,89.2,1.21,-0.33
30人以上,卸売業，小売業,651965,-2.8,93.2,92.1,1.27,-0.05
30人以上,"金融業,保険業",1088347,-0.7,99.6,96,2.33,0.36
30人以上,不動産業，物品賃貸業,601914,-9.5,87.5,89,1.54,-0.13
30人以上,学術研究，専門・技術サービス業,804544,31,84.2,83.7,1.74,0.36
30人以上,宿泊業，飲食サービス業,107499,-22.9,81.2,81.2,0.4,-0.1
30人以上,生活関連サービス業，娯楽業,269995,-27.9,87.1,86.5,1.08,-0.12
30人以上,教育，学習支援業,550407,-4.8,99.3,99.4,1.37,-0.29
30人以上,医療，福祉,421911,11.3,79.8,80,1.22,0.02
30人以上,複合サービス事業,494019,0.1,100,100,1.45,-0.05
30人以上,サービス業（他に分類されないもの）,334162,17.8,83.6,82.5,1.08,-0.05
30～99人,調査産業計,410004,6.9,87.2,87.1,1.17,-0.13
30～99人,"鉱業,採石業,砂利採取業",－,－,－,－,－,－
30～99人,建設業,513657,15.7,83.4,85.8,1.4,0.21
30～99人,製造業,565256,35.6,88.3,85.6,1.33,0.22
30～99人,電気・ガス・熱供給・水道業,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
30～99人,情報通信業,350940,-36.4,88.4,88.5,1,-0.58
30～99人,運輸業，郵便業,336683,-40.7,84.6,81.6,1.12,-0.56
30～99人,卸売業，小売業,380498,-2.8,93.3,93.8,1.18,-0.06
30～99人,"金融業,保険業",976222,52.9,100,100,2.37,0.51
30～99人,不動産業，物品賃貸業,544435,1.3,86.3,85.8,1.47,-0.08
30～99人,学術研究，専門・技術サービス業,743529,110.4,83.4,82,1.73,0.51
30～99人,宿泊業，飲食サービス業,76756,-28.5,81.2,81.7,0.39,-0.08
30～99人,生活関連サービス業，娯楽業,284088,-6.6,86.4,81.6,1.11,-0.1
30～99人,教育，学習支援業,412007,-17.7,100,100,1.3,-0.33
30～99人,医療，福祉,352700,39.5,78.6,72,1.22,0.05
30～99人,複合サービス事業,459638,-3.2,100,100,1.46,-0.04
30～99人,サービス業（他に分類されないもの）,342991,14.7,83.9,85.5,1.07,-0.14
100～499人,調査産業計,569589,10.6,89.7,89.4,1.51,0.06
100～499人,"鉱業,採石業,砂利採取業",－,－,－,－,－,－
100～499人,建設業,733433,15.4,100,100,2.03,0.46
100～499人,製造業,864894,21.7,93.4,94.4,2.15,0.36
100～499人,電気・ガス・熱供給・水道業,ｘ,ｘ,ｘ,ｘ,ｘ,ｘ
100～499人,情報通信業,550661,-8.4,85.2,89.9,1.47,-0.23
100～499人,運輸業，郵便業,605895,41.1,92.7,92,1.38,0.24
100～499人,卸売業，小売業,590299,13,92.9,92.9,1.51,0.06
100～499人,"金融業,保険業",889428,-25.3,100,100,2.21,-0.04
100～499人,不動産業，物品賃貸業,491712,-19.9,89.5,88.4,1.62,-0.21
