規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,462781,547949,318249,415556,491294,287027,378987,36569,47225,56655,31222
100～499人,404184,473514,279214,366750,426800,258509,338798,27952,37434,46714,20705
100人以上,431860,508264,298025,389802,456909,272252,357780,32022,42058,51355,25773
30～99人,312620,380473,220235,301205,363940,215789,281978,19227,11415,16533,4446
５～29人,265890,331180,183965,253050,313724,176916,239320,13730,12840,17456,7049
30人以上,389845,466080,267843,358584,426220,250345,331071,27513,31261,39860,17498
５人以上,351717,427420,239428,326122,393980,225470,302848,23274,25595,33440,13958
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年１１月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
