規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,505784,461431,419473,41958,44353,143697,140152,132103,8049,3545
100～499人,520783,412157,380659,31498,108626,120930,118903,114184,4719,2027
100人以上,513602,435748,399242,36506,77854,130000,127368,121322,6046,2632
30～99人,404766,377249,351190,26059,27517,99879,98248,95087,3161,1631
５～29人,371803,350838,331976,18862,20965,93625,93086,90066,3020,539
30人以上,479548,417444,384207,33237,62104,115836,113675,108986,4689,2161
５人以上,452164,400516,370933,29583,51648,105436,104035,100127,3908,1401
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年３月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
