規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,465532,451438,412394,39044,14094,132087,131059,123154,7905,1028
100～499人,430554,407678,376738,30940,22876,117152,115814,110642,5172,1338
100人以上,447333,428670,393842,34828,18663,122709,121486,115297,6189,1223
30～99人,382445,373901,350169,23732,8544,95223,93817,90864,2953,1406
５～29人,367095,345928,328084,17844,21167,91013,89963,87035,2928,1050
30人以上,427157,411640,380262,31378,15517,109496,108185,103552,4633,1311
５人以上,411921,394971,367026,27945,16950,100754,99567,95740,3827,1187
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年１月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
