規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.9,159.5,142.1,17.4,13.2,86.5,82.5,4
100～499人,19.2,163.1,146.7,16.4,14.9,90,86.9,3.1
100人以上,19.1,161.4,144.5,16.9,14.2,88.5,85,3.5
30～99人,19.6,164.4,150.3,14.1,13.6,78.6,75.5,3.1
５～29人,20.6,171.3,159.3,12,13.3,80.9,78.1,2.8
30人以上,19.3,162.3,146.3,16,13.9,83.6,80.3,3.3
５人以上,19.6,164.6,149.6,15,13.6,82.3,79.3,3
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年１１月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
