規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,1219795,456838,417732,39106,762957,146224,131897,123936,7961,14327
100～499人,910044,411941,379220,32721,498103,137318,118725,113418,5307,18593
100人以上,1058570,433469,397686,35783,625101,141057,124255,117834,6421,16802
30～99人,835993,376996,351644,25352,458997,109403,98507,95580,2927,10896
５～29人,660244,347716,328399,19317,312528,104082,95720,92260,3460,8362
30人以上,988013,415567,383091,32476,572446,125433,111546,106849,4697,13887
５人以上,904671,398315,369185,29130,506356,115432,104133,100016,4117,11299
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年１２月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
