規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,420240,495597,294288,415399,489985,290735,381404,33995,4841,5612,3553
100～499人,377109,438487,265461,360904,417462,258023,335048,25856,16205,21025,7438
100人以上,397292,464774,279338,386405,450844,273770,356740,29665,10887,13930,5568
30～99人,322550,393721,227970,304032,368640,218175,286057,17975,18518,25081,9795
５～29人,261391,325962,180728,251356,312480,174999,238388,12968,10035,13482,5729
30人以上,371237,441727,259455,357690,424180,252251,332100,25590,13547,17547,7204
５人以上,337606,408674,232959,325134,392287,226251,303409,21725,12472,16387,6708
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年８月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
