規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,424230,497962,298765,412276,484571,289255,379589,32687,11954,13391,9510
100～499人,386835,454665,264800,363523,424113,254514,338831,24692,23312,30552,10286
100人以上,404445,474836,281095,386481,452279,271181,358024,28457,17964,22557,9914
30～99人,317799,385180,227355,305374,368179,221072,286989,18385,12425,17001,6283
５～29人,259599,321555,181720,251711,311283,176830,239293,12418,7888,10272,4890
30人以上,374084,445533,260246,358061,424792,251741,333133,24928,16023,20741,8505
５人以上,339029,410107,233825,325497,392357,226536,304400,21097,13532,17750,7289
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年９月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
