事業所規模,和暦年,西暦年,年平均・月,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５～29人,平成22,2010,年平均,20.5,167.1,156.7,10.4,14,85.9,83.8,2.1
５～29人,平成23,2011,年平均,20.3,167.3,156.9,10.4,13.8,83.1,81.5,1.6
５～29人,平成24,2012,年平均,20.5,168.7,157.7,11,13.8,82.8,80.7,2.1
５～29人,平成25,2013,年平均,20.4,168.5,157,11.5,13.5,80.2,77.9,2.3
５～29人,平成26,2014,年平均,20.3,168,156.2,11.8,13.2,79.2,76.7,2.5
５～29人,平成27,2015,年平均,20.3,169,157.1,11.9,13.2,80.9,78.1,2.8
５～29人,平成27,2015,1月,18.7,156.4,144.7,11.7,12.7,77.5,74.7,2.8
５～29人,平成27,2015,2月,20.3,169.3,157,12.3,13,78.4,75.8,2.6
５～29人,平成27,2015,3月,20.6,172.1,159.4,12.7,13.1,80.3,77.4,2.9
５～29人,平成27,2015,4月,21.4,177.8,165.6,12.2,13.4,81.3,78.5,2.8
５～29人,平成27,2015,5月,19.1,159.2,148.1,11.1,13.1,80,77.4,2.6
５～29人,平成27,2015,6月,21.2,175.4,164.3,11.1,13.7,82.6,80,2.6
５～29人,平成27,2015,7月,21.1,175.6,163.8,11.8,13.6,83.8,80.6,3.2
５～29人,平成27,2015,8月,19.8,166.2,154.6,11.6,13.1,81.7,78.8,2.9
５～29人,平成27,2015,9月,20.2,168.6,157,11.6,13.3,81.8,78.8,3
５～29人,平成27,2015,10月,20,166.5,154.7,11.8,13.3,80.6,77.9,2.7
５～29人,平成27,2015,11月,20.6,171.3,159.3,12,13.3,80.9,78.1,2.8
５～29人,平成27,2015,12月,20.2,169.3,156.7,12.6,13.3,81.6,78.6,3
30～99人,平成22,2010,年平均,19.7,162.3,149.7,12.6,13.9,80.6,77.6,3
30～99人,平成23,2011,年平均,19.6,161.7,148.9,12.8,14,83.2,79.7,3.5
30～99人,平成24,2012,年平均,20,169.7,154.1,15.6,15.5,89.9,87.2,2.7
30～99人,平成25,2013,年平均,19.8,168.5,152.6,15.9,15.1,86.7,84,2.7
30～99人,平成26,2014,年平均,19.7,168.2,151.9,16.3,14.9,86.1,83.4,2.7
30～99人,平成27,2015,年平均,19.6,164.7,150.2,14.5,13.9,78.9,76.2,2.7
30～99人,平成27,2015,1月,18.1,152.4,138.1,14.3,13.5,75.7,73.2,2.5
30～99人,平成27,2015,2月,19.3,162.4,147.4,15,13.7,77.1,74.8,2.3
30～99人,平成27,2015,3月,20,168.1,152.6,15.5,14.1,78.9,76.3,2.6
30～99人,平成27,2015,4月,20.7,173.2,158.3,14.9,14.4,80.5,77.8,2.7
30～99人,平成27,2015,5月,18.5,155,141.1,13.9,13.8,79.4,76.7,2.7
30～99人,平成27,2015,6月,20.7,173.3,157.5,15.8,14.3,80.7,78.2,2.5
30～99人,平成27,2015,7月,21,183.8,166.8,17,14.3,81.4,78.5,2.9
30～99人,平成27,2015,8月,19.1,158.6,145.9,12.7,13.5,77.7,74.7,3
30～99人,平成27,2015,9月,19.2,161.9,148.6,13.3,13.9,79.4,76.4,3
30～99人,平成27,2015,10月,19.5,161.4,148,13.4,13.9,79.4,76.7,2.7
30～99人,平成27,2015,11月,19.6,164.4,150.3,14.1,13.6,78.6,75.5,3.1
30～99人,平成27,2015,12月,19.3,161.8,148,13.8,13.7,78.7,76.1,2.6
100～499人,平成22,2010,年平均,19.4,162.6,146.4,16.2,14.7,93.7,89.8,3.9
100～499人,平成23,2011,年平均,19.3,161.4,146.1,15.3,14.5,90.9,87.2,3.7
100～499人,平成24,2012,年平均,19.7,165.4,149.1,16.3,14.8,92.7,88.7,4
100～499人,平成25,2013,年平均,19.4,163.2,147,16.2,14.5,90.9,86.7,4.2
100～499人,平成26,2014,年平均,19.2,162.3,145.8,16.5,14.4,90.6,86.4,4.2
100～499人,平成27,2015,年平均,19.2,162.7,146.4,16.3,14.9,90.8,87.7,3.1
100～499人,平成27,2015,1月,18,152.9,137.2,15.7,14.3,86.5,83.4,3.1
100～499人,平成27,2015,2月,18.7,158.8,142.3,16.5,14.5,89.6,86.6,3
100～499人,平成27,2015,3月,19.6,165.6,148.3,17.3,14.7,91.3,87.8,3.5
100～499人,平成27,2015,4月,20.4,172,155,17,15.4,93.5,90.2,3.3
100～499人,平成27,2015,5月,18.3,155.2,139.5,15.7,14.4,87.6,84.5,3.1
100～499人,平成27,2015,6月,20.2,170.1,154,16.1,15.6,93.8,90.9,2.9
100～499人,平成27,2015,7月,20.5,172.8,156.5,16.3,15.6,94.2,91.1,3.1
100～499人,平成27,2015,8月,18.9,160.1,144.6,15.5,14.9,91.3,88.4,2.9
100～499人,平成27,2015,9月,18.7,158,142.1,15.9,15,90.7,87.6,3.1
100～499人,平成27,2015,10月,19.3,163.2,146.7,16.5,15,91,88,3
100～499人,平成27,2015,11月,19.2,163.1,146.7,16.4,14.9,90,86.9,3.1
100～499人,平成27,2015,12月,18.8,160,143.4,16.6,14.9,91.3,87.6,3.7
500人以上,平成22,2010,年平均,19.2,161.3,144.7,16.6,14.8,94.9,91,3.9
500人以上,平成23,2011,年平均,19.2,161.4,145,16.4,15.1,98,94.3,3.7
500人以上,平成24,2012,年平均,19.5,161.7,146.1,15.6,14.5,90.8,86.6,4.2
