規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,1088158,460778,422227,38551,627380,143275,134162,127302,6860,9113
100～499人,795797,407092,376582,30510,388705,129294,121383,116994,4389,7911
100人以上,933410,432362,398067,34295,501048,135215,126795,121360,5435,8420
30～99人,666740,385349,359212,26137,281391,106166,100847,97781,3066,5319
５～29人,493160,346910,330148,16762,146250,99612,95307,92617,2690,4305
30人以上,848233,417345,385656,31689,430888,121143,114225,109938,4287,6918
５人以上,758297,399505,371597,27908,358792,111075,105379,101839,3540,5696
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年６月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
