規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,451549,531325,316226,425403,501095,297008,386490,38913,26146,30230,19218
100～499人,397109,460969,280952,364994,422942,259592,336397,28597,32115,38027,21360
100人以上,422349,493147,297697,393002,458686,277354,359622,33380,29347,34461,20343
30～99人,319901,387398,229895,307670,371466,222598,288242,19428,12231,15932,7297
５～29人,266227,333882,185359,255512,318029,180786,243169,12343,10715,15853,4573
30人以上,387002,459238,271665,363560,430718,256331,334994,28566,23442,28520,15334
５人以上,349982,423974,242033,330441,399018,230394,306848,23593,19541,24956,11639
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年４月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
