規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.6,17.8,17.2,144.5,150.3,134.7,129.4,132.9,123.5,15.1,17.4,11.2
100～499人,17.7,18,17.1,144.2,152.3,129.7,130.6,136.1,120.7,13.6,16.2,9
100人以上,17.6,17.9,17.1,144.3,151.4,132.1,130,134.6,122,14.3,16.8,10.1
30～99人,17.3,18,16.4,135.5,148.8,118,124.5,134.4,111.4,11,14.4,6.6
５～29人,16.9,17.9,15.7,130,145.4,111.2,122,134.6,106.7,8,10.8,4.5
30人以上,17.5,17.9,16.9,141.3,150.5,126.6,128.1,134.5,117.9,13.2,16,8.7
５人以上,17.3,17.9,16.5,137.8,149.1,121.4,126.2,134.6,114.1,11.6,14.5,7.3
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年５月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
