事業所規模,和暦年,西暦年,年平均・月,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５～29人,平成22,2010,年平均,18.3,19.4,16.9,139.9,156,119.1,132.3,146,114.6,7.6,10,4.5
５～29人,平成23,2011,年平均,18.1,19.2,16.7,138.4,154.4,118,131,144.4,113.9,7.4,10,4.1
５～29人,平成24,2012,年平均,18.1,19.3,16.8,138.9,155.5,119,131,144.8,114.4,7.9,10.7,4.6
５～29人,平成25,2013,年平均,17.9,19,16.5,136.8,153.4,117,128.6,142.4,112.1,8.2,11,4.9
５～29人,平成26,2014,年平均,17.6,18.8,16.2,134.6,151.7,114.3,126.3,140.5,109.4,8.3,11.2,4.9
５～29人,平成27,2015,年平均,17.6,18.8,16.2,136.1,153.3,115,127.6,141.7,110.3,8.5,11.6,4.7
５～29人,平成27,2015,1月,16.4,17.5,15.1,126.8,143.1,106.8,118.5,131.8,102.1,8.3,11.3,4.7
５～29人,平成27,2015,2月,17.6,18.8,16,135.2,153.2,113.3,126.5,141.1,108.8,8.7,12.1,4.5
５～29人,平成27,2015,3月,17.8,19,16.3,137.2,155.4,115,128.2,143.1,110.2,9,12.3,4.8
５～29人,平成27,2015,4月,18.4,19.7,16.9,141.9,160,120.3,133.2,148.2,115.3,8.7,11.8,5
５～29人,平成27,2015,5月,16.9,17.9,15.7,130,145.4,111.2,122,134.6,106.7,8,10.8,4.5
５～29人,平成27,2015,6月,18.4,19.6,17,140.9,158.4,120,133,147.6,115.5,7.9,10.8,4.5
５～29人,平成27,2015,7月,18.3,19.5,16.8,141.7,159.1,119.9,133.1,147.4,115.2,8.6,11.7,4.7
５～29人,平成27,2015,8月,17.3,18.6,15.8,134.7,152,113.3,126.4,140.6,108.8,8.3,11.4,4.5
５～29人,平成27,2015,9月,17.7,18.8,16.2,136.4,153.4,115,128,141.9,110.5,8.4,11.5,4.5
５～29人,平成27,2015,10月,17.5,18.6,16,134.6,151.4,113.5,126.2,139.9,108.9,8.4,11.5,4.6
５～29人,平成27,2015,11月,17.9,19.1,16.3,137.4,154.6,115.8,128.9,143.1,111,8.5,11.5,4.8
５～29人,平成27,2015,12月,17.6,18.8,16.2,136.2,152.7,115.5,127.2,140.6,110.5,9,12.1,5
30～99人,平成22,2010,年平均,18.5,19.3,17.3,144.4,156.6,126.9,133.9,143.8,119.6,10.5,12.8,7.3
30～99人,平成23,2011,年平均,18.3,19.2,17.1,143.6,156.9,124.6,132.9,143.6,117.7,10.7,13.3,6.9
30～99人,平成24,2012,年平均,18.9,19.6,18,150.8,164.7,130.7,138.2,148.2,123.8,12.6,16.5,6.9
30～99人,平成25,2013,年平均,18.7,19.3,17.7,148.9,162.7,128.7,136.2,146.1,121.6,12.7,16.6,7.1
30～99人,平成26,2014,年平均,18.6,19.3,17.6,149,162.5,129.6,135.9,145.5,122.1,13.1,17,7.5
30～99人,平成27,2015,年平均,18.1,18.9,17,142.3,157.1,122.6,130.9,142.1,116,11.4,15,6.6
30～99人,平成27,2015,1月,16.9,17.7,16,132.4,146.8,113.4,121.2,131.7,107.3,11.2,15.1,6.1
30～99人,平成27,2015,2月,17.8,18.7,16.7,140.3,155.5,120,128.6,139.9,113.5,11.7,15.6,6.5
30～99人,平成27,2015,3月,18.5,19.3,17.3,144.6,160,123.8,132.5,144.2,116.8,12.1,15.8,7
30～99人,平成27,2015,4月,19.1,19.9,17.9,148.6,163.6,128.7,137,148.6,121.5,11.6,15,7.2
30～99人,平成27,2015,5月,17.3,18,16.4,135.5,148.8,118,124.5,134.4,111.4,11,14.4,6.6
30～99人,平成27,2015,6月,19,19.9,17.9,149.5,165.3,128.4,137.1,148.7,121.7,12.4,16.6,6.7
30～99人,平成27,2015,7月,19.2,20,18.1,157.1,174.5,134,143.8,156.9,126.4,13.3,17.6,7.6
30～99人,平成27,2015,8月,17.6,18.4,16.6,137.7,151.6,119.2,127.5,138.2,113.2,10.2,13.4,6
30～99人,平成27,2015,9月,17.9,18.6,16.9,140.8,154.6,122.2,130.1,140.6,116,10.7,14,6.2
30～99人,平成27,2015,10月,18,18.8,17,139.9,154,120.9,129.3,140.1,114.7,10.6,13.9,6.2
30～99人,平成27,2015,11月,18,18.8,16.9,141.5,155.6,122.3,130.3,141.1,115.6,11.2,14.5,6.7
30～99人,平成27,2015,12月,17.8,18.7,16.6,139.5,154.4,119.8,128.7,140.2,113.5,10.8,14.2,6.3
100～499人,平成22,2010,年平均,18.7,19.1,18.1,152.6,160.8,139.4,138.2,144.1,128.6,14.4,16.7,10.8
100～499人,平成23,2011,年平均,18.6,19.1,17.8,151.2,159.9,137.1,137.6,143.9,127.3,13.6,16,9.8
100～499人,平成24,2012,年平均,18.8,19.3,18,152.8,162.7,135.4,138.6,145.5,126.6,14.2,17.2,8.8
100～499人,平成25,2013,年平均,18.5,19,17.7,150.5,160.1,134,136.4,143.1,124.9,14.1,17,9.1
100～499人,平成26,2014,年平均,18.4,18.9,17.5,149.6,159.9,132.7,135.3,142.6,123.3,14.3,17.3,9.4
100～499人,平成27,2015,年平均,18.5,18.9,17.7,150.8,160.2,133.9,136.7,143.2,125,14.1,17,8.9
100～499人,平成27,2015,1月,17.4,17.8,16.6,141.6,150.1,125.8,128,133.8,117.2,13.6,16.3,8.6
100～499人,平成27,2015,2月,17.9,18.4,17.1,147,156.9,128.8,132.8,139.6,120.3,14.2,17.3,8.5
100～499人,平成27,2015,3月,18.7,19.2,17.8,152.6,163,133.7,137.7,145,124.5,14.9,18,9.2
100～499人,平成27,2015,4月,19.5,20,18.7,158.7,168.9,140.3,144,151.3,130.9,14.7,17.6,9.4
100～499人,平成27,2015,5月,17.7,18,17.1,144.2,152.3,129.7,130.6,136.1,120.7,13.6,16.2,9
100～499人,平成27,2015,6月,19.4,19.9,18.6,158,167.2,141,144,150.4,132.2,14,16.8,8.8
100～499人,平成27,2015,7月,19.8,20.2,18.9,160.3,170,142.9,146.1,152.9,134,14.2,17.1,8.9
100～499人,平成27,2015,8月,18.3,18.6,17.6,149.2,157.7,133.9,135.7,141.5,125.2,13.5,16.2,8.7
100～499人,平成27,2015,9月,18.1,18.5,17.3,147,156.5,129.8,133.2,139.8,121.3,13.8,16.7,8.5
100～499人,平成27,2015,10月,18.6,19,17.8,151.9,160.9,135.2,137.5,143.7,126.1,14.4,17.2,9.1
100～499人,平成27,2015,11月,18.5,19,17.6,151.4,161.1,133.9,137.1,144,124.6,14.3,17.1,9.3
100～499人,平成27,2015,12月,18.2,18.6,17.4,148.9,158.1,132,134.4,140.7,122.8,14.5,17.4,9.2
500人以上,平成22,2010,年平均,18.8,19.2,18.1,154.9,160.3,143.9,139.6,143.5,131.6,15.3,16.8,12.3
500人以上,平成23,2011,年平均,18.8,19.2,18.1,155.1,160.8,143.6,140,144,131.8,15.1,16.8,11.8
500人以上,平成24,2012,年平均,19,19.3,18.3,153.9,159.9,142.4,139.5,143.7,131.5,14.4,16.2,10.9
500人以上,平成25,2013,年平均,18.5,18.9,17.8,151.2,157.4,139.7,136.7,141.1,128.6,14.5,16.3,11.1
500人以上,平成26,2014,年平均,18.6,18.9,18,150.9,157,140,136.4,140.5,129,14.5,16.5,11
500人以上,平成27,2015,年平均,18.3,18.6,17.6,150.2,157.2,138.3,135,139.5,127.4,15.2,17.7,10.9
500人以上,平成27,2015,1月,17.4,17.8,16.7,144,150.4,132.7,129,133.3,121.5,15,17.1,11.2
500人以上,平成27,2015,2月,17.4,17.8,16.7,144.8,151.8,132.9,129.3,133.7,121.8,15.5,18.1,11.1
500人以上,平成27,2015,3月,18.7,19.2,17.9,154.8,163.1,140.8,138.7,144.1,129.5,16.1,19,11.3
500人以上,平成27,2015,4月,19.3,19.8,18.5,159.3,167.5,145.4,143,148.4,133.9,16.3,19.1,11.5
500人以上,平成27,2015,5月,17.6,17.8,17.2,144.5,150.3,134.7,129.4,132.9,123.5,15.1,17.4,11.2
500人以上,平成27,2015,6月,19,19.3,18.5,155.6,162.2,144.4,140.3,144.3,133.5,15.3,17.9,10.9
500人以上,平成27,2015,7月,19.7,20.1,18.9,160.3,168.3,146.8,145.1,150.5,136.1,15.2,17.8,10.7
500人以上,平成27,2015,8月,18.1,18.4,17.6,148.4,154.7,138,134.2,138.1,127.8,14.2,16.6,10.2
500人以上,平成27,2015,9月,17.5,17.7,17,143.4,149.3,133.3,129.2,132.8,122.9,14.2,16.5,10.4
500人以上,平成27,2015,10月,18.4,18.8,17.6,150.9,158.5,138.5,135.8,140.8,127.6,15.1,17.7,10.9
500人以上,平成27,2015,11月,18.2,18.6,17.4,149.8,157.7,136.5,134.2,139.3,125.6,15.6,18.4,10.9
500人以上,平成27,2015,12月,17.8,18.2,17.2,147.1,153.8,135.8,132.2,136.5,125,14.9,17.3,10.8
,,,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成27年年報,,,,,,,,,,,,,,,
第８表　規模、性別常用労働者の１人平均月間出勤日数及び実労働時間（調査産業計）,,,,,,,,,,,,,,,
