規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.1,18.4,17.6,148.4,154.7,138,134.2,138.1,127.8,14.2,16.6,10.2
100～499人,18.3,18.6,17.6,149.2,157.7,133.9,135.7,141.5,125.2,13.5,16.2,8.7
100人以上,18.2,18.5,17.6,148.8,156.3,135.9,135,139.9,126.5,13.8,16.4,9.4
30～99人,17.6,18.4,16.6,137.7,151.6,119.2,127.5,138.2,113.2,10.2,13.4,6
５～29人,17.3,18.6,15.8,134.7,152,113.3,126.4,140.6,108.8,8.3,11.4,4.5
30人以上,18,18.5,17.3,145,154.8,129.4,132.4,139.4,121.3,12.6,15.4,8.1
５人以上,17.8,18.5,16.8,141.9,154,124,130.6,139.7,117.1,11.3,14.3,6.9
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年８月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
