規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,612395,737326,403031,416815,491753,291232,381071,35744,195580,245573,111799
100～499人,520636,617795,347160,365298,423094,262104,338097,27201,155338,194701,85056
100人以上,563705,673209,373944,389479,454924,276068,358268,31211,174226,218285,97876
30～99人,430936,536422,290644,310910,378803,220616,290226,20684,120026,157619,70028
５～29人,329598,411874,226709,251712,310732,177906,238796,12916,77886,101142,48803
30人以上,517196,628512,341672,361956,430050,254585,334433,27523,155240,198462,87087
５人以上,459870,566662,303156,328268,395985,228895,305208,23060,131602,170677,74261
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年７月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
