"年月[西暦]","調査項目","設問","選択肢","件数[人]","(全体)[%]","(除不)[%]"
"202003","本人について","Q3. あなたが初めて障害者手帳を取得したときの年齢はいくつですか。（○は１つ）","0歳～6歳","68","4.9","5.0"
"202003","本人について","Q3. あなたが初めて障害者手帳を取得したときの年齢はいくつですか。（○は１つ）","7歳～14歳","30","2.2","2.2"
"202003","本人について","Q3. あなたが初めて障害者手帳を取得したときの年齢はいくつですか。（○は１つ）","15歳～17歳","22","1.6","1.6"
"202003","本人について","Q3. あなたが初めて障害者手帳を取得したときの年齢はいくつですか。（○は１つ）","18歳～29歳","114","8.2","8.3"
"202003","本人について","Q3. あなたが初めて障害者手帳を取得したときの年齢はいくつですか。（○は１つ）","30歳～39歳","133","9.5","9.7"
"202003","本人について","Q3. あなたが初めて障害者手帳を取得したときの年齢はいくつですか。（○は１つ）","40歳～49歳","192","13.8","14.0"
"202003","本人について","Q3. あなたが初めて障害者手帳を取得したときの年齢はいくつですか。（○は１つ）","50歳～64歳","426","30.6","31.2"
"202003","本人について","Q3. あなたが初めて障害者手帳を取得したときの年齢はいくつですか。（○は１つ）","65歳～74歳","250","17.9","18.3"
"202003","本人について","Q3. あなたが初めて障害者手帳を取得したときの年齢はいくつですか。（○は１つ）","75歳以上","132","9.5","9.7"
"202003","本人について","Q3. あなたが初めて障害者手帳を取得したときの年齢はいくつですか。（○は１つ）","無回答","27","1.9",

"港区保健福祉基礎調査（身体障害者）・単純集計表・本人についてQ3","Ver202003",,,,,
