#LINK
#lang	ja
#attribution_name	新宿区役所情報システム課
#license	http://creativecommons.org/licenses/by/3.0/deed.ja
#file_name	haigukankeibetsu_danjobetsu_oyadokyo_jinko2015
#download_from	http://linkdata.org/work/rdf1s7909i
#property	総数(単位:人)	同居していない(単位:人)	同居している(単位:人)	同居の割合(単位:％)	「総数」のうち未婚(単位:人)	「同居していない 」者のうち未婚(単位:人)	「同居している」者のうち未婚(単位:人)	未婚のうち「同居している」者の割合(単位:％)	【参考】特別区部の「未婚のうち「同居している」者の割合(単位:％)	【参考】全国の未婚のうち「同居している」者の割合(単位:％)
#object_type_xsd	string	string	string	string	string	string	string	string	string	string
#property_context	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion	Assertion
総数	333560	268527	64371	19.3	151456	92632	58818	38.8	62.4	74.4
男（総数）	167258	134104	32701	19.6	80529	50341	30185	37.5	62.4	74.4
男（15歳未満）	13873	100	13771	99.3	13873	100	13771	99.3	99.6	99.3
男（15～19歳）	5342	1373	3969	74.3	5270	1303	3967	75.3	90.7	89.6
男（20～24歳）	12135	8673	3461	28.5	11755	8309	3445	29.3	60.6	67.4
男（25～29歳）	16175	13862	2313	14.3	12528	10261	2267	18.1	42.7	60.9
男（30～34歳）	16855	15126	1729	10.3	9174	7582	1592	17.4	39.5	61.9
男（35～39歳）	15511	13971	1540	9.9	7015	5665	1350	19.2	41.1	62.6
男（40～44歳）	15014	13419	1594	10.6	5847	4534	1313	22.5	44.8	60.8
男（45～49歳）	12666	11342	1324	10.5	4231	3238	993	23.5	43.3	56.3
男（50～54歳）	10670	9627	1043	9.8	3161	2465	696	22	38.9	49.7
男（55～59歳）	8419	7586	833	9.9	2103	1671	432	20.5	30.4	38.4
男（60～64歳）	8015	7453	562	7	1930	1700	230	11.9	16.8	22.3
男（65歳以上）	27606	27044	562	2	3642	3513	129	3.5	4.6	6.5
女（総数）	166302	134423	31670	19.1	70927	42291	28633	40.4	63	78.6
女（15歳未満）	13187	89	13097	99.3	13187	89	13097	99.3	99.5	99.4
女（15～19歳）	5428	1593	3835	70.7	5306	1474	3832	72.2	90	92
女（20～24歳）	12427	8977	3450	27.8	11631	8213	3418	29.4	61	72.8
女（25～29歳）	14868	12402	2466	16.6	10794	8427	2367	21.9	45.4	67.1
女（30～34歳）	14124	12505	1619	11.5	6611	5212	1399	21.2	39.8	64.7
女（35～39歳）	13289	11871	1418	10.7	4835	3686	1149	23.8	39.4	63.2
女（40～44歳）	13785	12231	1554	11.3	4473	3333	1140	25.5	40.3	60.6
女（45～49歳）	11840	10566	1274	10.8	3480	2609	871	25	39	55.7
女（50～54歳）	10131	9060	1071	10.6	2570	1948	622	24.2	35.6	49.2
女（55～59歳）	8132	7331	801	9.8	1783	1420	363	20.4	29.6	38.4
女（60～64歳）	7662	7076	585	7.6	1319	1106	213	16.1	19	23.5
女（65歳以上）	37668	37166	500	1.3	4938	4774	162	3.3	3.8	4.5
※「総数」… 実数は同居しているか否か判定できない者を含む。										
※「同居していない」… 「単独世帯」、「夫婦のみの世帯」、「非親族を含む世帯」、「施設等の世帯」の世帯員を含む。										
※「同居している」…本人からみて、親又は配偶者の親がいると判定できる者に限る。										
※「同居の割合」…割合は同居しているか否か判定できない者を除いて算出										
※「総数」「男（総数）」「女（総数）」… 年齢「不詳」を含む										
