"年月[西暦]","調査項目","設問","調査回答者の属性種別","調査回答者の属性","調査数[人]","戦争当時の写真や実物資料の展示[人]","戦争体験者との交流会[人]","平和を祈念したコンサート等のイベントの開催","区内の平和関連史跡を活用した取組[人]","高校生世代の長崎への派遣研修[人]","平和啓発物品の配布・パネル等の貸出し[人]","その他[人]","無回答[人]"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","全体",,"658","187","105","84","82","83","14","33","70"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","性・年代別","男性（計）","248","69","29","29","34","31","10","23","23"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","性・年代別","男性 18～29歳","23","0","4","2","4","5","2","3","3"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","性・年代別","男性 30～39歳","35","9","3","6","5","7","0","3","2"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","性・年代別","男性 40～49歳","41","19","6","7","1","2","0","6","0"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","性・年代別","男性 50～59歳","49","15","7","6","5","5","2","5","4"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","性・年代別","男性 60～69歳","39","11","4","4","8","4","2","2","4"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","性・年代別","男性 70歳以上","60","15","4","4","11","8","4","4","10"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","性・年代別","男性 無回答","1","0","1","0","0","0","0","0","0"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","性・年代別","女性（計）","400","116","73","54","47","52","3","10","45"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","性・年代別","女性 18～29歳","28","8","4","2","3","7","0","0","4"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","性・年代別","女性 30～39歳","65","13","14","14","9","10","1","1","3"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","性・年代別","女性 40～49歳","95","32","20","12","10","9","0","3","9"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","性・年代別","女性 50～59歳","82","24","15","10","7","12","1","4","9"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","性・年代別","女性 60～69歳","55","15","10","7","6","9","1","0","7"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","性・年代別","女性 70歳以上","75","24","10","9","12","5","0","2","13"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","性・年代別","女性 無回答","0","0","0","0","0","0","0","0","0"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","性・年代別","無回答","10","2","3","1","1","0","1","0","2"
"202003","平和","Q28. 平和の大切さを伝えるためには、どのような取組が必要だと思いますか。（１つ選択）","職業別","自営業主・家族従業","92","21","19","9","11","12","3","2","15"
