,自分ひとり,夫婦・パートナー,家族・親族,職場の同僚,友人,その他,無回答,合計,標本数
全体 ,21.3 ,13.3 ,27.4 ,15.9 ,24.0 ,1.0 ,0.4 ,103.3 ,"12,959"
韓国 ,24.7 ,6.4 ,18.0 ,22.7 ,28.1 ,1.7 ,0.4 ,102.1 ,"1,666"
台湾,16.1 ,13.6 ,38.6 ,10.5 ,23.6 ,0.5 ,0.3 ,103.3 ,"2,112"
中国 ,17.1 ,11.9 ,34.1 ,18.0 ,20.4 ,0.8 ,0.4 ,102.7 ,"2,674"
香港 ,22.6 ,18.6 ,27.1 ,7.2 ,25.9 ,0.4 ,0.3 ,102.1 ,794
タイ ,14.3 ,12.1 ,34.0 ,15.3 ,27.2 ,0.7 ,0.6 ,104.2 ,710
シンガポール,22.9 ,14.3 ,30.0 ,7.1 ,26.3 ,1.7 ,0.5 ,102.8 ,338
マレーシア,20.9 ,12.5 ,24.5 ,16.5 ,26.3 ,1.7 ,0.4 ,102.7 ,289
米国,30.3 ,18.2 ,19.6 ,10.0 ,24.4 ,1.0 ,0.4 ,103.9 ,"1,336"
カナダ ,25.9 ,28.0 ,17.4 ,5.5 ,24.8 ,0.8 ,0.0 ,102.3 ,258
英国,33.4 ,25.2 ,12.6 ,14.2 ,12.5 ,3.1 ,0.6 ,101.6 ,312
ドイツ ,35.6 ,18.6 ,9.3 ,12.8 ,21.2 ,4.5 ,0.5 ,102.5 ,203
フランス,37.4 ,24.1 ,18.8 ,7.0 ,13.7 ,1.1 ,0.4 ,102.4 ,290
イタリア,29.6 ,34.3 ,12.0 ,8.6 ,16.6 ,0.4 ,0.0 ,101.6 ,204
スペイン,16.3 ,36.2 ,20.2 ,5.9 ,20.2 ,1.6 ,0.3 ,100.8 ,217
オーストラリア ,15.9 ,34.0 ,20.5 ,1.9 ,29.5 ,0.9 ,0.2 ,102.8 ,487
インド,43.9 ,6.5 ,8.8 ,25.3 ,15.1 ,2.5 ,0.0 ,102.0 ,160
インドネシア,16.2 ,9.2 ,24.2 ,27.3 ,24.4 ,1.8 ,0.0 ,103.1 ,215
フィリピン ,19.9 ,10.6 ,42.9 ,8.9 ,18.9 ,0.6 ,0.6 ,102.3 ,340
ベトナム,33.2 ,4.1 ,14.1 ,33.5 ,13.0 ,3.9 ,0.7 ,102.4 ,178
ロシア ,34.7 ,7.4 ,18.0 ,27.6 ,12.9 ,2.4 ,0.6 ,103.7 ,162
その他,33.4 ,25.8 ,4.2 ,24.0 ,31.3 ,0.0 ,0.0 ,118.7 ,14
