,自分ひとり,夫婦・パートナー,家族・親族,職場の同僚,友人,その他,無回答,合計,標本数
全体 ,20.8 ,11.5 ,28.5 ,16.7 ,23.2 ,1.4 ,0.5 ,102.7 ,"13,069 "
韓国 ,26.1 ,4.7 ,16.5 ,21.2 ,30.3 ,2.5 ,0.8 ,102.1 ,"1,783 "
台湾 ,14.7 ,11.1 ,40.8 ,10.7 ,25.1 ,0.8 ,0.1 ,103.3 ,"2,181 "
中国 ,15.3 ,10.5 ,36.8 ,19.8 ,18.8 ,1.2 ,0.2 ,102.8 ,"2,333 "
香港,21.3 ,15.9 ,33.2 ,10.8 ,21.0 ,0.1 ,0.1 ,102.5 ,727 
タイ,13.5 ,13.9 ,29.0 ,18.0 ,28.6 ,1.3 ,0.4 ,104.8 ,838 
シンガポール ,21.6 ,15.2 ,26.7 ,8.3 ,30.0 ,1.0 ,0.4 ,103.2 ,409 
マレーシア ,23.7 ,12.2 ,18.0 ,18.3 ,25.9 ,0.8 ,1.8 ,100.7 ,285 
米国,34.6 ,19.0 ,16.5 ,15.9 ,15.1 ,1.1 ,0.4 ,102.7 ,"1,356 "
カナダ,29.2 ,25.4 ,17.0 ,6.8 ,24.3 ,2.3 ,0.0 ,105.0 ,284 
英国,40.3 ,21.3 ,12.8 ,10.7 ,14.7 ,1.1 ,0.6 ,101.5 ,357 
ドイツ,41.1 ,16.2 ,11.6 ,20.6 ,11.1 ,0.5 ,0.4 ,101.5 ,199 
フランス,27.6 ,22.7 ,18.5 ,11.8 ,19.4 ,2.2 ,0.9 ,103.1 ,332 
イタリア ,31.0 ,26.1 ,8.8 ,13.6 ,18.5 ,0.4 ,1.7 ,100.0 ,216 
スペイン,21.5 ,28.9 ,15.0 ,12.4 ,24.2 ,0.0 ,0.0 ,102.0 ,229 
オーストラリア ,18.4 ,29.1 ,16.4 ,4.5 ,32.2 ,0.6 ,1.2 ,102.3 ,435 
インド ,55.9 ,6.3 ,7.4 ,19.5 ,9.0 ,2.5 ,1.3 ,101.8 ,160 
インドネシア,19.0 ,11.3 ,20.4 ,28.4 ,18.2 ,1.9 ,2.2 ,101.4 ,217 
フィリピン,19.7 ,12.3 ,38.2 ,13.6 ,16.6 ,0.4 ,2.1 ,102.9 ,241 
ベトナム,24.9 ,7.1 ,7.4 ,37.9 ,15.6 ,7.2 ,2.6 ,102.7 ,193 
ロシア,39.8 ,9.5 ,16.7 ,17.5 ,17.6 ,0.6 ,0.0 ,101.6 ,175 
その他,32.3 ,15.0 ,13.2 ,19.0 ,20.4 ,2.4 ,0.0 ,102.3 ,119 
