"年月[西暦]","調査項目","設問","事業","回答者の属性種別","回答者の属性","参加・利用したことがある[人]","内容は知っている[人]","名前は知っている[人]","知らない[人]","無回答[人]","参加・利用したことがある[%]","内容は知っている[%]","名前は知っている[%]","知らない[%]","無回答[%]"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","エコライフ・フェアＭＩＮＡＴＯ","性別","男性","4","15","25","199","0","1.6","6.2","10.3","81.9","0.0"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","エコライフ・フェアＭＩＮＡＴＯ","性別","女性","11","10","36","215","0","4.0","3.7","13.2","79.0","0.0"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","エコライフ・フェアＭＩＮＡＴＯ","年齢","18～29歳","0","4","6","37","0","0.0","8.5","12.8","78.7","0.0"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","エコライフ・フェアＭＩＮＡＴＯ","年齢","30～39歳","1","2","13","82","0","1.0","2.0","13.3","83.7","0.0"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","エコライフ・フェアＭＩＮＡＴＯ","年齢","40～49歳","5","9","17","117","0","3.4","6.1","11.5","79.1","0.0"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","エコライフ・フェアＭＩＮＡＴＯ","年齢","50～59歳","4","4","15","108","0","3.1","3.1","11.5","82.4","0.0"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","エコライフ・フェアＭＩＮＡＴＯ","年齢","60～69歳","2","1","7","50","0","3.3","1.7","11.7","83.3","0.0"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","エコライフ・フェアＭＩＮＡＴＯ","年齢","70歳以上","3","5","3","20","0","9.7","16.1","9.7","64.5","0.0"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","みなと森と水会議","性別","男性","1","10","31","201","0","0.4","4.1","12.8","82.7","0.0"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","みなと森と水会議","性別","女性","2","17","31","222","0","0.7","6.3","11.4","81.6","0.0"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","みなと森と水会議","年齢","18～29歳","0","3","10","34","0","0.0","6.4","21.3","72.3","0.0"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","みなと森と水会議","年齢","30～39歳","0","1","12","85","0","0.0","1.0","12.2","86.7","0.0"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","みなと森と水会議","年齢","40～49歳","1","11","15","121","0","0.7","7.4","10.1","81.8","0.0"
"202003","区の取組","Q8. 区では、区民と協力して環境の保全を進めるために次の事業を行っています。あなたは、これらの事業を知っていますか。（○はそれぞれ１つ）","みなと森と水会議","年齢","50～59歳","1","7","14","109","0","0.8","5.3","10.7","83.2","0.0"
