 3-(3)海上出入貨物係留施設別表,,,,,,,,,,,,,,(単位：トン）
,合計,,外貿,,,,,,内貿,,,,,
係留施設,,,当月,,,1月以降累計,,,当月,,,1月以降累計,,
,当月,1月以降累計,計,輸出,輸入,計,輸出,輸入,計,移出,移入,計,移出,移入
合計,"6,998,923 ","27,535,359 ","4,258,704 ","1,059,747 ","3,198,957 ","15,762,998 ","4,229,853 ","11,533,145 ","2,740,219 ","1,183,813 ","1,556,406 ","11,772,361 ","4,863,827 ","6,908,534 "
公共計,"3,255,322 ","12,512,117 ","1,205,333 ","213,735 ","991,598 ","4,135,102 ","714,731 ","3,420,371 ","2,049,989 ","1,070,612 ","979,377 ","8,377,015 ","4,485,687 ","3,891,328 "
ドルフィン,"7,398 ","32,157 ",-,-,-,-,-,-,"7,398 ","7,398 ",-,"32,157 ","32,157 ",-
芝浦ふ頭,"56,666 ","226,559 ",-,-,-,-,-,-,"56,666 ","1,726 ","54,940 ","226,559 ","5,924 ","220,635 "
芝浦物揚場,"6,952 ","31,386 ",-,-,-,-,-,-,"6,952 ","5,006 ","1,946 ","31,386 ","22,220 ","9,166 "
日の出ふ頭,"3,775 ","12,200 ",-,-,-,-,-,-,"3,775 ",-,"3,775 ","12,200 ",-,"12,200 "
竹芝ふ頭,"5,828 ","28,188 ",-,-,-,-,-,-,"5,828 ","4,104 ","1,724 ","28,188 ","18,833 ","9,355 "
品川岸壁,"565,616 ","2,086,710 ","379,108 ","68,135 ","310,973 ","1,299,100 ","232,382 ","1,066,718 ","186,508 ","110,654 ","75,854 ","787,610 ","470,092 ","317,518 "
 品川コンテナ,"367,124 ","1,273,004 ","367,064 ","67,809 ","299,255 ","1,268,018 ","230,357 ","1,037,661 ",60 ,-,60 ,"4,986 ","2,466 ","2,520 "
 品川外貿,"12,044 ","31,082 ","12,044 ",326 ,"11,718 ","31,082 ","2,025 ","29,057 ",-,-,-,-,-,-
 品川内貿,"186,448 ","782,624 ",-,-,-,-,-,-,"186,448 ","110,654 ","75,794 ","782,624 ","467,626 ","314,998 "
月島ふ頭,"1,363 ","7,912 ",-,-,-,-,-,-,"1,363 ",559 ,804 ,"7,912 ","3,802 ","4,110 "
10号西岸壁,"451,860 ","1,877,709 ",-,-,-,-,-,-,"451,860 ","288,607 ","163,253 ","1,877,709 ","1,187,231 ","690,478 "
10号東岸壁,"32,863 ","122,761 ",-,-,-,-,-,-,"32,863 ",102 ,"32,761 ","122,761 ",526 ,"122,235 "
東京港フェリーふ頭,"837,260 ","3,314,575 ",-,-,-,-,-,-,"837,260 ","435,070 ","402,190 ","3,314,575 ","1,716,025 ","1,598,550 "
辰巳ふ頭,"32,462 ","121,081 ",-,-,-,-,-,-,"32,462 ","13,620 ","18,842 ","121,081 ","52,618 ","68,463 "
青海コンテナふ頭（公共）,"806,988 ","2,757,671 ","791,079 ","145,600 ","645,479 ","2,682,411 ","482,349 ","2,200,062 ","15,909 ","10,279 ","5,630 ","75,260 ","53,484 ","21,776 "
大井水産物ふ頭,96 ,146 ,-,-,-,-,-,-,96 ,-,96 ,146 ,50 ,96 
大井食品ふ頭（OL）,"28,403 ","89,589 ","18,253 ",-,"18,253 ","65,189 ",-,"65,189 ","10,150 ",-,"10,150 ","24,400 ",-,"24,400 "
大井食品ふ頭（OM）,"10,940 ","33,812 ","10,940 ",-,"10,940 ","33,812 ",-,"33,812 ",-,-,-,-,-,-
大井食品ふ頭（ON）,"1,707 ","2,357 ","1,707 ",-,"1,707 ","1,707 ",-,"1,707 ",-,-,-,650 ,650 ,-
若洲内貿ふ頭,"52,816 ","215,353 ",-,-,-,-,-,-,"52,816 ","40,836 ","11,980 ","215,353 ","157,978 ","57,375 "
15号地木材ふ頭,"7,777 ","9,209 ","3,237 ",-,"3,237 ","4,669 ",-,"4,669 ","4,540 ","3,518 ","1,022 ","4,540 ","3,518 ","1,022 "
若洲建材ふ頭,"61,169 ","199,802 ",-,-,-,-,-,-,"61,169 ","7,272 ","53,897 ","199,802 ","15,444 ","184,358 "
大井建材ふ頭,"96,719 ","386,788 ",-,-,-,-,-,-,"96,719 ",-,"96,719 ","386,788 ",600 ,"386,188 "
城南島建設発生土ふ頭,"106,710 ","529,680 ",-,-,-,-,-,-,"106,710 ","106,710 ",-,"529,680 ","529,680 ",-
中央防波堤内側ばら物ふ頭,"5,560 ","73,066 ","1,009 ",-,"1,009 ","48,214 ",-,"48,214 ","4,551 ",-,"4,551 ","24,852 ","9,661 ","15,191 "
中央防波堤内側建設発生土ふ頭,-,"46,669 ",-,-,-,-,-,-,-,-,-,"46,669 ","46,669 ",-
中央防波堤内側内貿ふ頭,"74,394 ","306,737 ",-,-,-,-,-,-,"74,394 ","35,151 ","39,243 ","306,737 ","158,525 ","148,212 "
東京港埠頭㈱計,"2,758,457 ","11,041,657 ","2,647,435 ","765,580 ","1,881,855 ","10,637,790 ","3,319,425 ","7,318,365 ","111,022 ","57,965 ","53,057 ","403,867 ","178,809 ","225,058 "
青海コンテナふ頭(埠頭㈱),"327,964 ","2,006,571 ","313,939 ","70,710 ","243,229 ","1,955,122 ","466,713 ","1,488,409 ","14,025 ","14,025 ",-,"51,449 ","51,029 ",420 
お台場ライナーふ頭,"63,904 ","271,153 ","57,096 ","47,995 ","9,101 ","249,155 ","212,930 ","36,225 ","6,808 ","2,550 ","4,258 ","21,998 ","6,700 ","15,298 "
大井コンテナふ頭,"2,366,589 ","8,763,933 ","2,276,400 ","646,875 ","1,629,525 ","8,433,513 ","2,639,782 ","5,793,731 ","90,189 ","41,390 ","48,799 ","330,420 ","121,080 ","209,340 "
民間計,"985,144 ","3,981,585 ","405,936 ","80,432 ","325,504 ","990,106 ","195,697 ","794,409 ","579,208 ","55,236 ","523,972 ","2,991,479 ","199,331 ","2,792,148 "
,,,,,,,,,,,,,,
(注) 実績の無い係留施設は表示なし,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
