 2-(5)繧ｫ繝ｼ繝輔ぉ繝ｪ繝ｼ霈ｸ騾∫憾豕�,,,,,,�亥腰菴搾ｼ夐埆縲∫ｷ上ヨ繝ｳ縲√ヨ繝ｳ縲∝床縲∽ｺｺ��,
,,,蜷郁ｨ�,,荵晏ｷ�,,
,,,蠖捺怦,1譛井ｻ･髯咲ｴｯ險�,蠖捺怦,1譛井ｻ･髯咲ｴｯ險�,
蜈･貂ｯ闊ｹ闊ｶ,髫ｻ謨ｰ,,29,112,29,112,
,邱上ヨ繝ｳ謨ｰ,,"366,444","1,415,232","366,444","1,415,232",
蜿匁桶雋ｨ迚ｩ,險�,險�,"837,260","3,314,575","837,260","3,314,575",
,,蜃ｺ闕ｷ,"435,070","1,716,025","435,070","1,716,025",
,,蜈･闕ｷ,"402,190","1,598,550","402,190","1,598,550",
蜿悶��謇ｱ縲�蜿ｰ縲�謨ｰ,繝舌��繧ｹ,險�,8,30,8,30,
,,蜃ｺ闕ｷ,1,6,1,6,
,,蜈･闕ｷ,7,24,7,24,
,繝医Λ繝�け,險�,"7,601","30,031","7,601","30,031",
,,蜃ｺ闕ｷ,"3,991","15,741","3,991","15,741",
,,蜈･闕ｷ,"3,610","14,290","3,610","14,290",
,荵礼畑霆�,險�,"3,187","16,257","3,187","16,257",
,,蜃ｺ闕ｷ,"1,717","8,874","1,717","8,874",
,,蜈･闕ｷ,"1,470","7,383","1,470","7,383",
荵鈴剄莠ｺ蜩｡,險�,,722,"7,661",722,"7,661",
,荵苓飴,,418,"3,948",418,"3,948",
,髯崎飴,,304,"3,713",304,"3,713",
,,,,,,,
�域ｳｨ�峨き繝ｼ繝輔ぉ繝ｪ繝ｼ�郁�蜍戊ｻ願穐騾∬飴�峨↓繧医ｋ雋ｨ迚ｩ驥上�霆贋ｸ｡蛹ｺ蛻�挨縺ｫ蜿ｰ謨ｰ繧定ｪｿ謨ｴ縺�,,,,,,,
縲�縲�縲�謇�螳壹�謠帷ｮ励ヨ繝ｳ繧偵°縺代※邂怜�縺励※縺�∪縺吶��,,,,,,,
類,,,,, 4-(1)入港コンテナ船及びコンテナ貨物係留施設別表,,,,,,,,,,,,,（単位：隻、総トン、トン）
係留施設,入港コンテナ船,,,,,,コ ン テ ナ 取 扱 貨 物 量,,,,,,
,合計,,外航,,内航,,合計,外貿,,,内貿,,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,,計,輸出,輸入,計,移出,移入
合計,694,"12,989,984",411,"10,809,661",283,"2,180,323","4,372,789","4,130,749","1,011,350","3,119,399","242,040","142,236","99,804"
,92.7%,96.7%,97.2%,95.7%,86.8%,101.9%,102.8%,103.3%,89.9%,108.6%,94.1%,111.3%,77.1%
,"2,707","48,924,462","1,547","40,512,826","1,160","8,411,636","16,129,252","15,208,912","4,014,221","11,194,691","920,340","521,597","398,743"
,96.0%,95.5%,93.4%,94.3%,99.7%,101.5%,100.0%,99.9%,101.9%,99.2%,102.0%,105.7%,97.5%
品川岸壁,143,"1,668,731",78,"776,971",65,"891,760","377,080","377,080","67,925","309,155",-,-,-
,98.6%,103.8%,101.3%,99.5%,95.6%,107.7%,108.0%,108.0%,91.8%,112.3%,-,-,-
,559,"6,519,165",301,"3,013,528",258,"3,505,637","1,292,013","1,292,007","230,473","1,061,534",6,6,-
,99.1%,104.8%,100.3%,99.9%,97.7%,109.3%,94.4%,94.4%,85.1%,96.7%,-,-,-
10号西岸壁,65,"734,420",-,-,65,"734,420","44,236",-,-,-,"44,236","28,477","15,759"
,92.9%,100.1%,-,-,92.9%,100.1%,100.5%,-,-,-,100.5%,98.7%,104.0%
,244,"2,745,312",-,-,244,"2,745,312","155,194",-,-,-,"155,194","102,450","52,744"
,90.7%,95.5%,-,-,90.7%,95.5%,100.0%,-,-,-,100.0%,97.7%,104.8%
青海コンテナふ頭（公共）,104,"1,555,665",83,"1,528,150",21,"27,515","806,988","791,079","145,600","645,479","15,909","10,279","5,630"
,90.4%,96.0%,92.2%,95.5%,84.0%,134.5%,103.1%,102.9%,93.8%,105.3%,113.2%,117.4%,106.3%
,420,"5,566,805",306,"5,454,641",114,"112,164","2,757,671","2,682,411","482,349","2,200,062","75,260","53,484","21,776"
,96.8%,91.9%,90.0%,91.5%,121.3%,113.0%,97.8%,97.4%,94.1%,98.1%,117.6%,133.0%,91.6%
青海コンテナふ頭(埠頭㈱),36,"1,235,864",30,"1,228,191",6,"7,673","327,964","313,939","70,710","243,229","14,025","14,025",-
,53.7%,66.9%,48.4%,66.6%,120.0%,219.5%,64.4%,63.1%,62.3%,63.3%,117.9%,143.3%,-
,228,"6,461,875",203,"6,431,054",25,"30,821","2,006,571","1,955,122","466,713","1,488,409","51,449","51,029",420
,87.0%,90.1%,83.5%,89.9%,131.6%,169.6%,93.4%,93.2%,102.2%,90.7%,99.8%,122.7%,4.2%
お台場ライナーふ頭,12,"68,201",-,-,12,"68,201",-,-,-,-,-,-,-
,80.0%,72.8%,-,-,85.7%,111.6%,-,-,-,-,-,-,-
,52,"355,800",2,"65,102",50,"290,698","2,144","2,144",431,"1,713",-,-,-
,89.7%,89.3%,50.0%,50.0%,92.6%,108.3%,18.9%,18.9%,15.1%,20.1%,-,-,-
大井コンテナふ頭,249,"6,608,655",169,"6,510,586",80,"98,069","2,366,589","2,276,400","646,875","1,629,525","90,189","41,390","48,799"
,91.9%,96.3%,103.7%,97.0%,74.1%,66.0%,103.5%,104.2%,88.5%,112.2%,88.5%,155.1%,64.9%
,951,"24,448,128",621,"24,054,878",330,"393,250","8,763,933","8,433,513","2,639,782","5,793,731","330,420","121,080","209,340"
,96.6%,94.5%,95.0%,94.7%,100.0%,81.1%,101.9%,101.9%,103.6%,101.1%,103.0%,108.5%,100.0%
その他,85,"1,118,448",51,"765,763",34,"352,685","449,932","372,251","80,240","292,011","77,681","48,065","29,616"
,128.8%,167.6%,170.0%,237.1%,94.4%,102.5%,160.8%,191.4%,157.4%,203.4%,91.1%,89.6%,93.6%
,253,"2,827,377",114,"1,493,623",139,"1,333,754","1,151,726","843,715","194,473","649,242","308,011","193,548","114,463"
,101.2%,108.3%,98.3%,116.8%,103.7%,100.1%,111.6%,117.0%,130.7%,113.5%,99.0%,99.1%,99.0%
,,,,,,,,,,,,,
上段： 当月，　下段： １月以降累計，　各下段： 対前年比％,,,,,,,,,,,,,
4,2 4-(4)コンテナ取扱個数係留施設別表,,,,,,,,,,,,,,(単位：ＴＥＵ）
係留施設,合計,,外貿,,,,,,内貿,,,,,
,,,計,,輸出,,輸入,,計,,移出,,移入,
,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空,実入,空
合計,"313,238","125,590","290,931","115,504","77,893","114,350","213,038","1,154","22,307","10,086","11,465","8,343","10,842","1,743"
,101.3%,102.2%,102.5%,117.1%,90.6%,117.1%,107.7%,122.1%,87.6%,41.6%,106.2%,40.3%,73.9%,48.8%
,"1,134,511","420,735","1,043,367","352,996","297,911","347,867","745,456","5,129","91,144","67,739","47,589","60,573","43,555","7,166"
,97.2%,90.5%,96.6%,91.2%,99.3%,90.6%,95.6%,176.9%,104.0%,86.8%,115.2%,86.5%,94.0%,89.4%
品川岸壁,"26,615","16,579","26,615","15,116","5,370","15,023","21,245",93,-,"1,463",-,"1,463",-,-
,107.0%,88.7%,107.0%,92.9%,93.0%,92.7%,111.2%,163.2%,-,60.4%,-,61.9%,-,-
,"88,705","56,098","88,704","48,416","17,632","47,982","71,072",434,1,"7,682",1,"7,652",-,30
,92.2%,87.0%,92.5%,88.4%,84.6%,88.2%,94.7%,113.0%,0.3%,79.3%,-,80.8%,-,13.9%
10号西岸壁,"4,344",566,-,-,-,-,-,-,"4,344",566,"2,574",32,"1,770",534
,99.1%,42.9%,-,-,-,-,-,-,99.1%,42.9%,98.4%,-,100.2%,40.5%
,"15,383","1,991",-,-,-,-,-,-,"15,383","1,991","9,321",32,"6,062","1,959"
,100.0%,65.7%,-,-,-,-,-,-,100.0%,65.7%,99.5%,82.1%,100.9%,65.5%
青海コンテナふ頭（公共）,"55,745","24,176","54,219","22,558","10,519","22,280","43,700",278,"1,526","1,618","1,069","1,606",457,12
,99.0%,90.2%,99.4%,110.8%,88.3%,109.8%,102.5%,375.7%,88.5%,25.2%,112.2%,25.0%,59.2%,57.1%
,"193,093","86,994","185,521","73,729","36,803","72,376","148,718","1,353","7,572","13,265","5,403","13,109","2,169",156
,94.2%,80.2%,93.9%,85.6%,92.5%,84.8%,94.2%,175.3%,103.7%,59.3%,125.5%,58.8%,72.3%,185.7%
青海コンテナふ頭(埠頭㈱),"22,347","10,576","21,833","10,211","5,284","10,207","16,549",4,514,365,514,365,-,-
,62.2%,51.7%,61.6%,53.0%,60.4%,53.0%,62.0%,17.4%,108.7%,30.4%,136.3%,30.4%,-,-
,"132,383","56,041","130,346","48,839","34,435","48,729","95,911",110,"2,037","7,202","2,037","7,202",-,-
,88.6%,72.5%,88.6%,66.8%,100.5%,66.7%,84.9%,118.3%,90.3%,169.9%,120.8%,169.9%,-,-
お台場ライナーふ頭,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-,-,-
,134,72,134,72,15,-,119,72,-,-,-,-,-,-
,23.6%,51.4%,23.6%,51.4%,-,-,20.9%,51.4%,-,-,-,-,-,-
大井コンテナふ頭,"170,842","58,007","161,892","52,987","50,527","52,227","111,365",760,"8,950","5,020","3,352","4,877","5,598",143
,102.3%,129.4%,103.8%,149.6%,90.1%,150.8%,111.5%,96.2%,80.9%,53.4%,150.9%,52.3%,63.3%,227.0%
,"616,747","178,698","578,017","145,660","193,685","142,569","384,332","3,091","38,730","33,038","14,593","32,270","24,137",768
,99.4%,102.6%,98.4%,101.4%,99.9%,100.3%,97.7%,204.8%,116.8%,108.2%,160.6%,106.4%,100.3%,385.9%
その他,"33,345","15,686","26,372","14,632","6,193","14,613","20,179",19,"6,973","1,054","3,956",-,"3,017","1,054"
,163.1%,145.1%,208.9%,200.4%,180.1%,200.2%,219.6%,"1,900.0%",89.2%,30.1%,85.5%,-,94.6%,50.0%
,"88,066","40,841","60,645","36,280","15,341","36,211","45,304",69,"27,421","4,561","16,234",308,"11,187","4,253"
,109.2%,109.6%,117.9%,124.7%,134.7%,124.5%,113.2%,"3,450.0%",93.9%,55.8%,96.3%,8.4%,90.7%,94.0%
,,,,,,,,,,,,,,
(注) 上段： 当月，　下段： １月以降累計，　各下段： 対前年比％,,,,,,,,,,,,,,
1","68,248","27,285","40,963","57,494","30,432","27,062","52,689","30,476","22,213","50,495","27,228","23,267",46,窯業品,,,,,
47,重油,"503,515","242,732","260,783","371,257","176,110","195,147","349,265","163,368","185,897","389,576","180,146","209,430","350,481","160,818","189,663",47,重油,,,,,
48,揮発油,823,823,-,-,-,-,-,-,-,-,-,-,-,-,-,48,揮発油,,,,,
49,その他の石油,"4,453,104","20,444","4,432,660","4,383,908","21,930","4,361,978","4,212,742","21,924","4,190,8
