 2-(4)入港船舶係留施設別表,,,,,,,,,,,,(単位：隻、総トン)
,合計,,,,外航船,,,,内航船,,,
係留施設,当月,,1月以降累計,,当月,,1月以降累計,,当月,,1月以降累計,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数,隻数,総トン数
合計,"1,758 ","14,695,677 ","7,215 ","56,228,840 ",432 ,"11,090,159 ","1,625 ","41,494,290 ","1,326 ","3,605,518 ","5,590 ","14,734,550 "
公共計,935 ,"5,452,583 ","3,779 ","20,743,160 ",173 ,"2,481,442 ",644 ,"9,008,607 ",762 ,"2,971,141 ","3,135 ","11,734,553 "
ドルフィン,6 ,"3,235 ",22 ,"13,198 ",-,-,-,-,6 ,"3,235 ",22 ,"13,198 "
芝浦ふ頭,31 ,"70,592 ",123 ,"309,396 ",-,-,-,-,31 ,"70,592 ",123 ,"309,396 "
芝浦物揚場,28 ,"12,880 ",93 ,"42,780 ",-,-,-,-,28 ,"12,880 ",93 ,"42,780 "
日の出ふ頭,9 ,"5,863 ",31 ,"22,719 ",-,-,-,-,9 ,"5,863 ",31 ,"22,719 "
竹芝ふ頭,104 ,"281,868 ",550 ,"1,388,633 ",-,-,-,-,104 ,"281,868 ",550 ,"1,388,633 "
品川岸壁,149 ,"1,674,644 ",577 ,"6,544,848 ",78 ,"776,971 ",301 ,"3,013,528 ",71 ,"897,673 ",276 ,"3,531,320 "
 品川コンテナ,80 ,"728,156 ",306 ,"2,861,346 ",74 ,"722,243 ",288 ,"2,835,663 ",6 ,"5,913 ",18 ,"25,683 "
 品川外貿,4 ,"54,728 ",13 ,"177,865 ",4 ,"54,728 ",13 ,"177,865 ",-,-,-,-
 品川内貿,65 ,"891,760 ",258 ,"3,505,637 ",-,-,-,-,65 ,"891,760 ",258 ,"3,505,637 "
晴海ふ頭,2 ,"8,256 ",9 ,"48,162 ",-,-,1 ,"22,472 ",2 ,"8,256 ",8 ,"25,690 "
月島ふ頭,17 ,"5,135 ",86 ,"25,864 ",-,-,-,-,17 ,"5,135 ",86 ,"25,864 "
漁業基地,-,-,1 ,986 ,-,-,-,-,-,-,1 ,986 
