 2-(5)繧ｫ繝ｼ繝輔ぉ繝ｪ繝ｼ霈ｸ騾∫憾豕�,,,,,,�亥腰菴搾ｼ夐埆縲∫ｷ上ヨ繝ｳ縲√ヨ繝ｳ縲∝床縲∽ｺｺ��,
,,,蜷郁ｨ�,,荵晏ｷ�,,
,,,蠖捺怦,1譛井ｻ･髯咲ｴｯ險�,蠖捺怦,1譛井ｻ･髯咲ｴｯ險�,
蜈･貂ｯ闊ｹ闊ｶ,髫ｻ謨ｰ,,29,112,29,112,
,邱上ヨ繝ｳ謨ｰ,,"366,444","1,415,232","366,444","1,415,232",
蜿匁桶雋ｨ迚ｩ,險�,險�,"837,260","3,314,575","837,260","3,314,575",
,,蜃ｺ闕ｷ,"435,070","1,716,025","435,070","1,716,025",
,,蜈･闕ｷ,"402,190","1,598,550","402,190","1,598,550",
蜿悶��謇ｱ縲�蜿ｰ縲�謨ｰ,繝舌��繧ｹ,險�,8,30,8,30,
,,蜃ｺ闕ｷ,1,6,1,6,
,,蜈･闕ｷ,7,24,7,24,
,繝医Λ繝�け,險�,"7,601","30,031","7,601","30,031",
,,蜃ｺ闕ｷ,"3,991","15,741","3,991","15,741",
,,蜈･闕ｷ,"3,610","14,290","3,610","14,290",
,荵礼畑霆�,險�,"3,187","16,257","3,187","16,257",
,,蜃ｺ闕ｷ,"1,717","8,874","1,717","8,874",
,,蜈･闕ｷ,"1,470","7,383","1,470","7,383",
荵鈴剄莠ｺ蜩｡,險�,,722,"7,661",722,"7,661",
,荵苓飴,,418,"3,948",418,"3,948",
,髯崎飴,,304,"3,713",304,"3,713",
,,,,,,,
�域ｳｨ�峨き繝ｼ繝輔ぉ繝ｪ繝ｼ�郁�蜍戊ｻ願穐騾∬飴�峨↓繧医ｋ雋ｨ迚ｩ驥上�霆贋ｸ｡蛹ｺ蛻�挨縺ｫ蜿ｰ謨ｰ繧定ｪｿ謨ｴ縺�,,,,,,,
縲�縲�縲�謇�螳壹�謠帷ｮ励ヨ繝ｳ繧偵°縺代※邂怜�縺励※縺�∪縺吶��,,,,,,,
類,,,,, 4-(1)入港コンテナ船及びコンテナ貨物係留施設別表,,,,,,,,,,,,,（単位：隻、総トン、トン）
係留施設,入港コンテナ船,,,,,,コ ン テ ナ 取 扱 貨 物 量,,,,,,
,合計,,外航,,内航,,合計,外貿,,,内貿,,
,隻数,総トン数,隻数,総トン数,隻数,総トン数,,計,輸出,輸入,計,移出,移入
合計,694,"12,989,984",411,"10,809,661",283,"2,180,323","4,372,789","4,130,749","1,011,350","3,119,399","242,040","142,236","99,804"
,92.7%,96.7%,97.2%,95.7%,86.8%,101.9%,102.8%,103.3%,89.9%,108.6%,94.1%,111.3%,77.1%
,"2,707","48,924,462","1,547","40,512,826","1,160","8,411,636","16,129,252","15,208,912","4,014,221","11,194,691","920,340","521,597","398,743"
,96.0%,95.5%,93.4%,94.3%,99.7%,101.5%,100.0%,99.9%,101.9%,99.2%,102.0%,105.7%,97.5%
品川岸壁,143,"1,668,731",78,"776,971",65,"891,760","377,080","377,080","67,925","309,155",-,-,-
,98.6%,103.8%,101.3%,99.5%,95.6%,107.7%,108.0%,108.0%,91.8%,112.3%,-,-,-
,559,"6,519,165",301,"3,013,528",258,"3,505,637","1,292,013","1,292,007","230,473","1,061,534",6,6,-
,99.1%,104.8%,100.3%,99.9%,97.7%,109.3%,94.4%,94.4%,85.1%,96.7%,-,-,-
10号西岸壁,65,"734,420",-,-,65,"734,420","44,236",-,-,-,"44,236","28,477","15,759"
,92.9%,100.1%,-,-,92.9%,100.1%,100.5%,-,-,-,100.5%,98.7%,104.0%
,244,"2,745,312",-,-,244,"2,745,312","155,194",-,-,-,"155,194","102,450","52,744"
,90.7%,95.5%,-,-,90.7%,95.5%,100.0%,-,-,-,100.0%,97.7%,104.8%
青海コンテナふ頭（公共）,104,"1,555,665",83,"1,528,150",21,"27,515","806,988","791,079","145,600","645,479","15,909","10,279","5,630"
,90.4%,96.0%,92.2%,95.5%,84.0%,134.5%,103.1%,102.9%,93.8%,105.3%,113.2%,117.4%,106.3%
,420,"5,566,805",306,"5,454,641",114,"112,164","2,757,671","2,682,411","482,349","2,200,062","75,260","53,484","21,776"
,96.8%,91.9%,90.0%,91.5%,121.3%,113.0%,97.8%,97.4%,94.1%,98.1%,117.6%,133.0%,91.6%
青海コンテナふ頭(埠頭㈱),36,"1,235,864",30,"1,228,191",6,"7,673","327,964","313,939","70,710","243,229","14,025","14,025",-
,53.7%,66.9%,48.4%,66.6%,120.0%,219.5%,64.4%,63.1%,62.3%,63.3%,117.9%,143.3%,-
,228,"6,461,875",203,"6,431,054",25,"30,821","2,006,571","1,955,122","466,713","1,488,409","51,449","51,029",420
,87.0%,90.1%,83.5%,89.9%,131.6%,169.6%,93.4%,93.2%,102.2%,90.7%,99.8%,122.7%,4.2%
お台場ライナーふ頭,12,"68,201",-,-,12,"68,201",-,-,-,-,-,-,-
,80.0%,72.8%,-,-,85.7%,111.6%,-,-,-,-,-,-,-
,52,"355,800",2,"65,102",50,"290,698","2,144","2,144",431,"1,713",-,-,-
,89.7%,89.3%,50.0%,50.0%,92.6%,108.3%,18.9%,18.9%,15.1%,20.1%,-,-,-
大井コンテナふ頭,249,"6,608,655",169,"6,510,586",80,"98,069","2,366,589","2,276,400","646,875","1,629,525","90,189","41,390","48,799"
,91.9%,96.3%,103.7%,97.0%,74.1%,66.0%,103.5%,104.2%,88.5%,112.2%,88.5%,155.1%,64.9%
,951,"24,448,128",621,"24,054,878",330,"393,250","8,763,933","8,433,513","2,639,782","5,793,731","330,420","121,080","209,340"
,96.6%,94.5%,95.0%,94.7%,100.0%,81.1%,101.9%,101.9%,103.6%,101.1%,103.0%,108.5%,100.0%
その他,85,"1,118,448",51,"765,763",34,"352,685","449,932","372,251","80,240","292,011","77,681","48,065","29,616"
,128.8%,167.6%,170.0%,237.1%,94.4%,102.5%,160.8%,191.4%,157.4%,203.4%,91.1%,89.6%,93.6%
,253,"2,827,377",114,"1,493,623",139,"1,333,754","1,151,726","843,715","194,473","649,242","308,011","193,548","114,463"
,101.2%,108.3%,98.3%,116.8%,103.7%,100.1%,111.6%,117.0%,130.7%,113.5%,99.0%,99.1%,99.0%
,,,,,,,,,,,,,
上段： 当月，　下段： １月以降累計，　各下段： 対前年比％,,,,,,,,,,,,,
4,252,494","7,647,666","6,604,828","13,377,545","7,096,251","6,281,294","13,243,526","6,948,564","6,294,962",金属機械工業品,,,,,,
28,鉄鋼,"11,731",916,"10,815","12,256",475,"11,781","7,710",535,"7,175","18,848",743,"18,105","18,882","5,827","13,055",28,鉄鋼,,,,,
29,鋼材,"1,152,430","13,661","1,138,769","1,095,823","14,764","1,081,059","1,053,894","16,755","1,037,139","1,019,825","18,763","1,001,062","1,249,087","32,548","1,216,539",29,鋼材,,,,,
30,非鉄金属,"49,554","7,260","42,294","54,473","4,192","50,281","44,304","6,561","37,743","52,030","5,038","46,992","56,389","10,490","45,899",30,非鉄金属,,,,,
31,金属製品,"85,330","54,556","30,774","85,766","49,310","36,456","66,926","41,653","25,273","64,059","40,734","23,325","66,321","38,097","28,224",31,金属製品,,,,,
32,鉄道車両,15,15,-,10,10,-,-,-,-,340,340,-,419,165,254,32,鉄道車両,,,,,
33,完成自動車,"14,019,140","7,994,898","6,024,242","13,306,457","7,820,926","5,485,531","12,224,987","7,071,044","5,153,943","11,356,023","6,530,592","4,825,431","11,115,621","6,443,539","4,672,082",33,完成自動車,,,,,
34,その他輸送用車両,"27,704","15,472","12,232","26,842","13,494","13,348","37,133","15,285","21,848","28,524","5,908","22,616","13,475","8,318","5,157",34,その他輸送用車両,,,,,
35,二輪自動車,846,498,348,"1,679",694,985,913,231,682,416,97,319,"1,193",699,494,35,二輪自動車,,,,,
36,自動車部品,"92,070","29,904","62,166","113,191","30,931","82,260","95,599","33,814","61,785","97,888","29,247","68,641","106,313","25,526","80,787",36,自動車部品,,,,,
37,その他輸送機械,"212,677","92,292","120,385","204,318","78,815","125,503","206,228","80,460","125,768","229,944","99,776","130,168","183,557","83,785","99,772",37,その他輸送機械,,,,,
38,産業機械,"254,690","177,097","77,593","309,763","204,141","105,622","277,794","185,833","91,961","254,423","181,323","73,100","214,926","142,644","72,282",38,産業機械,,,,,
39,電気機械,"60,275","43,068","17,207","84,918","57,807","27,111","74,391","56,933","17,458","110,434","60,433","50,001","56,152","27,161","28,991",39,電気機械,,,,,
40,測量・光学・医療用機械,"28,088","14,791","13,297","17,124","11,177","5,947","24,014","13,567","10,447","7,923","1,760","6,163","16,668","4,487","12,181",40,測量・光学・医療用機械,,,,,
41,事務用機器,"61,729","60,679","1,050","116,709","115,849",860,"114,242","113,732",510,"114,874","114,059",815,"118,054","117,129",925,41,事務用機器,,,,,
42,その他機械,"22,807","11,030","11,777","24,565","10,773","13,792","24,359","11,263","13,096","21,994","7,438","14,556","26,469","8,149","18,320",42,その他機械,,,,,
化学工業品,,"8,233,575","521,196","7,712,379","7,790,342","441,029","7,349,313","7,313,340","420,164","6,893,176","7,538,195","428,512","7,109,683","7,498,438","417,110","7,081,328",化学工業品,,,,,,
43,陶磁器,673,653,20,923,506,417,73,53,20,129,15,114,"2,739",75,"2,664",43,陶磁器,,,,,
44,セメント,"2,850,761","29,612","2,821,149","2,619,938","31,823","2,588,115","2,349,978","40,646","2,309,332","2,599,501","40,756","2,558,745","2,779,161","47,905","2,731,256",44,セメント,,,,,
45,ガラス類,"18,087","16,865","1,222","15,628","15,026",602,"15,073","14,732",341,"15,652","15,434",218,"16,303","15,897",406,45,ガラス類,,,,,
46,窯業品,"62,469","31,128","31,341","68,248","27,285","40,963","57,494","30,432","27,062","52,689","30,476","22,213","50,495","27,228","23,267",46,窯業品,,,,,
47,重油,"503,515","242,732","260,783","371,257","176,110","195,147","349,265","163,368","185,897","389,576","180,146","209,430","350,481","160,818","189,663",47,重油,,,,,
48,揮発油,823,823,-,-,-,-,-,-,-,-,-,-,-,-,-,48,揮発油,,,,,
49,その他の石油,"4,453,104","20,444","4,432,660","4,383,908","21,930","4,361,978","4,212,742","21,924","4,190,8
