 3-(1)海上出入貨物月別前年比較表,,,,,,,,,,(単位：トン）,,,,,,,,,,(単位：トン）
月,令和2年(2020年),,,,,,,,,,平成31年(2019年),,,,,,,,,
,合計,外貿,,,（外貿コンテナ）,,,内貿,,,合計,外貿,,,（外貿コンテナ）,,,内貿,,
,,計,輸出,輸入,計,輸出,輸入,計,移出,移入,,計,輸出,輸入,計,輸出,輸入,計,移出,移入
１月　,"6,650,178","3,940,159","830,529","3,109,630","3,811,366","780,654","3,030,712","2,710,019","1,085,612","1,624,407","6,993,483","3,853,638","805,196","3,048,442","3,719,222","770,131","2,949,091","3,139,845","1,122,618","2,017,227"
,95.1%,102.2%,103.1%,102.0%,102.5%,101.4%,102.8%,86.3%,96.7%,80.5%,,,,,,,,,,
２月　,"6,104,073","3,022,983","1,040,041","1,982,942","2,893,439","999,813","1,893,626","3,081,090","1,269,107","1,811,983","6,882,062","3,591,864","1,041,631","2,550,233","3,453,484","989,585","2,463,899","3,290,198","1,215,286","2,074,912"
,88.7%,84.2%,99.8%,77.8%,83.8%,101.0%,76.9%,93.6%,104.4%,87.3%,,,,,,,,,,
３月　,"7,782,185","4,541,152","1,299,536","3,241,616","4,373,358","1,222,404","3,150,954","3,241,033","1,325,295","1,915,738","7,912,306","4,196,241","1,092,793","3,103,448","4,059,024","1,055,130","3,003,894","3,716,065","1,413,344","2,302,721"
,98.4%,108.2%,118.9%,104.5%,107.7%,115.9%,104.9%,87.2%,93.8%,83.2%,,,,,,,,,,
４月　,"6,998,923","4,258,704","1,059,747","3,198,957","4,130,749","1,011,350","3,119,399","2,740,219","1,183,813","1,556,406","7,605,967","4,200,122","1,174,212","3,025,910","3,997,223","1,124,826","2,872,397","3,405,845","1,263,957","2,141,888"
,92.0%,101.4%,90.3%,105.7%,103.3%,89.9%,108.6%,80.5%,93.7%,72.7%,,,,,,,,,,
５月　,-,-,-,-,-,-,-,-,-,-,"6,867,500","3,814,020","904,827","2,909,193","3,669,077","868,294","2,800,783","3,053,480","1,158,488","1,894,992"
,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
６月　,-,-,-,-,-,-,-,-,-,-,"7,513,819","4,134,598","1,162,097","2,972,501","3,989,472","1,108,206","2,881,266","3,379,221","1,322,104","2,057,117"
,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
７月　,-,-,-,-,-,-,-,-,-,-,"7,921,074","4,364,836","1,106,244","3,258,592","4,239,659","1,066,185","3,173,474","3,556,238","1,402,449","2,153,789"
,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
８月　,-,-,-,-,-,-,-,-,-,-,"6,983,566","3,935,405","969,787","2,965,618","3,758,692","905,881","2,852,811","3,048,161","1,180,303","1,867,858"
,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
９月　,-,-,-,-,-,-,-,-,-,-,"7,247,832","4,150,213","1,097,249","3,052,964","4,000,361","1,084,229","2,916,132","3,097,619","1,227,506","1,870,113"
,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
１０月　,-,-,-,-,-,-,-,-,-,-,"7,199,541","3,988,032","1,071,150","2,916,882","3,821,027","985,054","2,835,973","3,211,509","1,260,752","1,950,757"
,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
１１月　,-,-,-,-,-,-,-,-,-,-,"7,418,059","4,162,290","1,075,481","3,086,809","3,993,999","1,024,900","2,969,099","3,255,769","1,259,624","1,996,145"
,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
１２月　,-,-,-,-,-,-,-,-,-,-,"7,258,417","4,101,623","1,233,963","2,867,660","3,960,971","1,172,632","2,788,339","3,156,794","1,226,433","1,930,361"
,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,
累計,"27,535,359","15,762,998","4,229,853","11,533,145","15,208,912","4,014,221","11,194,691","11,772,361","4,863,827","6,908,534","87,803,626","48,492,882","12,734,630","35,758,252","46,662,211","12,155,053","34,507,158","39,310,744","15,052,864","24,257,880"
,93.7%,99.5%,102.8%,98.3%,99.9%,101.9%,99.2%,86.9%,97.0%,80.9%,,,,,,,,,,
前年累計,"29,393,818","15,841,865","4,113,832","11,728,033","15,228,953","3,939,672","11,289,281","13,551,953","5,015,205","8,536,748",,,,,,,,,,
増(－)減,"-1,858,459","-78,867","116,021","-194,888","-20,041","74,549","-94,590","-1,779,592","-151,378","-1,628,214",,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
（注）下段：前年同月比％,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
