施設名,郵便番号,所在地,経度,緯度,座標系,電話番号
東京都児童相談センター,169-0074,新宿区北新宿４－６－１,139.693808,35.708274,JGD2011,03-5937-2311（練馬・小笠原支庁）／03-5937-2314（渋谷・文京・台東・豊島・大島支庁）／03-5937-2317（新宿・中央・港・千代田・八丈・三宅支庁）
東京都江東児童相談所,135-0051,江東区枝川３－６－９,139.81066,35.658677,JGD2011,03-3640-5432
東京都品川児童相談所,140-0001,品川区北品川３－７－２１,139.740343,35.617874,JGD2011,03-3474-5442
東京都世田谷児童相談所,156-0054,世田谷区桜丘５－２８－１２,139.619769,35.643557,JGD2011,03-5477-6301
東京都杉並児童相談所,167-0052,杉並区南荻窪４－２３－６,139.615026,35.701142,JGD2011,03-5370-6001
東京都北児童相談所,114-0002,北区王子６－１－１２,139.738885,35.761278,JGD2011,03-3913-5421
東京都足立児童相談所,123-0845,足立区西新井本町３－８－４,139.776267,35.775519,JGD2011,03-3854-1181
東京都八王子児童相談所,193-0931,八王子市台町２－７－１３,139.320525,35.648952,JGD2011,042-624-1141
東京都立川児童相談所,190-0012,立川市曙町３－１０－１９,139.428967,35.700632,JGD2011,042-523-1321
東京都小平児童相談所,187-0002,小平市花小金井１－３１－２４,139.516688,35.730062,JGD2011,042-467-3711
東京都多摩児童相談所,206-0024,多摩市諏訪２－６,139.451659,35.627772,JGD2011,042-372-5600
