"種別","施設名称","施設の目的及び対象者","担当部課名","連絡先"
"介護保険施設等","老人福祉センター（A型）","①生活相談・健康相談　②生業及び就労の指導　③機能回復訓練の実施　④教養講座等の実施　⑤老人クラブに対する援助　⑥入浴サービス事業等","福祉保健局　高齢社会対策部　在宅支援課","５３２０－４２７５（直通）／３３－５８１（内線）"
"介護保険施設等","老人福祉センター（B型）","Ａ型センターの機能を補完する小型の老人福祉センター　①各種相談　②教養講座等の実施　③老人クラブに対する援助","福祉保健局　高齢社会対策部　在宅支援課","５３２０－４２７５（直通）／３３－５８１（内線）"
"保育所等","保育所","日々保護者の委託を受けて、保護者の労働又は疾病その他の事由により、保育を必要とする乳児又は幼児を保育する。","福祉保健局　少子社会対策部　保育支援課","５３２０－４１２８（直通）／３２－７９６（内線）"
"児童福祉施設等","助産施設","保健上必要があるにもかかわらず、経済的理由により病産院等で入院分べんが困難な妊産婦を対象に、入院助産を行う。","福祉保健局　少子社会対策部　家庭支援課","５３２０－４３７５（直通）／３２－６７３（内線）"
"児童福祉施設等","乳児院","乳児（保健上、安定した生活環境の確保その他の理由により特に必要のある場合には、幼児を含む。）を入院させて、これを養育し、あわせて退院した者について相談その他の援助を行う。","福祉保健局　少子社会対策部　育成支援課","５３２０－４１３６（直通）／３２－６５５（内線）"
"児童福祉施設等","母子生活支援施設","配偶者のない女子又はこれに準ずる事情にある女子及びその者の監護すべき児童を入所させ、これらの者を保護するとともに、これらの者の自立の促進のためにその生活を支援する。","福祉保健局　少子社会対策部　育成支援課","５３２０－４１２５（直通）／３２－６１１（内線）"
"児童福祉施設等","児童養護施設","保護者のいない児童（乳児を除く。ただし、安定した生活環境の確保その他の理由により特に必要のある場合には、乳児を含む。）、虐待されている児童その他環境上養護を要する児童を入所させて、これを養護し、あわせて退所した者に対する相談その他の自立のための援助を行う。","福祉保健局　少子社会対策部　育成支援課","５３２０－４１２２（直通）／３２－６５１（内線）"
"児童福祉施設等","児童自立支援施設","不良行為をなし、又はなすおそれのある児童及び、家庭環境その他の環境上の理由により、生活指導等を要する児童を入所させ、又は保護者の下から通わせて、個々の児童の状況に応じて必要な指導を行い、その自立を支援し、あわせて退所した者について相談その他の援助を行う。","福祉保健局　少子社会対策部　育成支援課","５３２０－４５５０（直通）／３２－６５８（内線）"
"児童福祉施設等","児童館","屋内に集会室、遊戯室、図書室等必要な設備を設け、児童に健全な遊びを与える。","福祉保健局　少子社会対策部　家庭支援課","５３２０－４３７１（直通）／３２－６６６（内線）"
"児童福祉施設等","福祉型障害児入所施設","障害児を入所させて保護し、日常生活の指導及び独立自活に必要な知識技能の付与をする。","福祉保健局　障害者施策推進部　施設サービス支援課","５３２０－４３７４（直通）／３３－１１４（内線）"
"児童福祉施設等","医療型障害児入所施設","障害児を入所させて保護し、日常生活の指導、独立自活に必要な知識技能の付与及び治療をする。","福祉保健局　障害者施策推進部　施設サービス支援課","５３２０－４３７４（直通）／３３－１１４（内線）"
"児童福祉施設等","福祉型児童発達支援センター","障害児を日々保護者の下から通わせて、日常生活における基本的動作の指導、独立自活に必要な知識技能の付与又は集団生活への適応のための訓練をする。","福祉保健局　障害者施策推進部　施設サービス支援課","５３２０－４３７４（直通）／３３－１２３（内線）"
"児童福祉施設等","医療型児童発達支援センター","障害児を日々保護者の下から通わせて、日常生活における基本的動作の指導、独立自活に必要な知識技能の付与又は集団生活への適応のための訓練及び治療をする。","福祉保健局　障害者施策推進部　施設サービス支援課","５３２０－４３７４（直通）／３３－１２３（内線）"
"児童福祉施設等","自立援助ホーム","義務教育終了後に、児童養護施設等を退所し就職する児童等に、社会的に自立するよう援助する。","福祉保健局　少子社会対策部　育成支援課","５３２０－４５５０（直通）／３２－６５８（内線）"
"障害児通所支援等事業所","児童発達支援事業所","障害児につき、日常生活における基本的な動作の指導、知識技能の付与、集団生活への適応訓練その他の便宜を供与する。","福祉保健局　障害者施策推進部　施設サービス支援課","５３２０－４３７４（直通）／３３－１２３（内線）"
"障害児通所支援等事業所","放課後等デイサービス事業所","学校教育法第一条に規定する学校（幼稚園及び大学を除く。）に就学している障害児につき、授業の終了後又は休業日に、生活能力の向上のために必要な訓練、社会との交流の促進その他の便宜を供与する。","福祉保健局　障害者施策推進部　施設サービス支援課","５３２０－４３７４（直通）／３３－１２３（内線）"
"障害児通所支援等事業所","保育所等訪問支援事業所","保育所や児童が集団生活を営む施設に通う障害児につき、当該施設を訪問し、当該施設における障害児以外の児童との集団生活への適応のための専門的な支援その他の便宜を供与する。","福祉保健局　障害者施策推進部　施設サービス支援課","５３２０－４３７４（直通）／３３－１２３（内線）"
"障害児通所支援等事業所","障害児相談支援事業所","障害児支援利用援助及び継続障害児支援利用援助を行う。","福祉保健局　障害者施策推進部　施設サービス支援課","５３２０－４３７４（直通）／３３－１２３（内線）"
"婦人保護施設","婦人保護施設","自立のための援助を必要とする女性を入所させ、就労及び生活に関する指導等を行うことにより、その自立を支援する。","東京都女性相談センター","５２６１－３９１１（直通）"
"障害者支援施設","障害者支援施設","施設に入所する障害者に、主として夜間、入浴・排せつ・食事の介護等（施設入所支援）を行うとともに、施設入所支援以外の施設障害福祉サービスを行う施設","福祉保健局　障害者施策推進部　施設サービス支援課","５３２０－４１５６（直通）／３３－２９１（内線）"
"障害者サービス等事業所","自立生活援助事業所","障害者支援施設等を利用していた障害者が、居宅において単身で自立した日常生活を営むに当たり、定期的な居宅訪問や随時の対応により必要な支援を行う。","福祉保健局　障害者施策推進部　地域生活支援課","５３２０－４３２５（直通）／３３－２０９（内線）"
"障害者サービス等事業所","自立訓練（機能訓練）事業所","身体障害者が、日常生活又は社会生活ができるよう、一定期間、身体機能又は生活能力の維持及び向上のために必要な訓練を行う。","福祉保健局　障害者施策推進部　施設サービス支援課","５３２０－４１５６（直通）／３３－２９１（内線）"
"障害者サービス等事業所","自立訓練（生活訓練）事業所","知的障害者又は精神障害者に、日常生活又は社会生活ができるよう、一定期間、生活能力の維持及び向上のために必要な訓練を行う。","福祉保健局　障害者施策推進部　施設サービス支援課","５３２０－４１５６（直通）／３３－２９１（内線）"
"障害者サービス等事業所","就労移行支援事業所","一般企業等へ就労を希望する65歳未満の障害者に、一定期間、就労に必要な知識及び能力の向上のために必要な訓練、求職活動に関する支援等を行う。","福祉保健局　障害者施策推進部　地域生活支援課","５３２０－４１５８（直通）／３３－２５５（内線）"
"障害者サービス等事業所","就労継続支援（Ａ型）事業所","一般企業等での就労が困難な障害者のうち、雇用契約に基づき、継続的に就労することが可能な65歳未満の者について、生産活動その他の活動の機会を提供するとともに、就労に必要な知識及び能力の向上のために必要な訓練や支援を行う。","福祉保健局　障害者施策推進部　地域生活支援課","５３２０－４１５８（直通）／３３－２５５（内線）"
"障害者サービス等事業所","就労継続支援（Ｂ型）事業所","一般企業等での就労が困難な障害者のうち、通常の事業所に雇用されていた障害者であってその年齢、心身の状態その他の事情により引き続き当該事業所に雇用されることが困難となった者、就労移行支援によっても通常の事業所に雇用されるに至らなかった者等について、生産活動その他の活動の機会を提供するとともに、就労に必要な知識及び能力の向上のために必要な訓練や支援を行う。","福祉保健局　障害者施策推進部　地域生活支援課","５３２０－４１５８（直通）／３３－２５５（内線）"
"障害者サービス等事業所","就労定着支援事業所","就労移行支援事業所等の利用を経て、一般企業等へ移行した障害者に対し、就労の継続を図るため、企業・自宅等への訪問や来所による連絡調整・指導・助言等、就労に伴い生じている生活面の課題に対応するために必要な支援を行う。","福祉保健局　障害者施策推進部　地域生活支援課","５３２０－４１５８（直通）／３３－２５５（内線）"
"障害者サービス等事業所","計画相談支援事業所","サービス利用支援及び継続サービス利用支援を行う。","福祉保健局　障害者施策推進部　地域生活支援課","５３２０－４３２５（直通）／３３－２０９（内線）"
"障害者サービス等事業所","地域相談支援（地域移行支援）事業所","障害者支援施設等に入所している者又は精神科病院に入院している精神障害者につき、住居の確保その他の地域における生活に移行するための活動に関する相談その他の必要な支援を行う。","福祉保健局　障害者施策推進部　地域生活支援課","５３２０－４３２５（直通）／３３－２０９（内線）"
"障害者サービス等事業所","地域相談支援（地域定着支援）事業所","居宅において単身等で生活する障害者につき、常時の連絡体制を確保し、障害の特性に起因して生じた緊急の事態等に相談その他必要な支援を行う。","福祉保健局　障害者施策推進部　地域生活支援課","５３２０－４３２５（直通）／３３－２０９（内線）"
"身体障害者社会参加支援施設","補装具製作施設","無料又は低額な料金で、補装具の製作又は修理を行う。","福祉保健局　障害者施策推進部　施設サービス支援課","５３２０－４１４６（直通）／３３－１５５（内線）"
"身体障害者社会参加支援施設","身体障害者補助犬訓練施設（盲導犬訓練施設を除く。）","無料又は低額な料金で、身体障害者補助犬（盲導犬、介助犬、聴導犬）の訓練を行うとともに、身体障害者の利用に対し必要な訓練を行う。","福祉保健局　障害者施策推進部　計画課","５３２０－４１４７（直通）／３３－２４１（内線）"
"身体障害者社会参加支援施設","盲導犬訓練施設","無料又は低額な料金で、身体障害者補助犬（盲導犬、介助犬、聴導犬）の訓練を行うとともに、身体障害者の利用に対し必要な訓練を行う。","福祉保健局　障害者施策推進部　計画課","５３２０－４１４７（直通）／３３－２４１（内線）"
"身体障害者社会参加支援施設","点字図書館","無料又は低額な料金で、点字刊行物及び盲人用の録音物を盲人の利用に供与する。","福祉保健局　障害者施策推進部　計画課","５３２０－４１４７（直通）／３３－２４１（内線）"
"身体障害者社会参加支援施設","点字出版施設","無料又は低額な料金で、点字刊行物を出版する。","福祉保健局　障害者施策推進部　計画課","５３２０－４１４７（直通）／３３－２４１（内線）"
"身体障害者社会参加支援施設","聴覚障害者情報提供施設","字幕（手話）入ビデオカセットの製作・貸出、手話奉仕員、要約筆記奉仕員の設置・派遣及び情報機の貸出等を行う。","福祉保健局　障害者施策推進部　計画課","５３２０－４１４７（直通）／３３－２４１（内線）"
"身体障害者社会参加支援施設","盲人ホーム","あん摩師免許、はり師免許又はきゅう師免許を有する視覚障害者であって、自営し、又は雇用されることの困難なものに施設を利用させ、必要な技術の指導を行う。","福祉保健局　障害者施策推進部　計画課","５３２０－４１４７（直通）／３３－２４１（内線）"
"保護施設","救護施設","身体上又は精神上著しい障害があるために日常生活を営むことが困難な要保護者を入所させて、生活扶助を行う。","福祉保健局　生活福祉部　保護課","５３２０－４０８６（直通）／３２－４３６（内線）"
"保護施設","更生施設","身体上又は精神上の理由により、養護及び生活指導を必要とする要保護者を入所させて、生活扶助を行う。","福祉保健局　生活福祉部　保護課","５３２０－４０８６（直通）／３２－４３６（内線）"
"保護施設","医療保護施設","医療を必要とする要保護者に対して、医療の給付を行う。","福祉保健局　生活福祉部　保護課","５３２０－４０６５（直通）／３２－４４４（内線）"
"保護施設","宿所提供施設","住居のない要保護者の世帯に対して、住宅扶助を行う。","福祉保健局　生活福祉部　保護課","５３２０－４０８６（直通）／３２－４３６（内線）"
