経営,事業所名,郵便番号,所在地,経度,緯度,座標系,電話番号
他の法人,エヌフィットキャリアカレッジ日本橋,103-0013,中央区日本橋人形町３－３－１０　日本橋ＴＥＣビル３階・４階・５階,139.780832,35.68584,JGD2011,03-6231-0776
他の法人,コンフィデンス日本橋,103-0022,中央区日本橋室町１－５－１５　昇賢ビル４階,139.774677,35.685729,JGD2011,03-6225-2505
営利法人,くじら,160-0004,新宿区四谷４－３２－１　吉岡ビル５Ｆ,139.71487,35.68946,JGD2011,03-6274-8977
営利法人,ルーツプラス,160-0008,新宿区三栄町２９－６　Ｆビル５階,139.724719,35.690385,JGD2011,03-5315-4539
営利法人,あしか,160-0022,新宿区新宿１－２－８　国久ビル５ＦＡ室,139.712687,35.687963,JGD2011,03-6273-1021
営利法人,就労定着事業所　リバーサル,113-0033,文京区本郷２－２５－５　角地ビル３階,139.760308,35.705073,JGD2011,03-3868-3174
区市町村,すみだ障害者就労支援総合センター,130-0021,墨田区緑４－２５－４,139.807678,35.695542,JGD2011,03-5600-2004
営利法人,ティオ森下,135-0004,江東区森下２－１８－２　センテナリー森下２階,139.798436,35.688326,JGD2011,03-6659-5782
他の法人,フードコミュニティ目黒,152-0001,目黒区中央町２－３２－５　スマイルプラザ中央町,139.688775,35.631511,JGD2011,03-5768-0707
他の法人,ポレポレ,144-0051,大田区西蒲田６－２４－５,139.71087,35.565011,JGD2011,03-3733-3490
他の法人,らいず,144-0051,大田区西蒲田２－９－１６,139.708853,35.569818,JGD2011,03-3752-2274
他の法人,でらいとわーく,144-0052,大田区蒲田５－３０－１５　第２０下川ビル,139.719622,35.561878,JGD2011,03-6428-6744
区市町村,大田区立障害者総合サポートセンター,144-8621,大田区中央４－３０－１１,139.718238,35.579492,JGD2011,03-5728-9435
社福法人,Ｃommelina,157-0062,世田谷区南烏山６－３３－３６　松山ビル３階,139.600328,35.670004,JGD2011,03-3305-8793
社福法人,しごとも,158-0082,世田谷区等々力６－１０－１９,139.655903,35.611826,JGD2011,03-3704-0029
他の法人,特定非営利活動法人Ｔ＆Ｅ企画,158-0098,世田谷区上用賀５－５－１０　万葉ビル４階,139.626528,35.628099,JGD2011,03-3709-0802
他の法人,ワークセンター翔和,164-0011,中野区中央１－３２－６　フォーチュンハウス,139.684231,35.697956,JGD2011,03-5386-0474
他の法人,ゆい企画（就労定着）,166-0015,杉並区成田東５－１５－２１　成宗マンション１階,139.628827,35.702087,JGD2011,03-3220-7880
営利法人,就労定着支援事業所　ウェルビー荻窪駅前センター,167-0043,杉並区上荻１－５－７　ハザマビル７階,139.621767,35.705042,JGD2011,03-6915-1421
他の法人,カフェフレンド,116-0003,荒川区南千住７－２６－２,139.799137,35.735633,JGD2011,03-5615-2101
社福法人,社会就労センタープロデュース道,173-0024,板橋区大山金井町３９－１　ダイアパレス大山１０１,139.704072,35.746667,JGD2011,03-5926-8803
他の法人,Ｂｅｅｃｈ,174-0053,板橋区清水町８１－１１,139.704396,35.767101,JGD2011,03-6909-6411
社福法人,やすらぎラウンジ,177-0045,練馬区石神井台８－２２－６,139.579891,35.737648,JGD2011,03-5947-4503
他の法人,青オニの家,178-0065,練馬区西大泉３－１－１　ウエストヒルズ１階西側,139.584071,35.754258,JGD2011,03-3922-7366
区市町村,足立区障がい者自立支援センター,121-0813,足立区竹の塚６－１８－４,139.792629,35.796617,JGD2011,03-3883-7249
区市町村,足立区障がい福祉センター就労促進訓練室定着事業,121-0816,足立区梅島３－３１－１９,139.792921,35.777505,JGD2011,03-5681-0133
営利法人,就労移行支援センターフリーデザイン,123-0843,足立区西新井栄町１－５－５　海老原ビル３階,139.790833,35.773417,JGD2011,03-5888-2230
営利法人,あさひ,125-0042,葛飾区金町６－５－８,139.871704,35.768607,JGD2011,03-3826-6075
区市町村,江戸川区立障害者就労支援センター,133-0052,江戸川区東小岩６－１５－２,139.888354,35.735184,JGD2011,03-5622-6050
営利法人,ヒューマングロー小岩,133-0057,江戸川区西小岩１－２１－２０　第２０東ビル５階Ｂ室,139.880721,35.733959,JGD2011,03-5829-4532
営利法人,就労定着支援事業所リスタ八王子,192-0081,八王子市横山町３－６　八王子横山町ＪＥビル６階,139.339026,35.659571,JGD2011,042-649-2649
他の法人,ソレモ,190-0011,立川市高松町３－２９－１５　浦野ハイツ１階２０２号,139.420559,35.703548,JGD2011,042-849-2771
営利法人,立川おりおん,190-0012,立川市曙町二丁目９番１号　菊谷ビルディング５０２,139.415601,35.701026,JGD2011,042-595-7484
他の法人,就労定着支援事業所　ＷＯＲＫ　ＳＰＡＣＥ　hinata,190-0021,立川市羽衣町２－４１－１　羽衣第一ビル１階,139.426056,35.694049,JGD2011,042-512-9763
社福法人,原町田スクエア,194-0013,町田市原町田５－４－１９,139.449459,35.544781,JGD2011,042-725-0786
社福法人,ひあたり野津田,195-0063,町田市野津田町１８３２番地５,139.436731,35.587554,JGD2011,042-736-8421
他の法人,あん工房,184-0004,小金井市本町３－８－１　第二佐藤ビル,139.508304,35.705667,JGD2011,042-385-1126
社福法人,ワークセンター夢の樹,187-0001,小平市大沼町２－１－３,139.492543,35.738679,JGD2011,042-349-2586
営利法人,わーくあっぷ,197-0013,福生市武蔵野台１－１１－７,139.334718,35.747866,JGD2011,042-513-7132
社福法人,就労定着支援事業所カノン,188-0004,西東京市西原町４－５－６　西東京市西原総合教育施設内,139.528381,35.737214,JGD2011,042-468-5665
