"設置","施設名","郵便番号","所在地","経度","緯度","座標系","電話番号","定員"
"区市町村","文京区児童発達支援センター","113-0034","文京区湯島４－７－１０","139.765768","35.708848","JGD2011","03-5800-2631","30"
"区市町村","すみだ福祉保健センターみつばち園","131-0033","墨田区向島３－３６－７　すみだ福祉保健センター内","139.810759","35.713374","JGD2011","03-5608-3715","40"
"区市町村","江東区こども発達扇橋センター","135-0011","江東区扇橋３－７－２","139.820443","35.682685","JGD2011","03-3648-3760","41"
"区市町村","江東区こども発達センター","135-0043","江東区塩浜２－５－２０","139.805383","35.661932","JGD2011","03-5632-2591","44"
"区市町村","品川区立品川児童学園","140-0003","品川区八潮５－９－１１　こみゅてぃぷらざ八潮３階","139.752285","35.598211","JGD2011","03-3790-5561","20"
"区市町村","目黒区すくすくのびのび園","152-0001","目黒区中央町２－２３－２４","139.690941","35.630827","JGD2011","03-3714-1617","46"
"区市町村","大田区立こども発達センターわかばの家","146-0083","大田区千鳥３－７－５","139.690366","35.573002","JGD2011","03-3757-7761","36"
"社福法人","あけぼの学園","154-0005","世田谷区三宿２－３０－９","139.672903","35.650927","JGD2011","03-3413-6781","5"
"社福法人","子どもの生活研究所めばえ学園","156-0055","世田谷区船橋１－３０－９","139.620908","35.648043","JGD2011","03-3426-2323","30"
"区市町村","杉並区立こども発達センター","168-0072","杉並区高井戸東１－１８－５","139.619729","35.682622","JGD2011","03-5317-5661","40"
"社福法人","中央愛児園","170-0005","豊島区南大塚３－４３－１１","139.728895","35.728981","JGD2011","03-5927-1285","20"
"区市町村","加賀福祉園","173-0003","板橋区加賀１－７－２","139.718715","35.754192","JGD2011","03-3579-2366","30"
"社福法人","富士見台聴こえとことばの教室","177-0034","練馬区富士見台２－３４－４","139.621018","35.737324","JGD2011","03-3998-4321","40"
"区市町村","練馬区立こども発達支援センター","179-0072","練馬区光が丘３－１－１","139.630961","35.754201","JGD2011","03-3975-6251","85"
"区市町村","足立区障がい福祉センター幼児発達支援室","121-0816","足立区梅島３－３１－１９","139.792921","35.777505","JGD2011","03-5681-0136","30"
"社福法人","うめだ・あけぼの学園","123-0851","足立区梅田７－１２－１５","139.800899","35.76922","JGD2011","03-3848-1190","120"
"区市町村","葛飾区子ども発達センター","124-0006","葛飾区堀切３－３４－１","139.834522","35.744335","JGD2011","03-5698-1324","40"
"社福法人","のぞみ学園かめあり","125-0061","葛飾区亀有２－２２－１１","139.85232","35.760061","JGD2011","03-6231-2262","40"
"社福法人","すぎな愛育園","1930931","八王子市台町２－７－２２","139.321239","35.649091","JGD2011","042-625-8007","50"
"区市町村","町田市すみれ教室","194-0021","町田市中町２－１３－１４","139.444459","35.551569","JGD2011","042-726-6570","40"
"他の法人","ライシャワ・クレーマ学園","195-0063","町田市野津田町並木１９４２","139.435782","35.589903","JGD2011","042-735-2361","20"
"区市町村","小金井市児童発達支援センターきらり","184-0002","小金井市梶野町１－２－３","139.528755","35.701987","JGD2011","0422-60-1550","21"
"社福法人","賀川学園","184-0015","小金井市貫井北町５－８－１","139.488511","35.701667","JGD2011","042-322-6574","30"
"他の法人","日本社会事業大学附属子ども学園","204-0024","清瀬市梅園１－２－５０","139.50729","35.773956","JGD2011","042-491-8131","30"
"社福法人","東京小児療育病院地域支援センター","208-0011","武蔵村山市学園４－１０－１","139.398104","35.744062","JGD2011","042-561-2521","36"
"社福法人","島田療育センター","206-0036","多摩市中沢１－３１－１","139.411496","35.621988","JGD2011","042-374-2071","45"
"社福法人","上代継在宅地域支援センター","197-0832","あきる野市上代継８４－６","139.27824","35.730411","JGD2011","042-559-2241","30"
