経営,事業所名,郵便番号,所在地,経度,緯度,座標系,電話番号
区市町村,港区立障害保健福祉センター,105-0014,港区芝一丁目８番２３号,139.755574,35.651618,JGD2011,03-5439-2511
社福法人,東京視覚障害者生活支援センター,162-0054,新宿区河田町１０－１０,139.717512,35.698329,JGD2011,03-3353-1277
社福法人,日本点字図書館自立支援室,169-8586,新宿区高田馬場１－２３－４,139.704682,35.710894,JGD2011,03-3209-0241
社福法人,リライフ,112-0006,文京区小日向２－１６－１５,139.734582,35.710581,JGD2011,03-5940-2822
区市町村,品川区立心身障害者福祉会館,142-0064,品川区旗の台５－２－２,139.700419,35.605003,JGD2011,03-3785-3322
区市町村,大田区立障がい者総合サポートセンター,143-0024,大田区中央４－３０－１１,139.718238,35.579492,JGD2011,03-5728-9435
区市町村,大田区立志茂田福祉センター,144-0056,大田区西六郷１－４－２７,139.711135,35.55599,JGD2011,03-3734-0763
区市町村,大田区立上池台障害者福祉会館　,145-0064,大田区上池台５－５－１,139.701558,35.59557,JGD2011,03-3728-3111
区市町村,世田谷区立総合福祉センター自立訓練（機能訓練）事業所,156-0043,世田谷区松原６－４１－７,139.649747,35.656426,JGD2011,03-5376-3414
社福法人,中野区障害者福祉会館,165-0025,中野区沼袋２－４０－１８,139.66304,35.723597,JGD2011,03-3389-2171
社福法人,障害者支援施設　マイルドハート高円寺,166-0002,杉並区高円寺北１－２８－１,139.657789,35.709012,JGD2011,03-5345-6740
区市町村,杉並区立こすもす生活園,166-0013,杉並区堀ノ内１－２７－９,139.64824,35.687223,JGD2011,03-3317-9312
営利法人,言語生活サポートセンター,167-0051,杉並区荻窪５－１６－１４　カパラビル１階,139.617889,35.704045,JGD2011,03-6915-1877
社福法人,永福南社会福祉ガーデン,168-0064,杉並区永福１－７－６,139.642103,35.669383,JGD2011,03-6379-3011
区市町村,杉並区立なのはな生活園,168-0081,杉並区宮前２－２２－４,139.613448,35.692215,JGD2011,03-3335-0415
区市町村,豊島区立心身障害者福祉センター,171-0031,豊島区目白５－２４－１２,139.696882,35.725328,JGD2011,03-3953-2811
社福法人,就労・生活支援センター飛鳥晴山苑,114-0024,北区西ケ原４－５１－１,139.735978,35.74141,JGD2011,03-3940-9181
社福法人,東京聴覚障害者支援センター,174-0056,板橋区志村２－１９－５,139.687852,35.775286,JGD2011,03-3967-0051
区市町村,練馬区立心身障害者福祉センター,176-0021,練馬区貫井１－９－１,139.635656,35.73818,JGD2011,03-3926-7214
社福法人,東京高次脳機能障害者支援ホーム,178-0065,練馬区西大泉５－３６－２,139.565128,35.760131,JGD2011,03-3925-0088
区市町村,足立区障がい福祉センター社会リハビリテーション室,121-0816,足立区梅島３－３１－１９,139.792921,35.777505,JGD2011,03-5681-0131
区市町村,葛飾区自立訓練事業所,124-0006,葛飾区堀切３－３４－１,139.834522,35.744335,JGD2011,03-5698-1336
社福法人,生活リハビリサポートすばる,180-0011,武蔵野市八幡町４－２８－１３,139.554458,35.720011,JGD2011,0422-55-3612
区市町村,小金井市障害者福祉センター,184-0003,小金井市緑町４－１７－１０,139.517392,35.708678,JGD2011,042-381-8411
その他,小平市立あおぞら福祉センター,187-0011,小平市鈴木町１－４７２,139.497918,35.719829,JGD2011,042-326-4980
社福法人,曙光園,187-0032,小平市小川町１－５９０,139.444864,35.725399,JGD2011,042-345-2811
その他,小平市立障害者福祉センター,187-0035,小平市小川西町５－２５－１５,139.458943,35.736612,JGD2011,042-343-4976
社福法人,指定障害者支援施設　光の家新生園,191-0065,日野市旭が丘１－１７－１７,139.372803,35.656652,JGD2011,042-581-2340
社福法人,国分寺市障害者センター（自立訓練事業はばたき機能訓練）,185-0024,国分寺市泉町２－３－８,139.468855,35.696398,JGD2011,042-321-1212
区市町村,清瀬市障害者福祉センター機能訓練事業所,204-0013,清瀬市上清戸１－１６－６２,139.527664,35.773265,JGD2011,042-495-5511
