"設置","施設名","郵便番号","所在地","経度","緯度","座標系","電話番号","定員"
"社福法人","優仁ホーム","192-0152","八王子市美山町１４６３","139.257315","35.684752","JGD2011","042-651-3438","100"
"社福法人","光華","192-0375","八王子市鑓水４２８","139.342163","35.622306","JGD2011","042-676-8336","86"
"社福法人","昭島荘","196-0022","昭島市中神町１２６０","139.382215","35.709385","JGD2011","042-541-5981","100"
"社福法人","くるめ園","187-0021","小平市上水南町４－７－４５","139.491028","35.708799","JGD2011","042-321-8866","50"
"社福法人","あかつき","187-0032","小平市小川町１－４８５","139.440373","35.727651","JGD2011","042-341-4711","195"
"社福法人","黎明寮","187-0032","小平市小川町１－４８５","139.440373","35.727651","JGD2011","042-341-0336","100"
"社福法人","光の家神愛園","191-0065","日野市旭が丘１－１７－１７","139.372803","35.656652","JGD2011","042-581-2340","80"
"社福法人","村山荘","189-0024","東村山市富士見町２－７－５","139.452535","35.740203","JGD2011","042-391-1262","100"
"社福法人","さつき荘","189-0024","東村山市富士見町２－８－２","139.453774","35.740609","JGD2011","042-396-2244","50"
"社福法人","救世軍自省館","204-0023","清瀬市竹丘１－１７－６０","139.507385","35.769099","JGD2011","042-493-5374","50"
