経営,事業所名,郵便番号,所在地,経度,緯度,座標系,電話番号
営利法人,シゴトライ秋葉原,101-0023,千代田区神田松永町２３番　ＮＣ島商ビル２階,139.775184,35.701381,JGD2011,03-5289-9381
営利法人,ウェルビー秋葉原駅前センター,101-0025,千代田区神田佐久間町２－１５　秋葉原･加藤ビル１階,139.776149,35.698375,JGD2011,03-5835-1223
営利法人,Ｋａｉｅｎ秋葉原,101-0031,千代田区東神田２－７－９　Ｕ･Ｙビル３階,139.780335,35.696017,JGD2011,03-4590-1524
他の法人,ジョブトレーニングTALK神田センター,101-0031,千代田区東神田３－１－８　萩原ビル３階,139.781302,35.696956,JGD2011,03-5809-2997
営利法人,Ｋaien秋葉原サテライト,101-0032,千代田区岩本町３－１０－７　東自機ビル３階,139.775871,35.696408,JGD2011,050-2018-0265
他の法人,ＨＯＰＥ神田,101-0047,千代田区内神田２－１２－５,139.767752,35.691509,JGD2011,03-5256-1411
他の法人,障害者就職サポートセンタービルドⅡ,101-0051,千代田区神田神保町１－２２　ＮＴビル３階／６階,139.75968,35.696952,JGD2011,03-5577-6003
営利法人,ティオ神保町,101-0051,千代田区神田神保町１－７　日本文芸社ビル３階,139.759033,35.695752,JGD2011,03-5244-5677
営利法人,カラフル神保町,101-0051,千代田区神田神保町２－８－２０　トラストワンビル１２　４階,139.755353,35.697049,JGD2011,03-6272-5775
営利法人,ＬＩＴＡＬＩＣＯワークス水道橋,101-0061,千代田区三崎町２－１７－２　日宝水道橋ビル５Ｆ,139.75323,35.701268,JGD2011,03-3221-5090
他の法人,コンフィデンス飯田橋,102-0072,千代田区飯田橋３－１１－２２,139.746761,35.702737,JGD2011,03-6272-6043
区市町村,千代田区立障害者就労支援施設,102-0074,千代田区九段南１－２－１,139.753634,35.694002,JGD2011,03-3263-1841
営利法人,就労支援センター　ひゅーまにあ日本橋,103-0011,中央区日本橋大伝馬町１７－４　綱川ビル４階,139.782043,35.690815,JGD2011,03-6661-7423
他の法人,エヌフィットキャリアカレッジ日本橋,103-0013,中央区日本橋人形町３－３－１０　日本橋ＴＥＣビル３階・４階・５階,139.780832,35.68584,JGD2011,03-6231-0776
他の法人,コンフィデンス日本橋,103-0022,中央区日本橋室町１－５－１５　昇賢ビル４階,139.774677,35.685729,JGD2011,03-6225-2505
区市町村,中央区立知的障害者生活支援施設レインボーハウス明石,104-0044,中央区明石町１－６,139.776716,35.669292,JGD2011,03-6226-1099
営利法人,ライフ＆ワーク,105-0001,港区虎ノ門１－１６－１６　虎ノ門１丁目ＭＧビル５階,139.748593,35.668413,JGD2011,03-3593-1120
営利法人,トランジット浜松町センター,105-0013,港区浜松町１－２１－４　崇城大学会館４階,139.757454,35.657754,JGD2011,03-6452-9735
他の法人,就労支援事業所はばたき,105-0014,港区芝１－８－２３　港区立障害保健福祉センター内,139.755574,35.651618,JGD2011,03-5439-8062
営利法人,ディーキャリア　田町オフィス,108-0023,港区芝浦４－１２－４４　芝浦ＴＭビル６階,139.74818,35.641289,JGD2011,03-6811-5818
営利法人,ディーキャリア芝浦オフィス,108-0023,港区芝浦４－１２－３１　ＶＯＲＴ芝浦ＷａｔｅｒＦｒｏｎｔ６階,139.749103,35.640017,JGD2011,03-6809-6985
営利法人,アビリティーズジャスコ田町センター,108-0073,港区三田３－１４－１０　三田３丁目ＭＴビル２F,139.743642,35.644199,JGD2011,03-6435-1585
営利法人,リヴァトレ品川,108-0075,港区港南２－１１－１　品川シティビル２Ｆ,139.745351,35.624535,JGD2011,03-6433-3016
社福法人,東京ワークショップ,160-0003,新宿区四谷本塩町２－５,139.728936,35.689219,JGD2011,03-3341-0900
営利法人,就労移行支援事業所ルーツ,160-0008,新宿区三栄町２９－６　Ｆビル５階,139.724719,35.690385,JGD2011,03-5315-4539
営利法人,ＳＡＫＵＲＡ新宿センター,160-0021,新宿区歌舞伎町２－４６－３　西武新宿駅前ビル２階,139.700591,35.697378,JGD2011,03-3204-3918
公益法人,わーくす　ここ・から,160-0022,新宿区新宿７－３－２９,139.712681,35.701003,JGD2011,03-3208-1609
他の法人,リエンゲージメント,160-0022,新宿区新宿２－１５－２　岩本和裁ビル４階,139.70966,35.690443,JGD2011,03-5315-4720
他の法人,プラーナ新宿,160-0022,新宿区新宿２－９－２３　ＳＶＡＸビルB館２階・８階,139.709793,35.689477,JGD2011,03-6273-2633
営利法人,カレント,160-0022,新宿区新宿１－１８－１０　カテリーナ柳通りビル６Ｆ,139.711471,35.689968,JGD2011,03-6273-0920
営利法人,Ｋａｉｅｎ新宿,160-0023,新宿区西新宿７－７－２９　西新宿ビル５階,139.697524,35.697073,JGD2011,050-2018-1773
他の法人,十二社　生活・就労研修センター,160-0023,新宿区西新宿３－９－５　北村ハイツ２階,139.690087,35.684618,JGD2011,03-6276-6871
社福法人,就労センター「街」,161-0032,新宿区中落合１－６－２１,139.690738,35.716573,JGD2011,03-3952-9975
社福法人,東京視覚障害者生活支援センター,162-0054,新宿区河田町１０－１０,139.717512,35.698329,JGD2011,03-3353-1277
営利法人,ラルゴ神楽坂,162-0812,新宿区西五軒町８－１０　臼井ビル２階,139.737076,35.707489,JGD2011,03-5579-2497
営利法人,リヴァトレ市ヶ谷,162-0842,新宿区市谷砂土原町２－２　木原造林市谷ビル１階,139.734696,35.695874,JGD2011,03-6280-8541
営利法人,カレッジ早稲田,169-0051,新宿区西早稲田３－１７－２０,139.713256,35.713252,JGD2011,03-6205-6889
営利法人,ヒューマングロー高田馬場,169-0075,新宿区高田馬場４－４－３４,139.703276,35.712149,JGD2011,03-6908-7923
営利法人,～キセキの杜～ジョブステーション高田馬場,169-0075,新宿区高田馬場３－３－２　ＭＦビル５階,139.702773,35.713924,JGD2011,03-5338-2090
営利法人,就労移行支援事業所リスタート,169-0075,新宿区高田馬場２－１４－２　新陽ビル７F,139.707254,35.712543,JGD2011,03-6302-1532
区市町村,文京区立小石川福祉作業所,112-0002,文京区小石川３－３０－６,139.74865,35.714089,JGD2011,03-3811-1431
営利法人,ベルーフ,112-0002,文京区小石川５－４－１　瑞穂第一ビル９階,139.738431,35.716972,JGD2011,03-5803-2424
社福法人,は～と・ピア２,112-0002,文京区小石川４－４－５,139.742195,35.713808,JGD2011,03-6801-8571
営利法人,JoBridge飯田橋,112-0004,文京区後楽２－２－１０　８階,139.744962,35.704023,JGD2011,03-3868-2680
区市町村,文京区立大塚福祉作業所,112-0012,文京区大塚４－５０－１,139.730815,35.72469,JGD2011,03-3946-5601
社福法人,銀杏企画三丁目,113-0033,文京区本郷３－３７－１　２階,139.762241,35.706865,JGD2011,03-3868-3552
営利法人,就労移行支援事業所リバーサル,113-0033,文京区本郷２－２５－５　角地ビル３階、地下１階,139.760308,35.705073,JGD2011,03-3868-3174
営利法人,ヒューライフ　水道橋キャリアセンター,113-0033,文京区本郷２‐４－７　大成堂ビル３階,139.758386,35.703135,JGD2011,03-6801-8930
営利法人,ソシアル就労支援センター湯島,113-0034,文京区湯島３－１４－９　湯島ビル５階,139.769529,35.704965,JGD2011,03-5812-1841
営利法人,リドアーズ・ベネファイお茶の水,113-0034,文京区湯島２－３１－１５　和光湯島ビル７階,139.765196,35.70716,JGD2011,03-3868-2950
営利法人,ＣＯＭＰＡＳＳ　上野,110-0005,台東区上野３－１６－３　上野鈴木ビル５Ｆ,139.77231,35.705341,JGD2011,03-5817-8820
他の法人,リファイン就労支援センター,110-0015,台東区東上野２－１１－４　ジャストプレイスビル３、４、６階,139.778426,35.709115,JGD2011,03-5817-8095
営利法人,パーソルチャレンジ上野キャリアセンター,110-0015,台東区東上野４－２－３　上野パークビル５階,139.779259,35.712126,JGD2011,03-5806-5145
社福法人,すてっぷ　つばさ,110-0015,台東区東上野３－８－７　矢口ビル２階,139.780704,35.710496,JGD2011,03-6795-0142
営利法人,ＳＡＫＵＲＡ上野センター,110-0015,台東区東上野３－２１－６　鈴やビル２階,139.778609,35.711365,JGD2011,03-5807-0070
他の法人,さら就労塾＠ぽれぽれ／秋葉原,110-0016,台東区台東１－３２－８　清鷹ビル２階,139.777585,35.702324,JGD2011,03-6806-0350
営利法人,ありがとう,111-0051,台東区蔵前４－１６－３　東京鞄会館ビル５０１,139.788454,35.703433,JGD2011,03-5829-4835
社福法人,ユニークジョブサポート,130-0013,墨田区錦糸３－８－２　ＩＫ第５ビル２階、３階、４階,139.814177,35.698711,JGD2011,03-5608-8904
