"経営","施設名","郵便番号","所在地","経度","緯度","座標系","電話番号"
"営利法人","相談支援事業所　Ｍｏｉ","101-0051","千代田区神田神保町２－３　神田古書センタービル６階","139.757239","35.695697","JGD2011","03-6261-6175"
"他の法人","特定非営利活動法人ホープ","102-0071","千代田区富士見２－３－７　タカオカビル１０１","139.745153","35.699613","JGD2011","03-3221-4266"
"区市町村","中央区立福祉センター","104-0044","中央区明石町１２番１号","139.777035","35.666506","JGD2011","03-6278-8642"
"区市町村","中央区立知的障害者生活支援施設レインボーハウス明石","104-0044","中央区明石町１－６","139.776716","35.669292","JGD2011","03-6226-1099"
"区市町村","中央区立福祉センター障害児相談支援事業所","104-0044","中央区明石町１２－１","139.777035","35.666506","JGD2011","03-3545-9311"
"営利法人","相談支援事業所ヒューマングロー東銀座","104-0045","中央区築地４－１２－２　ライオンズマンション７０１","139.771222","35.66557","JGD2011","070-1260-3246"
"社福法人","新橋はつらつ太陽","105-0004","港区新橋６－１９－２","139.753738","35.661192","JGD2011","03-3433-0181"
"営利法人","コスモスケアステーション","105-0004","港区新橋６－５－４　ＤＩＫマンション新橋８０３号","139.754418","35.662134","JGD2011","03-5405-1910"
"営利法人","ケアネスト","105-0012","港区芝大門１－１１－９","139.752779","35.658312","JGD2011","03-3433-0270"
"社福法人","港区立障害保健福祉センター　地域活動支援センター","105-0014","港区芝１－８－２３","139.755574","35.651618","JGD2011","03-5439-2511"
"他の法人","特定非営利活動法人　みなと障がい者福祉事業団","105-0014","港区芝１－８－２３　港区立障害福祉保健センター内","139.755574","35.651618","JGD2011","03-5439-8062"
"社福法人","社会福祉法人　家庭授産奨励会　西麻布作業所","106-0031","港区西麻布３－１９－１６","139.725665","35.659619","JGD2011","03-3408-1545"
"他の法人","ＧＩＦＴライフプランナー","106-0045","港区麻布十番２－１３－２　アザブクマイビル３０２","139.735225","35.655001","JGD2011","050-3558-9822"
"営利法人","ハッピーテラスケアサポート芝浦","108-0023","港区芝浦４－１２－３１","139.749103","35.640017","JGD2011","03-6435-4738"
"他の法人","訪問介護事業所エブリィ","108-0073","港区三田２－１１－７－２０２","139.744478","35.650176","JGD2011","03-6435-2323"
"営利法人","ケアコーディネーション","108-0073","港区三田２－２－２７－４０４","139.738578","35.649735","JGD2011","03-6453-9336"
"営利法人","有限会社すばる介護センター","108-0074","港区高輪３丁目２番３号　Ｔ３２３プレイスビル２Ｆ","139.732682","35.635553","JGD2011","03-5789-2786"
"他の法人","麻布メンタルヘルス指定相談支援事業所","108-0074","港区高輪１－４－８","139.734898","35.642988","JGD2011","03-5424-1004"
"社福法人","港区立精神障害者地域活動支援センター","108-0074","港区高輪１－４－８","139.734898","35.642988","JGD2011","03-5798-4660"
"営利法人","プロキオン","160-0011","新宿区若葉１－４","139.724125","35.686641","JGD2011","03-3359-0128"
"区市町村","新宿区立子ども総合センター","160-0022","新宿区新宿７－３－２９","139.712681","35.701003","JGD2011","03-3232-0679"
"営利法人","相談支援事業所　Ｋａｉｅｎ新宿","160-0023","新宿区西新宿６－２－３　新宿アイランドアネックス２０７","139.69413","35.693615","JGD2011","050-2018-2040"
"営利法人","ホートンケアサービス","160-0023","新宿区西新宿４－３２－１１　新宿セントビラ永谷７１３号","139.688862","35.687071","JGD2011","03-6300-6483"
"区市町村","新宿区基幹相談支援センター","160-8484","新宿区歌舞伎町１丁目４－１　新宿区役所本庁舎２階障害者福祉課","139.703463","35.69389","JGD2011","03-5273-4302"
"営利法人","社会福祉支援研究所","169-0075","新宿区高田馬場１－４－２１","139.70957","35.711094","JGD2011","03-6233-7851"
