経営,事業所名,郵便番号,所在地,経度,緯度,座標系,電話番号
他の法人,エヌフィットキャリアカレッジ日本橋,103-0013,中央区日本橋人形町３－３－１０　日本橋ＴＥＣビル３階・４階・５階,139.780832,35.68584,JGD2011,03-6231-0776
社福法人,みのり舎,161-0032,新宿区中落合３－２８－１４　第２アビタシオン１０２・２０４・２０５,139.685469,35.722664,JGD2011,03-5988-9791
営利法人,自立支援カレッジ　チャレンズ,161-0034,新宿区上落合２－２２－１１　加瀬ビル１５５　４階,139.686289,35.713332,JGD2011,03-5937-0273
社福法人,シャロームみなみ風,162-0851,新宿区弁天町３２－６,139.727269,35.704142,JGD2011,03-5579-8412
営利法人,カレッジ早稲田,169-0051,新宿区西早稲田２－１５－１０,139.71285,35.710097,JGD2011,03-5292-3020
営利法人,カレッジ早稲田２,169-0051,新宿区西早稲田３－１７－２１　シャルマンビル５階,139.713328,35.713199,JGD2011,03-6380-2581
区市町村,新宿区立障害者生活支援センター,169-0073,新宿区百人町４－４－２,139.702007,35.709055,JGD2011,03-5937-6821
社福法人,リライフ,112-0006,文京区小日向２－１６－１５,139.734582,35.710581,JGD2011,03-5940-2822
営利法人,リヴァトレ御茶ノ水,113-0033,文京区本郷２－３－７　お茶の水元町ビル１階,139.758699,35.702293,JGD2011,03-6240-0912
他の法人,ダルク・セカンドチャンス,110-0003,台東区根岸５－８－１６　大空庵ビル２階,139.784392,35.727017,JGD2011,03-3875-8808
社福法人,ユニークがらん堂,130-0012,墨田区太平４－６－７　ダイトービル２階,139.817243,35.701622,JGD2011,03-3624-3891
区市町村,品川区立心身障害者福祉会館,142-0064,品川区旗の台５－２－２,139.700419,35.605003,JGD2011,03-3785-3322
他の法人,生活訓練　ＳＵＮ,152-0001,目黒区中央町２－３０－１１　ＫＹハイツ１０３,139.688497,35.631863,JGD2011,03-3712-0653
他の法人,目黒区高次脳機能障害者支援センターいきいき＊せかんど,152-0003,目黒区碑文谷５－１２－１,139.682773,35.624039,JGD2011,03-6808-8575
社福法人,ブレス（中目黒）,153-0061,目黒区中目黒１－４－２,139.701637,35.645007,JGD2011,03-3716-1464
区市町村,大田区立障がい者総合サポートセンター,143-0024,大田区中央４－３０－１１,139.718238,35.579492,JGD2011,03-5728-9435
医療法人,おおた相談支援センター,144-0031,大田区東蒲田２－１－１３　アストラルＨＴＫ１２階,139.72633,35.563,JGD2011,03-6424-9020
社福法人,ケアセンターふらっと,154-0002,世田谷区下馬２－２０－１４,139.675406,35.64064,JGD2011,03-5712-5105
他の法人,ヒーリングセンター世田谷,154-0011,世田谷区上馬２－３８－３　早川ビル２０１,139.661969,35.639223,JGD2011,03-6453-2304
他の法人,アディクションリハビリテーションセンター　すとぉりぃ,154-0015,世田谷区桜新町１－８－６,139.644192,35.62961,JGD2011,03-3704-7344
区市町村,世田谷区立総合福祉センター自立訓練（生活訓練）事業所,156-0043,世田谷区松原６－４１－７,139.649747,35.656426,JGD2011,03-5376-3414
社福法人,就労支援施設ゆに（ＵＮＩ）,158-0098,世田谷区上用賀５－１４－１－１　２階,139.626089,35.630337,JGD2011,03-5797-3560
他の法人,翔和学園　大学部（自立訓練）,164-0011,中野区中央１－３８－１　アクロスシティ中野坂上ビル,139.683578,35.697561,JGD2011,03-5338-0338
他の法人,ワーカライズ　ニコ,165-0026,中野区新井２－８－１３,139.664832,35.712234,JGD2011,03-3388-2941
社福法人,杉並育成園すだちの里すぎなみ,167-0035,杉並区今川２－１４－１２,139.609034,35.718062,JGD2011,03-5310-3361
社福法人,マイファーム,170-0004,豊島区北大塚３－２７－１１,139.724923,35.735416,JGD2011,03-5907-6400
営利法人,リヴァトレ高田馬場,171-0033,豊島区高田３－７－９　花輪ビル１階,139.706984,35.71476,JGD2011,03-5985-4423
他の法人,フリッカ・ビーウーマン,114-0014,北区田端６－３－１８　ビラカミムラ３０１・６０２,139.758987,35.738812,JGD2011,03-3822-7658
他の法人,ウィメンズアディクションサポートセンター　オハナ,114-0023,北区滝野川６－７６－９　エスポワール・オチアイ５０１・６０１,139.722756,35.747715,JGD2011,03-3916-0851
他の法人,みのわマック,114-0023,北区滝野川７－３５－２,139.720871,35.741785,JGD2011,03-5974-5091
他の法人,リボーンプロジェクト　ボランティア響会,114-0032,北区中十条１－２－１８　障害者福祉センター４階,139.729536,35.757603,JGD2011,03-5963-6888
社福法人,荒川愛恵苑,116-0011,荒川区西尾久７－５０－６,139.751473,35.750027,JGD2011,03-3894-4100
社福法人,荒川ひまわり第２,116-0012,荒川区東尾久３－２０－１０　ベルメゾンエス２階,139.770542,35.747325,JGD2011,03-3895-6149
他の法人,ワン・ステップ,116-0014,荒川区東日暮里１－１０－４,139.788513,35.73145,JGD2011,03-6458-3232
他の法人,ＲＤデイケアセンター,173-0004,板橋区板橋４－６－１　板橋スカイプラザ２－Ｊ,139.718312,35.749406,JGD2011,03-5944-1602
他の法人,Ｓ－ＳＴＥＰ　板橋,173-0004,板橋区板橋２－６６－１６　板橋２６６ビル６階,139.709646,35.751489,JGD2011,03-5944-2910
社福法人,東京聴覚障害者支援センター,174-0056,板橋区志村２－１９－５,139.687852,35.775286,JGD2011,03-3967-0051
医療法人,サンライズ高島平,175-0082,板橋区高島平７－２６－８,139.65826,35.791358,JGD2011,03-3979-7666
他の法人,コア・デイケア・センター,175-0092,板橋区赤塚３－２１－９,139.636679,35.775834,JGD2011,03-5968-3555
区市町村,練馬区立心身障害者福祉センター,176-0021,練馬区貫井１－９－１,139.635656,35.73818,JGD2011,03-3926-7214
社福法人,希望の苑,121-0813,足立区竹の塚７－１９－９,139.795945,35.800822,JGD2011,03-5831-1801
区市町村,足立区障がい福祉センター社会リハビリテーション室,121-0816,足立区梅島３－３１－１９,139.792921,35.777505,JGD2011,03-5681-0131
社福法人,就労支援施設　ウィズユー,123-0844,足立区興野２－１８－１２,139.777984,35.769258,JGD2011,03-5837-4830
区市町村,葛飾区自立訓練事業所,124-0006,葛飾区堀切３－３４－１,139.834522,35.744335,JGD2011,03-5698-1336
社福法人,シード,124-0012,葛飾区立石５－１６－３　日の基ビル１０１号室,139.845279,35.743988,JGD2011,03-6905-9096
社福法人,パランしょうぶ,125-0062,葛飾区青戸８－２４－２７,139.854803,35.757898,JGD2011,03-6231-2161
他の法人,生活訓練センター　そう,125-0062,葛飾区青戸５－３３－９　若林ビル１・２階,139.856334,35.747224,JGD2011,03-6231-2380
他の法人,アクティビティサポートセンターゆい,132-0035,江戸川区平井５－１４－１０　平井駅前ビル３階・５階,139.841545,35.706358,JGD2011,03-5655-7053
営利法人,ぷらっつ,133-0065,江戸川区南篠崎町２－１１－２,139.899777,35.692808,JGD2011,03-5664-6750
他の法人,Lu-cha,192-0046,八王子市明神町３－９－１　ＭＫビル３階,139.343923,35.655627,JGD2011,042-649-3616
社福法人,オープンスペース本郷町,192-0054,八王子市小門町７５－７　エイビット小門町ビル１・２階,139.323463,35.659423,JGD2011,042-625-7317
他の法人,オネスティ,192-0073,八王子市寺町４３－９　中銀八王子マンシオン１階１０１号室,139.333357,35.656788,JGD2011,042-686-3988
営利法人,生活自立支援事業所リスタ八王子,192-0081,八王子市横山町３－６　八王子横山町ＪＥビル６階,139.339026,35.659571,JGD2011,042-649-2649
医療法人,自立訓練施設　川口ハイツ,193-0801,八王子市川口町３５６２,139.267697,35.704802,JGD2011,042-654-8555
他の法人,リカバリーセンター転,190-0011,立川市高松町１－１７－２０,139.418015,35.708761,JGD2011,042-548-3561
他の法人,社会生活サポートセンターこみっと,190-0012,立川市曙町１－３２－１９　ＡＫＥＢＯＮＯ　ＨＯＵＳＥ００１,139.409688,35.700732,JGD2011,042-511-3139
他の法人,すぺぃろ,190-0012,立川市曙町２－３４－６　小杉ビル３階,139.414623,35.701834,JGD2011,042-525-7579
