経営,施設名,郵便番号,所在地,経度,緯度,座標系,電話番号
区市町村,中央区立子ども発達支援センター,104-0044,中央区明石町１２－１,139.777035,35.666506,JGD2011,03-3545-9311
他の法人,メルケア　プリスクーリング,105-0003,港区西新橋１－２２－５　新橋ＴＳビル,139.751929,35.668291,JGD2011,03-6550-8585
営利法人,メルケアみなとセンター,105-0003,港区西新橋１－２４－１６　平和ビル,139.751307,35.668738,JGD2011,03-6205-4077
区市町村,新宿区立子ども総合センター,160-0022,新宿区新宿７－３－２９,139.712681,35.701003,JGD2011,03-3232-0679
区市町村,すみだ福祉保健センターみつばち園,131-0033,墨田区向島３－３６－７　すみだ福祉保健センター内,139.810759,35.713374,JGD2011,03-5608-3715
区市町村,江東区こども発達センター,135-0043,江東区塩浜２－５－２０,139.805383,35.661932,JGD2011,03-5632-2591
都,東京都立東部療育センター,136-0075,江東区新砂３－３－２５,139.833178,35.663819,JGD2011,03-5632-8070
区市町村,品川区立品川児童学園,140-0003,品川区八潮５－９－１１,139.752285,35.598211,JGD2011,03-5755-2805
営利法人,あいりすキッズ,143-0026,大田区西馬込１－３２－１５　共信ビル３０３,139.70333,35.589785,JGD2011,03-4400-2756
都,東京都立北療育医療センター　城南分園,145-0065,大田区東雪谷４－５－１０,139.693676,35.594607,JGD2011,03-3727-0521
区市町村,杉並区立こども発達センター,168-0072,杉並区高井戸東１－１８－５,139.619729,35.682622,JGD2011,03-5317-5661
都,東京都立北療育医療センター,114-0033,北区十条台１－２－３,139.723078,35.754036,JGD2011,03-3908-3001
都,東京都立北療育医療センター　城北分園,121-0062,足立区南花畑５－１０－１,139.816277,35.795595,JGD2011,03-3883-5131
営利法人,Ｏｎｌｙ　Ｏｎｅ足立,121-0815,足立区島根３－１－１０,139.796996,35.7791,JGD2011,050-3734-5542
区市町村,足立区障がい福祉センター　幼児発達支援室,121-0816,足立区梅島３－３１－１９,139.792921,35.777505,JGD2011,03-5681-0136
社福法人,うめだ・あけぼの学園,123-0851,足立区梅田７－１２－１５,139.800899,35.76922,JGD2011,03-3848-1190
区市町村,葛飾区子ども発達センター,124-0006,葛飾区堀切３－３４－１,139.834522,35.744335,JGD2011,03-5698-1324
他の法人,ぷれゾンクラブ金町,125-0041,葛飾区東金町３－４１－１８,139.87234,35.77517,JGD2011,03-5876-6537
社福法人,のぞみ発達支援室たかさご,125-0054,葛飾区高砂７－２６－３,139.867121,35.756995,JGD2011,03-3627-9029
社福法人,のぞみ学園かめあり,125-0061,葛飾区亀有２－２２－１１,139.852535,35.760067,JGD2011,03-6231-2262
営利法人,にっこり相談室,133-0052,江戸川区東小岩３－１７－１９－１,139.892892,35.731677,JGD2011,03-5876-8644
社福法人,すぎな愛育園どれみ,193-0931,八王子市台町２－７－２２,139.321239,35.649091,JGD2011,042-625-8007
区市町村,三鷹市子ども発達支援センター,181-0004,三鷹市新川６－３７－１,139.561834,35.681774,JGD2011,0422-45-1122
都,東京都立多摩療育園,183-0031,府中市西府町４－７－１,139.454426,35.676841,JGD2011,042-366-2311
区市町村,調布市子ども発達センター保育所等訪問支援事業所,182-0032,調布市西町２９０－４９,139.522529,35.666277,JGD2011,042-486-1190
区市町村,町田市すみれ教室,194-0021,町田市中町２－１３－１４,139.444459,35.551569,JGD2011,042-726-6570
区市町村,小金井市児童発達支援センター　きらり,184-0002,小金井市梶野町１－２－３,139.528755,35.701987,JGD2011,0422-60-1550
社福法人,賀川学園,184-0015,小金井市貫井北町５－８－１,139.488511,35.701667,JGD2011,042-322-6574
他の法人,クリッパーズ,191-0065,日野市旭が丘１－１５－９　旭が丘１丁目ビル２階,139.372276,35.657108,JGD2011,042-514-9813
他の法人,日本社会事業大学附属　子ども学園,204-0024,清瀬市梅園１－２－５０,139.50729,35.773956,JGD2011,042-491-8131
他の法人,発達相談支援センター　ＣＯＲＯＮＯＡＨ,206-0033,多摩市落合３－１７－１、１０５号,139.430489,35.616514,JGD2011,042-400-0966
社福法人,島田療育センター,206-0036,多摩市中沢１－３１－１,139.411496,35.621988,JGD2011,042-374-2071
