経営,事業所名,郵便番号,所在地,経度,緯度,座標系,電話番号
他の法人,麻布メンタルヘルス生活支援センター,108-0074,港区高輪４－１０－３１－９３６,139.735024,35.627295,JGD2011,03-5424-1004
他の法人,プラーナ新宿　相談支援,160-0022,新宿区新宿２－１－１４　エレメンツ新宿ビル５０２,139.70959,35.688613,JGD2011,03-6273-2633
営利法人,らいふ十人会,130-0021,墨田区緑４－５－１０,139.806728,35.693184,JGD2011,03-3634-1217
他の法人,ＮＰＯ法人結ぶ会,142-0024,大田区中央５－８－１４,139.7081,35.581322,JGD2011,03-6755-4349
他の法人,相談支援事業所　でらいとさぽーと,144-0052,大田区蒲田５－３０－１５　第２０下川ビル,139.719622,35.561878,JGD2011,03-6428-6744
他の法人,team　shien　m.a,156-0042,世田谷区羽根木１－１３－９,139.659554,35.666772,JGD2011,03-6379-5484
他の法人,中野区精神障害者地域生活支援センター　通称「せせらぎ」,164-0001,中野区中野５－６８－７　中野社会福祉会館６Ｆ,139.665196,35.709262,JGD2011,03-3387-1326
他の法人,相談支援センター　あらかわ,116-0014,荒川区東日暮里１－１７－１２　二村ビル１階,139.790221,35.7297,JGD2011,03-3801-7227
他の法人,さくらホーム,121-0061,足立区花畑６－５－３,139.816216,35.804419,JGD2011,03-5851-8155
他の法人,自立生活援助事業所,123-0845,足立区西新井本町２－１５－７,139.772278,35.777355,JGD2011,03-3857-3093
医療法人,医療法人社団　瑞信会　ハウス北小岩,133-0051,江戸川区北小岩３－２３－１８,139.894948,35.737148,JGD2011,03-5668-7515
営利法人,美山自立生活援助事業所,192-0152,八王子市美山町２５５４,139.230166,35.703388,JGD2011,042-659-1359
他の法人,自立生活援助事業所　ふれあい,190-0021,立川市羽衣町２－４１－１　羽衣第一ビル２Ｆ,139.426056,35.694049,JGD2011,042-595-6620
社福法人,巣立ちホーム,181-0015,三鷹市大沢４－１５－３－１０１,139.542819,35.66517,JGD2011,0422-30-2125
他の法人,なんでも相談いるおーる,187-0042,小平市仲町２６９－１　,139.490468,35.730897,JGD2011,042-308-3732
他の法人,ヘルパーステーションなでしこ,191-0041,日野市南平７－２７－４　小川コーポ１０２,139.395699,35.657572,JGD2011,042-506-5039
他の法人,グループホーム櫻の杜ハウス,186-0003,国立市富士見台１－２５－２１　櫻の杜ハウス２０４,139.450241,35.682149,JGD2011,042-573-2840
他の法人,そらあかり,197-0823,あきる野市野辺６４－７　マンションエクセル第１　１０５号,139.315256,35.725115,JGD2011,042-533-3623
