設置,施設名,郵便番号,所在地,経度,緯度,座標系,電話番号,定員
社福法人,愛育病院,105-8321,港区芝浦１丁目１６番地１０号,139.752402,35.645958,JGD2011,03-6453-7300,44
社福法人,東京都済生会中央病院,108-0073,港区三田一丁目４番１７号,139.7442,35.653962,JGD2011,03-3451-8211,25
社福法人,聖母病院,161-8521,新宿区中落合２－５－１,139.693491,35.720439,JGD2011,03-3951-1111,2
国,東京山手メディカルセンター,169-0073,新宿区百人町３－２２－１,139.699049,35.704702,JGD2011,03-3364-0251,2
公益法人,八千代助産院,112-0013,文京区音羽１－１９－１８,139.728546,35.715691,JGD2011,03-5981-3023,7
公益法人,永寿総合病院,110-8645,台東区東上野２－２３－１６,139.779629,35.709749,JGD2011,03-3833-8381,3
社福法人,賛育会病院,130-0012,墨田区太平３－２０－２,139.813938,35.702572,JGD2011,03-3622-9191,30
都,東京都立墨東病院,130-8575,墨田区江東橋４－２３－１５,139.818796,35.6953,JGD2011,03-3633-6151,65
赤十字,大森赤十字病院,143-8527,大田区中央４－３０－１,139.717183,35.578798,JGD2011,03-3775-3111,5
公益法人,（公財）都保健医療公社荏原病院,145-0065,大田区東雪谷４－５－１０,139.693676,35.594607,JGD2011,03-5734-8000,32
社福法人,久我山病院,157-0061,世田谷区北烏山２－１４－２０,139.598894,35.681622,JGD2011,03-3309-1111,6
都,東京都立広尾病院,150-0013,渋谷区恵比寿２－３４－１０,139.721235,35.646637,JGD2011,03-3444-1181,20
赤十字,日本赤十字社医療センター,150-8935,渋谷区広尾４－１－２２,139.717944,35.654439,JGD2011,03-3400-1311,85
他の法人,立正佼成会附属佼成病院,166-0012,杉並区和田２－２５－１,139.655762,35.69015,JGD2011,03-3383-1281,3
都,東京都立大塚病院,170-8476,豊島区南大塚２－８－１,139.732301,35.725268,JGD2011,03-3941-3211,40
公益法人,（公財）都保健医療公社豊島病院,173-0015,板橋区栄町３３－１,139.700914,35.752705,JGD2011,03-5375-1234,20
公益法人,板橋区医師会病院,175-0082,板橋区高島平３－１２－６,139.658058,35.786975,JGD2011,03-3975-8151,6
公益法人,練馬光が丘病院,179-0072,練馬区光が丘２－１１－１,139.629678,35.761933,JGD2011,03-3979-3611,2
赤十字,葛飾赤十字産院,124-0012,葛飾区立石５－１１－１２,139.846429,35.742474,JGD2011,03-3693-5211,55
医療法人,まつしま病院,132-0031,江戸川区松島１－４１－２９,139.867068,35.706775,JGD2011,03-3653-5541,5
他の法人,東海大学医学部附属八王子病院,192-0032,八王子市石川町１８３８,139.357079,35.673775,JGD2011,042-639-1111,5
他の法人,東京医科大学八王子医療センター,193-0998,八王子市館町１１６３,139.289026,35.631937,JGD2011,042-665-5611,14
その他,まんまる助産院,190-0001,立川市若葉町２－１－１,139.439493,35.718989,JGD2011,042-534-9877,3
医療法人,立川相互病院,190-8578,立川市錦町１－１６－１５,139.422442,35.696666,JGD2011,042-525-2585,3
赤十字,武蔵野赤十字病院,180-8610,武蔵野市境南町１－２６－１,139.54857,35.696886,JGD2011,0422-32-3111,10
区市町村,青梅市立総合病院,198-0042,青梅市東青梅４－１６－５,139.281268,35.782547,JGD2011,0428-22-3191,2
都,東京都立多摩総合医療センター,183-8524,府中市武蔵台２－８－２９,139.460981,35.691884,JGD2011,042-323-5111,35
区市町村,町田市民病院,194-0023,町田市旭町２－１５－４１,139.438701,35.557091,JGD2011,042-722-2230,4
社福法人,桜町病院,184-8511,小金井市桜町１－２－２０,139.511426,35.709547,JGD2011,042-383-4111,6
事務組合,公立昭和病院,187-8510,小平市花小金井８－１－１,139.503337,35.731297,JGD2011,042-461-0052,4
区市町村,日野市立病院,191-0062,日野市多摩平４－３－１,139.378372,35.667065,JGD2011,042-581-2677,16
その他,森田助産院,197-0023,福生市志茂８３番地,139.330054,35.737145,JGD2011,042-551-0323,2
事務組合,公立福生病院,197-8511,福生市加美平１－６－１,139.326699,35.747013,JGD2011,042-551-1111,3
区市町村,稲城市立病院,206-0801,稲城市大丸１１７１,139.485866,35.646876,JGD2011,042-377-0931,3
事務組合,公立阿伎留医療センター,197-0834,あきる野市引田７８－１,139.27214,35.731819,JGD2011,042-558-0321,2
