"経営","施設名","郵便番号","所在地","経度","緯度","座標系","電話番号"
"営利法人","LITALICOジュニアお茶の水教室","101-0021","千代田区外神田２－２－１８　東信御茶の水ビル２階","139.767502","35.699672","JGD2011","03-3526-5420"
"他の法人","ぴかいち","102-0074","千代田区九段南３丁目７番７号　九段南グリーンビル７階","139.743154","35.693008","JGD2011","03-3239-0686"
"営利法人","ゆうゆうらいふアカデミー中央","104-0033","中央区新川２－１８－５　ＡＳビル２階","139.781649","35.674519","JGD2011","03-6280-5238"
"営利法人","トリプル・ハート","104-0041","中央区新富２－２－１４　２階","139.772563","35.671872","JGD2011","03-6222-9822"
"他の法人","メルケア　プリスクーリング","105-0003","港区西新橋１－２２－５　新橋ＴＳビル","139.751929","35.668291","JGD2011","03-6550-8585"
"営利法人","メルケアみなとセンター","105-0003","港区西新橋１－２４－１６　平和ビル","139.751307","35.668738","JGD2011","03-6205-4077"
"区市町村","港区立障害保健福祉センター　重症心身障害児通園事業","105-0014","港区芝１－８－２３","139.755574","35.651618","JGD2011","03-5439-8055"
"営利法人","スポーツ塾　ハートフルデイ東麻布","106-0044","港区東麻布２－５－９　サンエイビル２階","139.741828","35.657087","JGD2011","03-6441-0607"
"営利法人","幸せの缶詰","106-0047","港区南麻布２－１－１８","139.733901","35.649398","JGD2011","03-6277-0717"
"営利法人","スポーツ塾　ハートフルデイ芝浦","108-0023","港区芝浦２－１７－１０　新大友ビル１階","139.75263","35.645135","JGD2011","03-5439-9929"
"営利法人","ＴＯＤＡＹ児童デイサービス白金","108-0072","港区白金３－１６－９","139.728021","35.644418","JGD2011","03-6450-2157"
"営利法人","こどもサポート教室「きらり」白金高輪校","108-0073","港区三田４－１０－５　テラドール１階","139.73844","35.641838","JGD2011","03-6435-3438"
"営利法人","プレミア・ケア・ジュニア　三田店","108-0073","港区三田２－９－５　みずほビル１階","139.744286","35.65064","JGD2011","03-5439-9983"
"営利法人","すてっぷわん","108-0074","港区高輪１－１７－１５　オーク高輪ビル２階","139.733207","35.640388","JGD2011","03-5860-2378"
"他の法人","ハービー＆マックローリン・陽だまり介護センター","108-0074","港区高輪３－１９－２０－１０３号・１０２号","139.737529","35.633425","JGD2011","03-5791-2097"
"営利法人","プレミア・ケア・ジュニア　四ツ谷店","160-0004","新宿区四谷３－１－４　斉藤ビルディング２階","139.72267","35.687708","JGD2011","03-5362-7135"
"区市町村","新宿区立子ども総合センター","160-0022","新宿区新宿７－３－２９","139.712681","35.701003","JGD2011","03-3232-0679"
"営利法人","ＴＥＥＮＳ新宿","160-0023","新宿区西新宿６－２－３","139.69413","35.693615","JGD2011","050-2018-1339"
"他の法人","特定非営利活動法人ＡＤＤＳ","162-0041","新宿区早稲田鶴巻町５４３－７　ＮＳ　ＢＬＤＧ２階","139.727349","35.708033","JGD2011","03-6908-7125"
"営利法人","コペルプラス若松河田","162-0053","新宿区原町３－２３　シティプラザＦＫ１階","139.722308","35.700018","JGD2011","03-6457-3365"
"営利法人","ノーサイド新宿＠Ｌｅａｆ音楽療法センター","162-0805","新宿区矢来町４３　三新ビル１階","139.73106","35.704045","JGD2011","03-5229-7105"
"他の法人","ベアーズキッズ","162-0806","新宿区榎町４５　さくらビル２階","139.72898","35.704664","JGD2011","03-3235-3661"
"営利法人","児童発達支援・放課後等デイサービス　Ｓｍｉｌｅ　Ｓｅｅｄ（すまいるしーど）","169-0075","新宿区高田馬場１－５－８　ＹＳビル１階","139.708145","35.710755","JGD2011","03-6278-9056"
"営利法人","運動発達支援スタジオＵＮＩＭＯ後楽園","112-0002","文京区小石川２－２５－１０","139.750652","35.712211","JGD2011","03-6801-8863"
"公益法人","富坂子どもの家","112-0002","文京区小石川２－１７－４１","139.748361","35.711125","JGD2011","03-3812-2072"
"他の法人","未来教室","112-0002","文京区小石川２－６－５－２０１","139.749286","35.709192","JGD2011","03-5615-8701"
"他の法人","発達支援ルーム　ぽけっと","112-0002","文京区小石川５－３８－２　クレストヒルズ小石川２階","139.742953","35.718166","JGD2011","03-5615-8475"
"営利法人","運動発達支援スタジオＵＮＩＭＯ文京千石","112-0011","文京区千石１－２９－１２　千石片岡ビル１０１","139.74518","35.727271","JGD2011","03-6304-1165"
"営利法人","アビリティ上野","110-0005","台東区上野７－１３－６　上野Ｓビル２階","139.780914","35.716809","JGD2011","03-5246-4373"
"営利法人","ユニゾン上野","110-0014","台東区北上野１－８－５　ビリーフ上野１階","139.782164","35.717126","JGD2011","03-5830-9430"
"社福法人","結ふる美谷東京","110-0015","台東区東上野１丁目２５番８号　萬屋ビル３階","139.780323","35.708615","JGD2011","03-6803-2987"
"区市町村","台東区松が谷福祉会館","111-0036","台東区松が谷１－４－１２","139.785425","35.711304","JGD2011","03-3842-2671"
"営利法人","コラゾン台東","111-0053","台東区浅草橋５－２－３　柳北ビル２階","139.781546","35.699216","JGD2011","03-5820-8140"
"営利法人","コラゾン浅草橋","111-0053","台東区浅草橋１－２－８　マルイチビル７階","139.784235","35.696525","JGD2011","03-5835-0535"
"社福法人","ほわわ墨田","130-0001","墨田区吾妻橋１－１７－４","139.80033","35.708932","JGD2011","03-6658-8710"
"営利法人","コラゾン吾妻橋浅草","130-0001","墨田区吾妻橋１－４－４　両野ビル２階","139.800955","35.708057","JGD2011","03-3626-4188"
"営利法人","放課後等デイサービス　あんず","130-0002","墨田区業平４－６－３　プレジール１０１","139.81502","35.707008","JGD2011","03-6284-1748"
"営利法人","ぴぃぷらす押上スタジオ","130-0002","墨田区業平４－１３－５　鈴木ビル２階Ａ号室","139.81575","35.708316","JGD2011","03-5809-7422"
"営利法人","スマートキッズプラス錦糸町","130-0012","墨田区太平４－２４－１０　ナノトミックビル１F","139.818604","35.702913","JGD2011","03-6658-5406"
"営利法人","コラゾン両国","130-0014","墨田区亀沢１－１９－１　田中ビル４階","139.79934","35.69785","JGD2011","03-3622-8177"
"営利法人","ゆうゆうらいふアカデミー両国","130-0014","墨田区亀沢１－２０－２","139.799329","35.698208","JGD2011","03-5809-7587"
"営利法人","コラゾン錦糸町","130-0022","墨田区江東橋１－４－１２　メゾンドール錦糸町ツイン１０１","139.8099","35.693367","JGD2011","03-3635-7739"
"他の法人","キッズサポートりま","130-0023","墨田区立川１－１６－２０　　Ｙ２ビルディング１階・２階","139.799435","35.691598","JGD2011","03-6659-6804"
"営利法人","アルファキッズ菊川駅前","130-0024","墨田区菊川三丁目７番４号　大こく屋第２ビル　３階","139.806281","35.688237","JGD2011","03-6659-4641"
"営利法人","リエゾン両国","130-0026","墨田区両国２－１８－４　パラッツォ両国２０１","139.792435","35.695073","JGD2011","03-5625-0162"
"営利法人","アプリ児童デイサービス東向島","131-0032","墨田区東向島五丁目３１番３号　エビハラビル１階","139.822269","35.728593","JGD2011","03-6657-3401"
"社福法人","すみだステップハウスおおぞら　にじの子","131-0044","墨田区文花１－３２－７","139.82378","35.708166","JGD2011","03-6657-2619"
"他の法人","第２乳幼児親子教室","135-0002","江東区住吉１－８－１８　住吉ビル１階","139.811108","35.687379","JGD2011","03-3632-8932"
"他の法人","乳幼児親子教室","135-0003","江東区猿江１－１８－９－２０４","139.811683","35.687024","JGD2011","03-3635-4626"
"他の法人","第３親子教室　うみべ","135-0012","江東区海辺４－１２　第二ユーエスビル１０１","139.818626","35.679753","JGD2011","03-6666-1098"
"営利法人","コラゾン江東住吉","135-0013","江東区千田７－１７　大塚ビル１階","139.815441","35.680836","JGD2011","03-5633-8122"
"営利法人","みらいキッズ東陽町","135-0014","江東区石島９－１４　シャンテ石島１階","139.81373","35.680014","JGD2011","03-6660-2155"
"営利法人","コラゾン東陽町","135-0016","江東区東陽３－２６－７　東陽大経ビル２階","139.813585","35.670634","JGD2011","03-6666-4330"
"営利法人","コラゾン清澄白河","135-0021","江東区白河２－８－５　三栄ビル４階","139.802543","35.682094","JGD2011","03-3643-3320"
"営利法人","LITALICOジュニア門前仲町教室","135-0032","江東区福住１－１７－８　東亜門前仲町ビル４階","139.794226","35.674903","JGD2011","03-5639-1128"
"営利法人","リエゾン門前仲町","135-0048","江東区門前仲町１－９－５　門前仲町１丁目ビル２階","139.793721","35.673689","JGD2011","03-6240-3359"
"営利法人","スマートキッズプラス豊洲","135-0051","江東区枝川２－１５－２　大岩ビル１階","139.807205","35.657716","JGD2011","03-6666-4517"
"他の法人","障害児保育園ヘレン東雲","135-0062","江東区東雲２－１－２２　キャッスルビル東雲１階","139.80149","35.643829","JGD2011","03-6380-7432"
"営利法人","こぱんはうすさくら　亀戸教室","136-0071","江東区亀戸９－１９－７　日商岩井亀戸マンションＡ２棟１階","139.844268","35.697959","JGD2011","03-5609-7396"
"営利法人","スマートキッズプラス西大島","136-0072","江東区大島１－３０－４　Ｌ－ＴＯＷＥＲ３階","139.825509","35.68919","JGD2011","03-5858-8434"
"営利法人","らいおんハート遊びリテーション児童デイ北砂","136-0073","江東区北砂五丁目２０番７号棟第１０１号室","139.834177","35.68368","JGD2011","03-6666-6531"
"営利法人","アプリ児童デイサービス北品川","140-0001","品川区北品川２－１８－２","139.741437","35.618158","JGD2011","03-6712-3977"
"社福法人","ちびっこタイム品川","140-0002","品川区東品川３－２５－１６","139.746615","35.61285","JGD2011","03-3450-7447"
"社福法人","ほわわ品川","140-0002","品川区東品川３－２７－２５　オフィス・イン品川２階","139.74594","35.611292","JGD2011","03-6712-8412"
"他の法人","明晴プレスクールめだか","140-0003","品川区八潮５－２－１","139.753126","35.603849","JGD2011","03-3790-4244"
"営利法人","LITALICOジュニア大井町東口教室","140-0011","品川区東大井５－１１－４　栄隆ビル３階","139.738344","35.606853","JGD2011","03-5781-8026"
"営利法人","めるへんキッズ南大井園","140-0013","品川区南大井３－２４－１４　柳川ビル","139.733414","35.589158","JGD2011","03-3765-2022"
"営利法人","めるへんキッズ大森園","140-0013","品川区南大井６－１６－１　サンハイツ大森１０１号室","139.730539","35.591441","JGD2011","03-3765-5616"
"区市町村","品川区立品川児童学園分室","142-0041","品川区戸越６－１６－１４","139.715462","35.607342","JGD2011","03-3785-0660"
"営利法人","キッズアイランドワイキキ","142-0043","品川区二葉４－４－１９","139.715223","35.602334","JGD2011","03-6426-8135"
"営利法人","スタジオそら品川戸越","142-0052","品川区東中延１－３－１１","139.714126","35.611277","JGD2011","03-6426-1627"
"営利法人","ぷっく旗の台教室","142-0064","品川区旗の台５－１５－１５　コープ野村旗の台２０１－Ａ","139.699086","35.604472","JGD2011","03-6426-9900"
"営利法人","桐塾　学芸大学駅前教室","152-0004","目黒区鷹番２丁目１５－１６　川口ビル２階","139.687047","35.629605","JGD2011","03-5734-1537"
"営利法人","スタジオそら学芸大学","152-0004","目黒区鷹番二丁目１７番１１号　イムーブル鷹番Ａ－１号","139.686914","35.627192","JGD2011","03-5724-3809"
"営利法人","桐塾　学芸大学駅前第二教室","152-0004","目黒区鷹番２－１５－１８　パル学芸大学２０２","139.687094","35.629747","JGD2011","03-6412-7273"
"他の法人","もうひとつのおうち","152-0023","目黒区八雲５－１－５","139.668971","35.624741","JGD2011","03-6670-0570"
"営利法人","桐塾　都立大学駅前教室","152-0032","目黒区平町１－２７－４　カムラビル２階","139.676401","35.617004","JGD2011","03-6459-5996"
"営利法人","LITALICOジュニア中目黒教室","153-0051","目黒区上目黒１－３－７　ＶＯＲＴ代官山ビル１階","139.700835","35.645007","JGD2011","03-5794-3727"
"営利法人","桐塾　祐天寺教室","153-0052","目黒区祐天寺２－３－１１　第６エスペランス３階","139.692488","35.637241","JGD2011","03-6452-4178"
"営利法人","児童デイパーチェ","143-0012","大田区大森東１－３５　コーシャハイム大森東４－１０８","139.740517","35.57646","JGD2011","03-6404-8391"
"営利法人","こどもプラスほしのこ","143-0013","大田区大森南３－２４－２","139.742532","35.56479","JGD2011","03-6423-9612"
"営利法人","LITALICOジュニア蒲田教室","144-0035","大田区南蒲田１－１－１７　川口ビル３階","139.724102","35.560067","JGD2011","03-5714-5288"
"営利法人","こどもプラスほしのこキッズ","144-0035","大田区南蒲田１－１－１７　川口ビル１階１号室","139.724102","35.560067","JGD2011","03-6428-6203"
"他の法人","あかしろきいろ発達支援るーむ","144-0051","大田区西蒲田２－７－１－１０１","139.70634","35.569846","JGD2011","03-6410-3531"
"営利法人","リトルコールケア　２ｎｄ","145-0066","大田区南雪谷４－７－１３　ホークパレス南雪谷１０１","139.682022","35.588807","JGD2011","03-3728-8656"
"営利法人","みなそら多摩川園","145-0071","大田区田園調布１－６－３　早川ビル２階","139.674556","35.58781","JGD2011","03-5755-5816"
"営利法人","発達支援教室スマイル久が原","145-0085","大田区久が原三丁目３７番１号　ＮＹビル２階","139.687088","35.580295","JGD2011","03-5700-7225"
