経営,事業所名,郵便番号,所在地,経度,緯度,座標系,電話番号
営利法人,株式会社　Moi,101-0051,千代田区神田神保町二丁目３番地　神田古書センタービル６階,139.757239,35.695697,JGD2011,03-6261-6175
他の法人,ポケット中央,104-0044,中央区明石町１２－１　,139.777035,35.666506,JGD2011,03-3541-1021
社福法人,新橋はつらつ太陽,105-0004,港区新橋６－１９－２,139.753738,35.661192,JGD2011,03-3433-0180
営利法人,コスモスケアステーション,105-0004,港区新橋６－５－４　ＤＩＫマンション新橋８０３,139.754418,35.662134,JGD2011,03-5405-1910
営利法人,ケアネスト,105-0012,港区芝大門１－１１－９　ライオンズマンション芝公園６０１,139.752779,35.658312,JGD2011,03-3433-0270
社福法人,港区立障害保健福祉センター　地域活動支援センター,105-0014,港区芝１－８－２３,139.755574,35.651618,JGD2011,03-5439-2511
社福法人,西麻布作業所,106-0031,港区西麻布３－１９－１６,139.725665,35.659619,JGD2011,03-3408-1545
営利法人,介護ステーションぶらんち,106-0045,港区麻布十番３－６－１０－４０３,139.734656,35.65322,JGD2011,03-6400-5822
他の法人,GIFTライフプランナー,106-0045,港区麻布十番２－１３－２　アザブクマイビル３０２号,139.735225,35.655001,JGD2011,050-3558-9822
営利法人,ケアコーディネーション,108-0073,港区三田２－２－２７－４０４,139.738578,35.649735,JGD2011,03-6453-9336
営利法人,有限会社すばる介護センター,108-0074,港区高輪３－２－３　T３２３プレイスビル２階,139.732682,35.635553,JGD2011,03-5789-2786
社福法人,港区立精神障害者地域活動支援センター,108-0074,港区高輪１－４－８,139.734898,35.642988,JGD2011,03-5798-4660
他の法人,プラーナ新宿　相談支援,160-0022,新宿区新宿２－１－１４　エレメンツ新宿ビル５０２,139.70959,35.688613,JGD2011,03-6273-2633
他の法人,地域活動支援センター『風』,161-0032,新宿区中落合４－２３－２５,139.682994,35.717639,JGD2011,03-3952-6014
社福法人,あんそれいゆ,162-0851,新宿区弁天町３２－６,139.727269,35.704142,JGD2011,03-5579-8412
社福法人,文京地域生活支援センターあかり,112-0011,文京区千石４－２７－１２　水間ビル１階,139.738589,35.731392,JGD2011,03-5976-3351
社福法人,あくせす,112-0012,文京区大塚４－２１－８,139.733698,35.724701,JGD2011,03-3943-4300
他の法人,特定非営利活動法人自立生活センターたいとう,110-0012,台東区竜泉３－１９－７,139.792452,35.725678,JGD2011,03-5603-0821
他の法人,相談支援センター　ほおずき,111-0021,台東区日本堤１－３２－３,139.796676,35.725561,JGD2011,03-3871-4123
社福法人,障害者支援施設浅草ほうらい,111-0022,台東区清川２－１４－７,139.801304,35.72717,JGD2011,03-5808-0067
他の法人,相談支援センターアップル,111-0031,台東区千束３－２０－２４,139.792285,35.723372,JGD2011,03-5849-4677
他の法人,特定非営利活動法人トータルサポートたいとう,111-0032,台東区浅草５－１５－２,139.795016,35.720598,JGD2011,03-5808-7855
他の法人,台東区精神障害者地域生活支援センターあさがお,111-0051,台東区蔵前３－１８－４　ライフコア蔵前２０１号,139.791123,35.705713,JGD2011,03-5823-4298
社福法人,墨田区精神障害者地域生活支援センター友の家,130-0012,墨田区太平１－１１－７　グランドステータスＫＩＹＡ４階,139.81151,35.700869,JGD2011,03-3626-6165
医療法人,医療法人社団草思会　錦糸町相談支援センター,130-0013,墨田区錦糸３－５－１　４階,139.814213,35.698353,JGD2011,03-5637-7266
営利法人,エリアサポートすみだ,131-0033,墨田区向島３－３５－１３,139.809953,35.712666,JGD2011,03-5637-8195
社福法人,地域活動支援センター　ウィル・オアシス,135-0002,江東区住吉１－１７－２０　住吉ビル４階,139.811814,35.689015,JGD2011,03-6284-0545
他の法人,江東区地域生活支援センター　ステップ,135-0016,江東区東陽３－１６－１２　田中ビル２階,139.812007,35.670159,JGD2011,03-5633-7714
他の法人,地域活動支援センター　ロータス,136-0072,江東区大島５－１０－１０－１０１,139.834105,35.689313,JGD2011,03-5858-8696
営利法人,ケアメイト品川居宅介護支援事業所,140-0015,品川区西大井１－１－１　Ｊタワー西大井ウエストコート２０３,139.721581,35.60077,JGD2011,03-3772-1331
社福法人,品川区障害者生活支援センター,142-0064,品川区旗の台５－２－２,139.700419,35.605003,JGD2011,03-5750-4995
社福法人,地域生活相談支援センターセサミ,152-0001,目黒区中央町２－３２－５　スマイルプラザ中央町３階,139.688775,35.631511,JGD2011,03-5794-4101
他の法人,目黒障害者相談センター,152-0031,目黒区中根１－３－９　森戸ビル３０２,139.675707,35.617406,JGD2011,03-3725-8808
社福法人,大田地域生活相談室,143-0015,大田区大森西３－３－９,139.730637,35.574954,JGD2011,080-4195-4578
区市町村,大田区立障がい者総合サポートセンター相談支援事業所,143-0024,大田区中央４－３０－１１,139.718238,35.579492,JGD2011,03-5728-9433
医療法人,おおた相談支援センター,144-0031,大田区東蒲田２－１－１３,139.72633,35.563,JGD2011,03-6424-9020
社福法人,こうじや生活支援センター,144-0033,大田区東糀谷１－１４－１４,139.739002,35.557991,JGD2011,03-5705-0738
他の法人,糀谷作業所,144-0044,大田区本羽田１－１８－２１　日興ビル２０１号室,139.727048,35.547208,JGD2011,03-6319-7458
社福法人,かまた生活支援センター,144-0051,大田区西蒲田４－４－１,139.716764,35.56971,JGD2011,03-5700-6761
他の法人,team　shien　m.a,156-0042,世田谷区羽根木１－１３－９,139.659554,35.666772,JGD2011,03-6379-5484
社福法人,地域生活支援センターＭＯＴＡ,156-0043,世田谷区松原３－４０－７　パインフィールドビル２０１,139.642533,35.667375,JGD2011,03-3325-0951
社福法人,まつばらけやき相談支援センター,156-0043,世田谷区松原６－４３－１７　松原けやき寮内,139.649311,35.656198,JGD2011,03-6265-7140
社福法人,ジョイントセンターここから,157-0061,世田谷区北烏山三丁目１１番５号,139.60245,35.673914,JGD2011,03-5315-7887
他の法人,みんなのわ　烏山店,157-0062,世田谷区南烏山５－３２－９,139.600334,35.667351,JGD2011,03-6382-9073
医療法人,地域生活支援センターサポートセンターきぬた,157-0072,世田谷区祖師谷３－３６－２６　祖師谷セントラルプラザ３階,139.608434,35.645637,JGD2011,03-3483-2471
他の法人,プリズム,158-0091,世田谷区中町２－２１－１２,139.644685,35.61382,JGD2011,03-3701-0652
他の法人,世田谷区立身体障害者自立体験ホームなかまっち,158-0091,世田谷区中町２－１７－２１,139.644763,35.611081,JGD2011,03-6411-6590
社福法人,パールケア,150-0035,渋谷区鉢山町３－２７,139.698709,35.652756,JGD2011,03-5458-4811
その他,渋谷区精神障害者地域生活支援センター,151-0053,渋谷区代々木１－２０－８,139.702561,35.680225,JGD2011,03-3299-0317
他の法人,障がい者相談支援センター樹音,151-0053,渋谷区代々木１－３８－８－４７,139.701116,35.682833,JGD2011,03-6276-1407
社福法人,地域活動支援センターふれあい,151-0073,渋谷区笹塚３－４３－１,139.669514,35.679691,JGD2011,03-5302-1190
他の法人,中野区精神障害者地域生活支援センター　通称「せせらぎ」,164-0001,中野区中野５－６８－７　中野区社会福祉会館６階,139.665196,35.709262,JGD2011,03-3387-1326
他の法人,ことり,164-0003,中野区東中野４－２－２　篠木ビル３階,139.685581,35.706541,JGD2011,03-3360-3517
社福法人,社会福祉法人中野あいいく会　中部すこやか障害者相談支援事業所,164-0011,中野区中央３－１９－１,139.674176,35.7004,JGD2011,03-3367-7810
他の法人,南部すこやか障害者相談支援事業所,164-0013,中野区弥生町５－１１－２６,139.668377,35.688192,JGD2011,03-5340-7888
他の法人,北部すこやか障害者相談支援事業所,165-0022,中野区江古田４－３１－１０,139.661418,35.724616,JGD2011,03-5942-5800
社福法人,鷺宮すこやか障害者相談支援事業所,165-0033,中野区若宮３－５８－１０,139.640337,35.722082,JGD2011,03-6265-5770
社福法人,ひゅーまん地域生活相談室,166-0001,杉並区阿佐谷北１－３６－３　ＹＯＫＯＫＡＷＡビル３階,139.635974,35.708706,JGD2011,03-5327-6781
社福法人,相談支援事業所　なでしこ,166-0002,杉並区高円寺北１－２８－１,139.657789,35.709012,JGD2011,03-5345-6741
他の法人,障害者ケアマネジメント　友愛,166-0014,杉並区松ノ木３－１６－１２,139.645771,35.694372,JGD2011,03-5307-6790
医療法人,ユトリロ,167-0022,杉並区下井草１－１０－５,139.632971,35.71616,JGD2011,03-3399-8373
