"設置","施設名","郵便番号","所在地","経度","緯度","座標系","電話番号","定員"
"事務組合","けやき荘","-","新宿区","-","-","JGD2011","-","30"
"事務組合","淀橋荘","-","新宿区","-","-","JGD2011","-","70"
"事務組合","しのばず荘","110-0007","台東区上野公園１７－９","139.778587","35.717237","JGD2011","03-3828-0740","100"
"事務組合","新塩崎荘","135-0043","江東区塩浜２－５－１５","139.804966","35.662182","JGD2011","03-3647-8835","100"
"社福法人","さざなみ苑","135-0052","江東区潮見１－２９－２３","139.815743","35.655436","JGD2011","03-3649-7267","120"
"社福法人","塩崎荘","135-0043","江東区塩浜２－５－１６","139.805408","35.662313","JGD2011","03-3615-1737","100"
"事務組合","浜川荘","140-0012","品川区勝島１－９－１１","139.742919","35.597849","JGD2011","03-3761-4460","120"
"事務組合","東が丘荘","-","目黒区","-","-","JGD2011","-","50"
"事務組合","千駄ヶ谷荘","151-0051","渋谷区千駄ヶ谷５－３４－３","139.703583","35.687843","JGD2011","03-5363-6155","60"
"社福法人","更生施設ふじみ","-","板橋区","-","-","JGD2011","-","50"
"事務組合","本木荘","123-0852","足立区関原１－４－２９","139.789717","35.761743","JGD2011","03-3848-1077","50"
