経営,施設名,郵便番号,所在地,経度,緯度,座標系,電話番号
営利法人,LITALICOジュニアお茶の水教室,101-0021,千代田区外神田２－２－１８　東信御茶の水ビル２階,139.767502,35.699672,JGD2011,03-6859-1800
営利法人,ＴＥＥＮＳ御茶ノ水,101-0062,千代田区神田駿河台三丁目５番地１　三五ビル１階,139.763958,35.695822,JGD2011,050-2018-2067
他の法人,ぴかいち,102-0074,千代田区九段南３丁目７番７号　九段南グリーンビル７階,139.743154,35.693008,JGD2011,03-3239-0686
営利法人,放課後等デイサービス　ポジリブ,103-0005,中央区日本橋久松町６－９　ＡＳ　ＯＮＥ日本橋Ｅａｓｔ２階,139.784357,35.689481,JGD2011,03-3527-3201
営利法人,放課後等デイサービス　ミライエ日本橋,103-0014,中央区日本橋蛎殻町２－５－３,139.785185,35.683924,JGD2011,03-5645-5520
営利法人,児童デイサービス　スマイル日本橋,103-0025,中央区日本橋茅場町２－１７－９　長尾ビル２０１号室,139.780696,35.678607,JGD2011,03-3527-3696
営利法人,ゆうゆうらいふアカデミー中央,104-0033,中央区新川２－１８－５　ＡＳビル２階,139.781649,35.674519,JGD2011,03-6280-5238
営利法人,トリプル・ハート,104-0041,中央区新富２－２－１４　２階,139.772563,35.671872,JGD2011,03-6222-9822
区市町村,中央区立福祉センター,104-0044,中央区明石町１２－１,139.777035,35.666506,JGD2011,03-6278-8642
営利法人,メルケアみなとセンター,105-0003,港区西新橋１－２４－１６　平和ビル,139.751307,35.668738,JGD2011,03-6205-4077
営利法人,スマートキッズプラス芝公園,105-0014,港区芝３－２５－２　黒田芝ビル２階,139.747058,35.651554,JGD2011,03-6809-5597
営利法人,スポーツ塾　ハートフルデイ東麻布,106-0044,港区東麻布２－５－９　サンエイビル２階,139.741828,35.657087,JGD2011,03-6441-0607
営利法人,幸せの缶詰,106-0047,港区南麻布２－１－１８,139.733901,35.649398,JGD2011,03-6277-0717
営利法人,ＫＯＫＯＺＯ　南青山,107-0062,港区南青山４－３－２４　青山ＮＫビル１階,139.720154,35.666224,JGD2011,03-6434-5596
営利法人,ハッピーテラス芝浦教室,108-0023,港区芝浦４－１２－３１,139.749103,35.640017,JGD2011,03-6435-3386
営利法人,スポーツ塾　ハートフルデイ芝浦,108-0023,港区芝浦２－１７－１０　新大友ビル１階,139.75263,35.645135,JGD2011,03-5439-9929
営利法人,ＴＯＤＡＹ児童デイサービス白金,108-0072,港区白金３－１６－９,139.728021,35.644418,JGD2011,03-6450-2157
営利法人,こどもサポート教室「きらり」白金高輪校,108-0073,港区三田４－１０－５　テラドール１階,139.73844,35.641838,JGD2011,03-6435-3438
営利法人,プレミア・ケア・ジュニア　三田店,108-0073,港区三田２－９－５　みずほビル１階,139.744286,35.65064,JGD2011,03-5439-9983
営利法人,すてっぷわん,108-0074,港区高輪１－１７－１５　オーク高輪ビル２階,139.733207,35.640388,JGD2011,03-5860-2378
他の法人,ハービー＆マックローリン・陽だまり介護センター,108-0074,港区高輪３－１９－２０－１０３号・１０２号,139.737529,35.633425,JGD2011,03-5791-2097
営利法人,アフタースクール　クローバーキッズ麻布十番,160-0045,港区麻布十番３－１１－１２　,139.735226,35.65287,JGD2011,03-3451-4141
営利法人,プレミア・ケア・ジュニア　四ツ谷店,160-0004,新宿区四谷３－１－４　斉藤ビルディング２階,139.72267,35.687708,JGD2011,03-5362-7135
区市町村,新宿区立子ども総合センター,160-0022,新宿区新宿７－３－２９,139.712681,35.701003,JGD2011,03-3232-0679
営利法人,ＴＥＥＮＳ新宿,160-0023,新宿区西新宿６－２－３,139.69413,35.693615,JGD2011,050-2018-1339
営利法人,放課後デイサービス　スリーセブン,161-0031,新宿区西落合１－１６－９　フラットＭＯＮＡ１階,139.681419,35.722433,JGD2011,03-5877-9485
他の法人,ケアステップ新宿,162-0041,新宿区早稲田鶴巻町５２５　稲田ビル１階,139.723997,35.706867,JGD2011,03-6233-8038
営利法人,テラコヤキッズ　新宿本教室,162-0065,新宿区住吉町２－１０　ソフィアＭ３Ｆ,139.720745,35.691957,JGD2011,03-3351-9556
営利法人,ノーサイド新宿＠Ｌｅａｆ音楽療法センター,162-0805,新宿区矢来町４３　三新ビル１階,139.73106,35.704045,JGD2011,03-5229-7105
他の法人,ベアーズ,162-0806,新宿区榎町４５　さくらビル２階,139.72898,35.704664,JGD2011,03-3235-3661
他の法人,にこにこルームベリタス,169-0051,新宿区西早稲田２－７－１７　イールハウス１０１号,139.71467,35.708144,JGD2011,03-5273-3358
営利法人,放課後等デイサービス　アトリエたいよう,169-0074,新宿区北新宿４－４－１３,139.694008,35.707496,JGD2011,03-6279-3227
営利法人,スポーツひろばプレイス　高田馬場教室,169-0075,新宿区高田馬場１－９－２１　エムハットビル１階,139.708895,35.71016,JGD2011,03-6233-9977
他の法人,放課後等デイサービス　すまいる,169-0075,新宿区高田馬場１－２５－３６　タイオー･インターナショナルビルディング３０Ｃ号室,139.706348,35.711844,JGD2011,03-3209-8668
営利法人,サッカーあいだっく,169-0075,新宿区高田馬場３－２５－３　東京京装ビル２階,139.697727,35.712454,JGD2011,03-5937-3941
営利法人,児童発達支援・放課後等デイサービス　Ｓｍｉｌｅ　Ｓｅｅｄ（すまいるしーど）,169-0075,新宿区高田馬場１－５－８　ＹＳビル１階,139.708145,35.710755,JGD2011,03-6278-9056
営利法人,運動発達支援スタジオＵＮＩＭＯ後楽園,112-0002,文京区小石川２－２５－１０,139.750652,35.712211,JGD2011,03-6801-8863
公益法人,富坂子どもの家,112-0002,文京区小石川２－１７－４１,139.748361,35.711125,JGD2011,03-3812-2072
