経営,事業所名,郵便番号,所在地,経度,緯度,座標系,電話番号
営利法人,相談支援事業所Ｍｏｉ,101-0051,千代田区神田神保町２－３　神田古書センタービル６Ｆ,139.757236,35.695715,JGD2011,03-6261-6175
社福法人,千代田区立障害者福祉センター,101-0062,千代田区神田駿河台２－５,139.760836,35.700393,JGD2011,03-3291-0600
他の法人,特定非営利活動法人ホープ,102-0071,千代田区富士見２－３－７　タカオカビル１０１,139.745153,35.699613,JGD2011,03-3221-4266
区市町村,中央区障害者就労支援センター,103-0004,中央区東日本橋２－２７－１２－５階,139.785752,35.695484,JGD2011,03-3865-3889
他の法人,特定非営利活動法人エヌフィット,103-0013,中央区日本橋人形町３－３－１０　日本橋ＴＥＣビル５階,139.780832,35.68584,JGD2011,03-6231-0776
区市町村,中央区立福祉センター,104-0044,中央区明石町１２－１,139.777035,35.666506,JGD2011,03-3545-9311
他の法人,ポケット中央,104-0044,中央区明石町１２－１　,139.777035,35.666506,JGD2011,03-3541-1021
区市町村,中央区立知的障害者生活支援施設レインボーハウス明石,104-0044,中央区明石町１－６,139.776716,35.669292,JGD2011,03-6226-1099
区市町村,中央区立福祉センター特定相談支援事業所,104-0044,中央区明石町１２－１,139.777035,35.666506,JGD2011,03-3545-9311
営利法人,相談支援事業所ヒューマングロー東銀座,104-0045,中央区築地４－１２－２　ライオンズマンション７０１号,139.771222,35.66557,JGD2011,070-1260-3246
社福法人,新橋はつらつ太陽,105-0004,港区新橋６－１９－２,139.753738,35.661192,JGD2011,03-3433-0181
営利法人,コスモスケアステーション,105-0004,港区新橋６－５－４　ＤＩＫマンション新橋８０３,139.754418,35.662134,JGD2011,03-5405-1910
営利法人,ケアネスト,105-0012,港区芝大門１－１１－９　ライオンズマンション芝公園６０１,139.752779,35.658312,JGD2011,03-3433-0270
他の法人,訪問介護事業所エブリィ,105-0013,港区三田２－１１－７－２０２,139.744478,35.650176,JGD2011,03-6435-2323
他の法人,特定非営利活動法人　みなと障がい者福祉事業団,105-0014,港区芝１－８－２３　港区立障害保健福祉センター内,139.755574,35.651618,JGD2011,03-5439-8062
