経営,事業所名,郵便番号,所在地,経度,緯度,座標系,電話番号
営利法人,アイビス　上野御徒町,101-0021,千代田区外神田６－９－８　シュパール千代田ビル１階,139.770688,35.704877,JGD2011,03-5807-6551
区市町村,千代田区立障害者就労支援施設,102-0074,千代田区九段南１－２－１,139.753634,35.694002,JGD2011,03-3263-1841
社福法人,クローバーズ・ピア日本橋,103-0002,中央区日本橋馬喰町１－５－４,139.781477,35.692278,JGD2011,03-6661-2835
その他,さわやかワーク中央,103-0004,中央区東日本橋２－２７－１２,139.785752,35.695484,JGD2011,03-3865-3661
他の法人,アイビー,104-0041,中央区新富１－１５－４　アルファ新富ビル３階,139.775408,35.672714,JGD2011,03-6262-8882
区市町村,中央区立知的障害者生活支援施設レインボーハウス明石,104-0044,中央区明石町１－６,139.776716,35.669292,JGD2011,03-6226-1099
区市町村,中央区立福祉センター作業室,104-0044,中央区明石町１２－１,139.777035,35.666506,JGD2011,03-3545-9311
営利法人,アリストランプ,104-0045,中央区築地３－１２－１１　ナカシゲビル４階,139.773038,35.667517,JGD2011,03-6264-1458
他の法人,リバーサイドつつじ,104-0051,中央区佃２－１７－８　佃区民館２階,139.784926,35.664823,JGD2011,03-6673-8081
区市町村,港区立障害保健福祉センター　みなとワークアクティ,105-0014,港区芝１－８－２３,139.755574,35.651618,JGD2011,03-5439-8057
社福法人,みなと工房,105-0023,港区芝浦１－１４－８　ベルハイム田町２０１,139.75273,35.646927,JGD2011,03-3455-8140
社福法人,西麻布作業所,106-0031,港区西麻布３－１９－１６,139.725665,35.659619,JGD2011,03-3408-1545
他の法人,アイエスエフネットベネフィット青山,107-0062,港区南青山１－４－２　八並ビル３階・７階,139.724865,35.671315,JGD2011,03-5785-3788
他の法人,アプローズ南青山,107-0062,港区南青山４－３－２４　青山ＮＫビル２階,139.720154,35.666224,JGD2011,03-6804-3623
他の法人,風の子会高浜生活実習所,108-0022,港区海岸３－３－１８　芝浦日新ビル５階,139.753799,35.641036,JGD2011,03-6809-4001
他の法人,特定非営利活動法人工房ラピール,108-0074,港区高輪１－４－８　港区地域生活支援センター３階,139.734898,35.642988,JGD2011,03-3444-5223
社福法人,東京ワークショップ,160-0003,新宿区四谷本塩町２－５,139.728936,35.689219,JGD2011,03-3341-0900
社福法人,ファロ,160-0022,新宿区新宿１－１６－１６　テェアーカテリーナ３階,139.710912,35.689452,JGD2011,03-3350-4437
公益法人,わーくす　ここ・から,160-0022,新宿区新宿７－３－２９,139.712681,35.701003,JGD2011,03-3208-2278
他の法人,プラーナ新宿,160-0022,新宿区新宿２－９－２３　ＳＶＡＸビルB館２階・８階,139.709793,35.689477,JGD2011,03-6273-2633
他の法人,就労センター『風』,161-0032,新宿区中落合４－２３－２５,139.682994,35.717639,JGD2011,03-3952-6014
社福法人,就労センター「街」,161-0032,新宿区中落合１－６－２１,139.690738,35.716573,JGD2011,03-3952-9975
社福法人,みのり舎,161-0032,新宿区中落合３－２８－１４　第２アビタシオン１０２・２０４・２０５,139.685469,35.722664,JGD2011,03-5988-9791
他の法人,フレッシュスタート目白,161-0033,新宿区下落合４－２０－１６　ソレイユ目白１０３,139.697701,35.721726,JGD2011,03-6908-3663
他の法人,寒緋桜,161-0034,新宿区上落合３－３０－６　ヴェルデ落合４、５階,139.682469,35.714062,JGD2011,03-6908-6496
社福法人,西早稲田あした作業所,162-0051,新宿区西早稲田２－１６－１,139.712256,35.709536,JGD2011,03-5155-3340
区市町村,新宿区立新宿福祉作業所,162-0052,新宿区戸山１－２２－２,139.717434,35.703723,JGD2011,03-3232-3715
社福法人,新宿あした作業所,162-0052,新宿区戸山１－２２－２（区立障害者福祉センター内）,139.717434,35.703723,JGD2011,03-3232-3366
区市町村,新宿区立障害者福祉センター,162-0052,新宿区戸山１－２２－２,139.717434,35.703723,JGD2011,03-3232-3711
社福法人,シャロームみなみ風,162-0851,新宿区弁天町３２－６,139.727269,35.704142,JGD2011,03-5579-8412
他の法人,コンフィデンス早稲田,169-0051,新宿区西早稲田２－１８－２２,139.711539,35.710833,JGD2011,03-6233-9714
社福法人,新宿第二あした作業所,169-0051,新宿区西早稲田３－１１－６　コアハイム西早稲田１０１,139.713942,35.710533,JGD2011,03-5285-4837
区市町村,新宿区立高田馬場福祉作業所,169-0075,新宿区高田馬場４－１０－２,139.702868,35.712752,JGD2011,03-3367-2939
社福法人,オフィスクローバー,169-0075,新宿区高田馬場３－１８－２５　第１康洋ビル７階,139.697399,35.715246,JGD2011,03-3365-4177
他の法人,新宿西共同作業所・ラバンス,169-0075,新宿区高田馬場２－１４－５　ＫＭビル１階,139.706654,35.712966,JGD2011,03-6380-2351
公益法人,パイオニア,169-0075,新宿区高田馬場１－９－２３,139.709059,35.710091,JGD2011,03-3208-9001
区市町村,文京区立小石川福祉作業所,112-0002,文京区小石川３－３０－６,139.74865,35.714089,JGD2011,03-3811-1431
社福法人,工房わかぎり,112-0003,文京区春日２－１９－３,139.744525,35.711275,JGD2011,03-3812-3417
社福法人,ワークプレイスぶんぶん,112-0006,文京区小日向２－１６－１５,139.734582,35.710581,JGD2011,03-5940-2822
社福法人,アビーム,112-0011,文京区千石４－３７－４　ウイスタリア千石１Ｆ,139.741742,35.727651,JGD2011,03-3945-2195
区市町村,文京区立大塚福祉作業所,112-0012,文京区大塚４－５０－１,139.730815,35.72469,JGD2011,03-3946-5601
営利法人,ティ・リーフ,113-0021,文京区本駒込２－２７－１０　本駒込ＳＩビル３階,139.750144,35.730501,JGD2011,03-5319-1520
社福法人,ワークショップやまどり,113-0032,文京区弥生２－９－６,139.764124,35.714989,JGD2011,03-3812-3700
社福法人,銀杏企画Ⅱ,113-0033,文京区本郷３－１６－４　本郷天理ビル３階,139.761321,35.705168,JGD2011,03-5684-0999
社福法人,銀杏企画,113-0033,文京区本郷５－２５－８　香川ビル,139.759593,35.709953,JGD2011,03-5684-0991
