経営,事業所名,郵便番号,所在地,経度,緯度,座標系,電話番号
営利法人,クオッカ,102-0073,千代田区九段北１－３－５,139.751456,35.696183,JGD2011,03-6380-9955
営利法人,フロー・ネット,103-0001,中央区日本橋小伝馬町１－１　日本橋末広ビル２階,139.777441,35.68977,JGD2011,03-5643-2371
営利法人,ナチュラルプランツ･サポート,103-0011,中央区日本橋大伝馬町１７－１　城野ビルⅡ３階,139.782232,35.690526,JGD2011,03-6825-3131
区市町村,中央区立知的障害者生活支援施設レインボーハウス明石,104-0044,中央区明石町１－６,139.776716,35.669292,JGD2011,03-6226-1099
他の法人,就労継続支援Ａ型事業所かがやき,105-0004,港区新橋３－１６－３　港区立生涯学習センター内,139.757115,35.665622,JGD2011,03-3431-1609
営利法人,えがおワークス,105-0013,港区浜松町１－２１－４　崇城大学会館５階,139.757454,35.657754,JGD2011,03-6452-9989
他の法人,アトリエ・レダクラフト,106-0045,港区麻布十番４－４－１　ツイン一の橋ビル２１０８、２０３１,139.737161,35.653767,JGD2011,03-6435-0611
他の法人,Future　Design　Lab　Omotesando,107-0062,港区南青山３－８－２７　芝崎４１０ビル３階,139.715324,35.666435,JGD2011,03-6455-5447
営利法人,くじら,160-0004,新宿区四谷４－３２－１　吉岡ビル５階,139.71487,35.68946,JGD2011,03-6274-8977
営利法人,あしか,160-0022,新宿区新宿１－２－８　国久ビル５階Ａ室,139.712687,35.687963,JGD2011,03-6273-1021
社福法人,東京都育成会　クリーンサービス,160-0022,新宿区新宿５－１８－１６　ＳＨＩＮＪＵＫＵ５－１ビル２階,139.70651,35.694434,JGD2011,03-6380-3985
他の法人,ストローク・サービス,161-0031,新宿区西落合２－２０－１６　ＰＯＥＭビル１階,139.674509,35.720217,JGD2011,03-5996-9533
社福法人,ワークプレイスぶんぶん,112-0006,文京区小日向２－１６－１５,139.734582,35.710581,JGD2011,03-5940-2822
他の法人,ベジティア,113-0033,文京区本郷１－１０－１４　加奈利屋館ビル１階,139.757872,35.704154,JGD2011,03-6240-0580
営利法人,こうめ,111-0034,台東区雷門２－１９－１３,139.797255,35.710463,JGD2011,03-6231-7134
他の法人,HOPE,111-0055,台東区三筋１－４－１６　康江ビル２階,139.78654,35.703391,JGD2011,03-5825-6261
営利法人,ヒューマングロー錦糸町,135-0001,江東区毛利１－２１－２,139.814902,35.692834,JGD2011,03-6659-2148
他の法人,エコミラ江東,135-0052,江東区潮見１－２９－７,139.811894,35.655003,JGD2011,03-5632-8815
営利法人,ヒューマングロー亀戸,136-0071,江東区亀戸１－３１－７,139.825678,35.694709,JGD2011,03-6802-9023
他の法人,阿梨ヶ舎,136-0073,江東区北砂５－２０　１３号棟１０６,139.832927,35.684016,JGD2011,03-6666-4905
営利法人,ライフアーク北砂,136-0073,江東区北砂２－１５－３１　山東ビル紫庭マンション２階,139.826756,35.68275,JGD2011,03-6666-3951
他の法人,すまいる・さぽーと品川,140-0002,品川区東品川１－１７－２,139.745034,35.621363,JGD2011,03-6433-3356
社福法人,福祉工場しながわ,140-0011,品川区東大井１－３－１０,139.743968,35.605795,JGD2011,03-5460-8601
他の法人,めぐろ,153-0043,目黒区東山３－１６－３　ウェル東山ビル,139.684702,35.649789,JGD2011,03-3710-7770
社福法人,カフェレストランわれもこう目黒店,153-0063,目黒区目黒２－４－３６　目黒区民センター１階,139.707868,35.635452,JGD2011,03-3712-8866
社福法人,社会福祉法人東京コロニー　東京都大田福祉工場,143-0015,大田区大森西２－２２－２６,139.728104,35.575279,JGD2011,03-3762-7611
営利法人,明日楽,144-0051,大田区西蒲田６－８－９,139.710234,35.566144,JGD2011,03-6428-7042
他の法人,ひだまり,144-0053,大田区蒲田本町１－８－９,139.716306,35.556226,JGD2011,03-6428-7363
営利法人,プレスト池上,146-0082,大田区池上３－３２－１７　第２６下川ビルＡ館３０１,139.701673,35.573698,JGD2011,03-5748-5188
社福法人,しごとも,158-0082,世田谷区等々力６－１０－１９,139.655903,35.611826,JGD2011,03-3704-0029
他の法人,Ｓｃｏｐｏ,158-0098,世田谷区上用賀３－１４－１７　グラン・ペルフェクティオ１階,139.631632,35.633998,JGD2011,03-6413-0098
他の法人,ローランズプラスⅡ,151-0051,渋谷区千駄ヶ谷３－５４－１５　ベルズ原宿ビル１階,139.705913,35.674981,JGD2011,03-6434-0607
他の法人,ホープ就労支援センター渋谷,151-0073,渋谷区笹塚２－１６－１,139.666234,35.674413,JGD2011,03-6300-5240
社福法人,コロニー中野,165-0023,中野区江原町２－６－７,139.668348,35.72911,JGD2011,03-3953-3541
