"年月[西暦]","施設名称","施設所在地","施設方書","施設電話番号","施設開設日","診療科目名称","緯度","経度"
"202204","鍼灸サロンＲｉｃｃａ","東京都港区白金一丁目28番18号","Yビル2階","03-3445-1189","2022/4/19","あん摩、はり、きゅう","35.643758","139.732976"
"202204","白金訪問鍼灸マッサージセンター","東京都港区白金六丁目14番3号",,,"2022/4/1","あん摩、はり、きゅう","35.642177","139.723712"
"202204","智翠","東京都港区浜松町一丁目20番10号","ライオネス浜松町408",,"2022/4/1","はり、きゅう","35.657756 ","139.756563 "
"202204","グリー　マッサージルーム","東京都港区六本木六丁目11番16号","中銀六本木マンシオン303","045-227-6275","2022/3/23","あん摩","35.658150","139.732052"
"202205","鍼灸サロン　はにかむ","東京都港区麻布十番一丁目5番24号","第3長門ビル202","03-6447-5900","2021/10/1","はり、きゅう","35.657099","139.733010"
"202205","マースジャパンリミテッド　マッサージルーム","東京都港区港南一丁目2番70号","品川シーズンテラス7階 マースジャパンリミテッド内マッサージルーム(会議室)",,"2022/5/9","あん摩","35.632491","139.743066"
"202205","リライフ鍼灸マッサージ院","東京都港区新橋三丁目11番9号","烏森通りビル3階","03-6435-8382","2022/5/16","あん摩、はり、きゅう","35.666281","139.755725"
"202205","安藤・間リラクゼーションルーム","東京都港区東新橋一丁目9番1号","東京汐留ビルディング3階","03-3575-6086","2022/5/9","あん摩、はり、きゅう","35.662940","139.761215"
"202205","ゆるり鍼灸院六本木","東京都港区六本木五丁目1番1号","マイアミビル2階","03-3479-6088","2022/5/10","あん摩、はり、きゅう","35.662953","139.732491"
"202205","体のサポートつぼ工房","東京都港区六本木七丁目18番5号508",,"03-3475-0575","2022/5/30","はり、きゅう","35.662103","139.728739"
"202206","鍼灸院Ｒｅｖｉｖｅ","東京都港区赤坂六丁目4番18号","プリンストン赤坂602号室",,"2022/6/11","あん摩、はり、きゅう","35.670473","139.734607"
"202206","鍼灸サロンＢＥＬＬＥ麻布十番","東京都港区麻布十番二丁目5番11号","麻布メゾン701","03-6227-0825","2022/6/20","あん摩、はり、きゅう","35.656214","139.733317"
"202206","ニューフェイスコスメティック","東京都港区北青山三丁目12番7号","カプリース青山407","080-7958-4683","2022/6/23","はり、きゅう","35.663371","139.710305"
"202206","Ｒｅ－ｆｉｎｅ","東京都港区港南二丁目16番3号","品川グランドセルタワー18F","03-6864-0243","2022/6/27","あん摩、はり、きゅう","35.626615","139.740774"
"202206","まごころベルマッサージ","東京都港区芝三丁目31番5号","福田ビル203","03-5358-4155","2022/6/1","あん摩、きゅう、はり","35.651100","139.747233"
"202206","しまだ整体サロン","東京都港区白金二丁目3番19号","白金アネックス201","03-6450-3439","2022/6/1","はり、きゅう","35.642468","139.733290"
"202206","ＳＡＬＯＮ　Ｋ．","東京都港区西麻布一丁目11番6号","1203",,"2022/6/23","はり、きゅう","35.660346","139.724609"
"202206","南青山ＰＩＣＳ鍼灸院","東京都港区南青山三丁目8番7号","クレアトゥール南青山301","03-6721-0608","2022/6/1","はり、きゅう","35.667176","139.715851"
"202206","こきゅう南青山鍼灸院","東京都港区南青山三丁目16番14号","プラサーダ青山401","03-6447-1080","2022/6/15","あん摩、はり、きゅう","35.664402","139.714659"
"202206","こきゅう南青山プレミアム鍼灸院","東京都港区南青山三丁目16番14号","プラサーダ青山402","03-6447-1080","2022/6/15","あん摩、はり、きゅう","35.664402","139.714659"
"202206","６５℃","東京都港区元麻布三丁目12番4号","SP元麻布B1","03-6455-4768","2022/6/18","はり、きゅう","35.656086","139.732493"
"202206","ＴＥＳＥＲＡ","東京都港区六本木三丁目2番1号","六本木グランドタワー2階","03-5544-8878","2022/6/27","はり、きゅう","35.664718","139.737760"
"202207","Ｒｅｌａｘａｔｉｏｎ　Ｒｏｏｍ　Ｒａｋｕｍｏｍｉ","東京都港区南青山二丁目6番21号","楽天クリムゾンハウス9階","03-6740-6730","2022/7/19","あん摩、はり、きゅう","35.671818","139.722229"
"202208","ハリックマ","東京都港区麻布十番一丁目4番8号","マドモワゼルビル403号",,"2022/8/1","はり、きゅう","35.657019","139.734687"
"202208","セイビア鍼灸院","東京都港区麻布十番一丁目10番3号","モンテプラザ麻布705号","03-3568-4312","2022/8/25","はり、きゅう","35.656191","139.736423"
"202208","虎ノ門武士鍼灸院","東京都港区虎ノ門五丁目11番15号","905","03-6822-0426","2022/1/1","はり、きゅう","35.662259","139.744754"
"202208","有限会社きみしま　きみしま鍼灸治療院","東京都港区西新橋二丁目2番3号","西新橋ビル7階B","03-4283-9622","2022/8/15","はり、きゅう","35.667681","139.751612"
"202208","ＯＷＬ鍼灸院","東京都港区東麻布一丁目18番7号","REVER HAYASHI 301",,"2022/8/26","はり、きゅう","35.655733","139.742722"
"202209","ＬＯＯＰＬＥ（ループル）鍼灸マッサージ院ＡＮＮＥＸ","東京都港区麻布十番四丁目6番8号","二進ビル6階","03-6435-0613","2022/9/1","あん摩、はり、きゅう","35.653127","139.736949"
"202209","かわい指圧ルーム","東京都港区芝五丁目22番4号","種村ビル2階、3階","03-3452-4433","2005/12/26","あん摩、はり、きゅう","35.648228","139.746490"
"202209","ＨａｒｉＦａ　六本木院","東京都港区西麻布一丁目2番12号","デュオスカーラ西麻布タワーEAST1202","050-3479-3744","2022/9/21","はり、きゅう","35.661105","139.726904"
"202209","Ｂａｃｋ　ｔｏ　Ｂａｓｉｃｓ　鍼灸治療院","東京都港区西麻布四丁目8番31号","レジデンス西麻布203","03-6447-7655","2022/9/2","はり、きゅう","35.656542","139.722594"
"202209","クインベル表参道","東京都港区南青山六丁目8番6号","603","03-6427-6007","2022/9/10","きゅう、はり、あん摩","35.659946","139.716689"
"202210","ｉＣｕｒｅ鍼灸院　溜池山王","東京都港区赤坂二丁目10番16号","新陽ビル2階","03-5570-1800","2022/10/1","はり、きゅう","35.670661","139.741512"
"202210","ｉＣｕｒｅ鍼灸院　虎ノ門","東京都港区西新橋一丁目12番6号","白井ビル1階","03-6205-7700","2022/10/1","はり、きゅう","35.668298","139.753329"
"202210","鍼灸Ｍｅａｄｏｗ","東京都港区南青山四丁目25番1号","2階","050-3559-1588","2022/10/4","あん摩、はり、きゅう","35.663234","139.718342"
"202211","おと鍼灸室","東京都港区赤坂九丁目6番27号","カーム乃木坂503","03-6434-0660","2022/11/19","はり、きゅう","35.666388","139.728545"
