"年月[西暦]","調査項目","設問","方法","調査回答者の属性種別","調査回答者の属性","調査数[人]","利用したことがある[人]","実際に利用したことはないが、利用すると思う","利用しないと思う[人]","無回答[人]"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","２　電話を利用して相談する","全体",,"558","107","145","251","55"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","２　電話を利用して相談する","性・年代別","男性（計）","231","35","56","124","16"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","２　電話を利用して相談する","性・年代別","男性 18～29歳","13","4","5","4","0"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","２　電話を利用して相談する","性・年代別","男性 30～39歳","38","8","6","20","4"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","２　電話を利用して相談する","性・年代別","男性 40～49歳","50","12","16","21","1"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","２　電話を利用して相談する","性・年代別","男性 50～59歳","47","7","14","24","2"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","２　電話を利用して相談する","性・年代別","男性 60～69歳","42","2","9","29","2"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","２　電話を利用して相談する","性・年代別","男性 70歳以上","40","2","6","25","7"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","２　電話を利用して相談する","性・年代別","男性 無回答","1","0","0","1","0"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","２　電話を利用して相談する","性・年代別","女性（計）","313","72","88","125","28"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","２　電話を利用して相談する","性・年代別","女性 18～29歳","26","9","2","14","1"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","２　電話を利用して相談する","性・年代別","女性 30～39歳","49","19","17","11","2"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","２　電話を利用して相談する","性・年代別","女性 40～49歳","78","22","20","29","7"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","２　電話を利用して相談する","性・年代別","女性 50～59歳","62","13","15","28","6"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","２　電話を利用して相談する","性・年代別","女性 60～69歳","56","5","20","25","6"
"202203","自殺対策","Q29. あなたはストレスを感じたときに、以下の方法 で 悩みを相談したいと思いますか 。（○はそれぞれ１つずつ）","２　電話を利用して相談する","性・年代別","女性 70歳以上","42","4","14","18","6"
