"年度[西暦]","款","当初予算 金額[千円]","当初予算 構成比[%]","最終補正後 金額[千円]","最終補正後 構成比[%]"
"2020","国民健康保険料","7751488","32.9","7414609","31.1"
"2020","一部負担金","4","0.0","4","0.0"
"2020","使用料及び手数料","122","0.0","122","0.0"
"2020","国庫支出金","1","0.0","222699","0.9"
"2020","都支出金","13485979","57.2","13008618","54.5"
"2020","繰入金","2280320","9.7","1850079","7.8"
"2020","繰越金","35000","0.1","1347178","5.6"
"2020","諸収入","12647","0.1","12647","0.1"
"2020","歳入合計","23565561","100.0","23855956","100.0"
"2021","国民健康保険料","7455572","32.1",,
"2021","一部負担金","4","0.0",,
"2021","使用料及び手数料",,,,
"2021","国庫支出金","1","0.0",,
"2021","都支出金","13299956","57.2",,
"2021","繰入金","2382841","10.2",,
"2021","繰越金","100000","0.4",,
"2021","諸収入","13887","0.1",,
"2021","歳入合計","23252261","100.0",,

"令和3年度港区行政資料集　国民健康保険事業会計歳入予算","Ver202103",,,,
