区分,項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,調査世帯数,689,-,-,96,-,101,-,100,-,101,-,99,-,98,-,94,-
0,0,世帯人員,2.94,-,-,2.58,-,2.72,-,2.84,-,2.95,-,3.08,-,3.15,-,3.26,-
0,0,有業人員,1.32,-,-,1.09,-,1.12,-,1.27,-,1.33,-,1.41,-,1.49,-,1.54,-
0,0,世帯主平均年齢,59.4,-,-,64.1,-,64.1,-,60.3,-,57.6,-,57.1,-,56.3,-,56.2,-
0,0,消費支出,297350,100,-1.8,100328,100,157486,100,198763,100,241718,100,296213,100,377639,100,710786,100
1,0,商品,168697,56.7,5.7,78076,77.8,111034,70.5,129634,65.2,147408,61,173957,58.7,208472,55.2,332416,46.8
1,1,耐久財,20256,6.8,19.3,1028,1,2162,1.4,4124,2.1,6522,2.7,10994,3.7,20425,5.4,96555,13.6
1,2,半耐久財,23418,7.9,-10,5017,5,8872,5.6,13147,6.6,18334,7.6,24897,8.4,32701,8.7,61207,8.6
1,3,非耐久財,125023,42,7.2,72032,71.8,99999,63.5,112362,56.5,122552,50.7,138066,46.6,155346,41.1,174653,24.6
1,0,サービス,128653,43.3,-10.2,22251,22.2,46451,29.5,69130,34.8,94310,39,122256,41.3,169167,44.8,378370,53.2
2,0,食料,94072,31.6,1.1,52457,52.3,71140,45.2,81128,40.8,88967,36.8,103228,34.8,119368,31.6,142412,20
2,3,非耐久財,79152,26.6,9.4,48281,48.1,64208,40.8,71225,35.8,77420,32,87418,29.5,97338,25.8,108050,15.2
2,4,サービス,14920,5,-27.9,4176,4.2,6932,4.4,9903,5,11547,4.8,15810,5.3,22030,5.8,34361,4.8
2,0,住居,27642,9.3,17.1,2267,2.3,5650,3.6,13605,6.8,19798,8.2,24305,8.2,33830,9,94259,13.3
2,1,耐久財,3948,1.3,33.4,4,0,48,0,390,0.2,376,0.2,765,0.3,2078,0.6,24048,3.4
2,2,半耐久財,405,0.1,82.4,129,0.1,186,0.1,177,0.1,204,0.1,466,0.2,727,0.2,941,0.1
2,4,サービス,23290,7.8,14,2133,2.1,5416,3.4,13038,6.6,19217,8,23074,7.8,31025,8.2,69270,9.7
2,0,光熱・水道（非耐久財）,21509,7.2,1.1,13370,13.3,19562,12.4,21319,10.7,21404,8.9,23068,7.8,25089,6.6,26680,3.8
2,0,家具・家事用品,13813,4.6,10.8,3896,3.9,6161,3.9,8134,4.1,10710,4.4,13951,4.7,17964,4.8,35913,5.1
2,1,耐久財,5240,1.8,4.4,458,0.5,882,0.6,1567,0.8,3018,1.2,4364,1.5,6941,1.8,19471,2.7
2,2,半耐久財,4032,1.4,13.4,1278,1.3,1942,1.2,2842,1.4,3376,1.4,4302,1.5,5312,1.4,9194,1.3
2,3,非耐久財,3685,1.2,21.8,1901,1.9,2903,1.8,3273,1.6,3716,1.5,4390,1.5,4615,1.2,4983,0.7
2,4,サービス,856,0.3,-1.6,259,0.3,435,0.3,452,0.2,600,0.2,895,0.3,1096,0.3,2266,0.3
2,0,被服及び履物,11753,4,-19.6,2335,2.3,4273,2.7,6911,3.5,9512,3.9,12607,4.3,16272,4.3,30490,4.3
2,2,半耐久財,10787,3.6,-20.5,2228,2.2,3959,2.5,6367,3.2,8733,3.6,11636,3.9,14997,4,27718,3.9
2,4,サービス,966,0.3,-7.5,108,0.1,314,0.2,545,0.3,779,0.3,971,0.3,1275,0.3,2772,0.4
2,0,保健医療,17819,6,6.2,4938,4.9,8678,5.5,11391,5.7,14179,5.9,17618,5.9,23983,6.4,44185,6.2
