項目,階層,項目名,都平均／実数（円）,都平均／負担率（％）,都平均／対前年増加率（％）,第1階層／実数（円）,第1階層／負担率（％）,第2階層／実数（円）,第2階層／負担率（％）,第3階層／実数（円）,第3階層／負担率（％）,第4階層／実数（円）,第4階層／負担率（％）,第5階層／実数（円）,第5階層／負担率（％）,第6階層／実数（円）,第6階層／負担率（％）,第7階層／実数（円）,第7階層／負担率（％）
0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,調査世帯数,689,-,-,96,-,101,-,100,-,101,-,99,-,98,-,94,-
0,0,世帯人員,2.94,-,-,2.58,-,2.72,-,2.84,-,2.95,-,3.08,-,3.15,-,3.26,-
0,0,有業人員,1.32,-,-,1.09,-,1.12,-,1.27,-,1.33,-,1.41,-,1.49,-,1.54,-
0,0,世帯主平均年齢,59.4,-,-,64.1,-,64.1,-,60.3,-,57.6,-,57.1,-,56.3,-,56.2,-
0,0,消費支出,319428,-,-2.2,103003,-,166342,-,212112,-,259532,-,319205,-,407807,-,769707,-
0,0,公共的料金,86733,27.2,-0.5,28660,27.8,47940,28.8,62247,29.3,73675,28.4,84993,26.6,107109,26.3,202819,26.4
1,0,公共料金等,56303,17.6,-4.8,23895,23.2,39184,23.6,46556,21.9,52579,20.3,60280,18.9,73235,18,98608,12.8
1,1,米,1956,0.6,2.6,1367,1.3,1753,1.1,1924,0.9,2030,0.8,2099,0.7,2405,0.6,2100,0.3
1,1,食塩,40,0,8.1,22,0,36,0,36,0,36,0,46,0,55,0,48,0
1,1,学校給食,655,0.2,-19.3,116,0.1,260,0.2,575,0.3,605,0.2,773,0.2,1333,0.3,937,0.1
1,1,公営家賃,2237,0.7,-15.6,469,0.5,1480,0.9,2720,1.3,2774,1.1,2877,0.9,3314,0.8,2010,0.3
1,1,電気代,10114,3.2,-0.2,6415,6.2,9216,5.5,10029,4.7,9869,3.8,11017,3.5,11734,2.9,12460,1.6
1,1,都市ガス,5452,1.7,-2,3551,3.4,5048,3,5264,2.5,5375,2.1,5689,1.8,6373,1.6,6809,0.9
1,1,上下水道料,5283,1.7,7.5,2896,2.8,4544,2.7,5315,2.5,5394,2.1,5540,1.7,6318,1.5,7005,0.9
1,1,医科診療代,3723,1.2,-8.3,1349,1.3,2445,1.5,3005,1.4,3469,1.3,3796,1.2,4777,1.2,7258,0.9
1,1,歯科診療代,2746,0.9,27,433,0.4,796,0.5,752,0.4,1231,0.5,1668,0.5,3063,0.8,11355,1.5
1,1,出産入院料,250,0.1,25,-,-,-,-,-,-,-,-,84,0,259,0.1,1436,0.2
1,1,他の入院料,1752,0.5,8.8,33,0,139,0.1,369,0.2,643,0.2,1539,0.5,2628,0.6,6967,0.9
1,1,鉄道運賃,1674,0.5,-53.9,201,0.2,481,0.3,891,0.4,1359,0.5,2125,0.7,2362,0.6,4336,0.6
1,1,鉄道通学定期代,235,0.1,-59.1,14,0,-,-,18,0,155,0.1,297,0.1,417,0.1,740,0.1
1,1,鉄道通勤定期代,2110,0.7,-9.6,131,0.1,607,0.4,664,0.3,1411,0.5,2128,0.7,4401,1.1,5371,0.7
1,1,バス代,224,0.1,-44.8,43,0,104,0.1,137,0.1,181,0.1,263,0.1,341,0.1,508,0.1
1,1,バス通学定期代,50,0,-55,-,-,4,0,10,0,6,0,24,0,80,0,231,0
1,1,バス通勤定期代,96,0,21.5,43,0,40,0,61,0,44,0,179,0.1,18,0,294,0
1,1,タクシー代,577,0.2,-28.9,132,0.1,281,0.2,301,0.1,332,0.1,502,0.2,993,0.2,1512,0.2
1,1,航空運賃,252,0.1,-75.4,-,-,42,0,90,0,189,0.1,294,0.1,395,0.1,756,0.1
1,1,郵便料,480,0.2,9.1,182,0.2,383,0.2,380,0.2,422,0.2,486,0.2,662,0.2,866,0.1
1,1,固定電話通信料,1567,0.5,-6.4,1061,1,1680,1,1577,0.7,1548,0.6,1648,0.5,1788,0.4,1665,0.2
