項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,2人／実数（円）,2人／構成比（％）,3人／実数（円）,3人／構成比（％）,4人／実数（円）,4人／構成比（％）,5人以上／実数（円）,5人以上／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,3043,-,2812,-,3028,-,1117,-
0,0,0,0,0,調査世帯数,372,-,111,-,102,-,115,-,44,-
0,0,0,0,0,世帯人員,3.24,-,2,-,3,-,4,-,5.14,-
0,0,0,0,0,有業人員,1.73,-,1.55,-,1.78,-,1.8,-,1.87,-
0,0,0,0,0,世帯主平均年齢,49.3,-,53.1,-,50.2,-,45.1,-,48.5,-
1,0,0,0,0,受取,1454451,-,1130500,-,1676501,-,1625431,-,1314278,-
1,1,0,0,0,実収入,602763,100,524504,100,634674,100,659065,100,582966,100
1,2,0,0,0,経常収入,596643,99,518941,98.9,627988,98.9,653251,99.1,575921,98.8
1,3,0,0,0,勤め先収入,574665,95.3,496559,94.7,601313,94.7,637584,96.7,549765,94.3
1,4,0,0,0,世帯主収入,453346,75.2,392866,74.9,462967,72.9,517722,78.6,419346,71.9
1,6,0,0,0,うち男,429931,71.3,340963,65,444031,70,510139,77.4,419346,71.9
1,5,0,0,0,定期収入,441398,73.2,388377,74,457697,72.1,489569,74.3,414198,71.1
1,5,0,0,0,臨時収入,4295,0.7,3175,0.6,4423,0.7,4988,0.8,5148,0.9
1,5,0,0,0,賞与,7653,1.3,1314,0.3,847,0.1,23165,3.5,-,-
1,4,0,0,0,世帯主の配偶者の収入,107201,17.8,100948,19.2,116467,18.4,102181,15.5,114511,19.6
1,6,0,0,0,うち女,104054,17.3,96172,18.3,116467,18.4,96589,14.7,114511,19.6
1,4,0,0,0,他の世帯員収入,14119,2.3,2744,0.5,21879,3.4,17680,2.7,15909,2.7
1,3,0,0,0,事業・内職収入,9095,1.5,12490,2.4,11225,1.8,3853,0.6,8696,1.5
1,4,0,0,0,家賃収入,4374,0.7,9632,1.8,5133,0.8,-,-,-,-
1,4,0,0,0,他の事業収入,4218,0.7,2858,0.5,6092,1,2195,0.3,8696,1.5
1,4,0,0,0,内職収入,502,0.1,-,-,-,-,1658,0.3,-,-
1,3,0,0,0,他の経常収入,12882,2.1,9892,1.9,15450,2.4,11814,1.8,17461,3
1,4,0,0,0,財産収入,1211,0.2,1266,0.2,2298,0.4,592,0.1,-,-
1,4,0,0,0,社会保障給付,10901,1.8,8626,1.6,10775,1.7,10903,1.7,17413,3
1,5,0,0,0,公的年金給付,678,0.1,2227,0.4,-,-,-,-,-,-
1,5,0,0,0,他の社会保障給付,10223,1.7,6399,1.2,10775,1.7,10903,1.7,17413,3
1,4,0,0,0,仕送り金,771,0.1,-,-,2378,0.4,319,0,48,0
1,2,0,0,0,特別収入,6121,1,5563,1.1,6687,1.1,5815,0.9,7044,1.2
1,3,0,0,0,受贈金,1166,0.2,394,0.1,1770,0.3,1083,0.2,1970,0.3
1,3,0,0,0,他の特別収入,4955,0.8,5169,1,4916,0.8,4731,0.7,5074,0.9
1,1,0,0,0,実収入以外の受取(繰入金を除く),648522,-,492478,-,780481,-,721481,-,543532,-
1,2,0,0,0,預貯金引出,513006,-,354931,-,650872,-,581024,-,412067,-
1,2,0,0,0,保険金,2335,-,4848,-,3058,-,-,-,-,-
1,3,0,0,0,個人・企業年金保険金,1291,-,4241,-,-,-,-,-,-,-
1,3,0,0,0,他の保険金,1045,-,607,-,3058,-,-,-,-,-
1,2,0,0,0,有価証券売却,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,土地家屋借入金,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,他の借入金,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,クレジット購入借入金,133155,-,132654,-,126505,-,140457,-,131464,-
1,2,0,0,0,土地家屋売却,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,実収入以外の受取のその他,26,-,44,-,46,-,-,-,-,-
1,1,0,0,0,繰入金,203166,-,113519,-,261345,-,244885,-,187780,-
2,0,0,0,0,支払,1454451,-,1130500,-,1676501,-,1625431,-,1314278,-
2,1,0,0,0,実支出,594683,-,461305,-,682456,-,684369,-,493858,-
2,2,0,0,0,生計支出,472676,-,333080,-,560893,-,562229,-,388037,-
2,3,0,0,0,消費支出,356537,100,333080,100,348160,100,376270,100,388037,100
2,4,1,0,0,食料,97337,27.3,87598,26.3,97274,27.9,99874,26.5,117153,30.2
2,5,1,1,0,穀類,6359,1.8,4570,1.4,6113,1.8,7578,2,8552,2.2
2,6,1,1,1,米類,1541,0.4,898,0.3,1415,0.4,2015,0.5,2322,0.6
2,6,1,1,2,パン,2779,0.8,2326,0.7,2590,0.7,3249,0.9,3219,0.8
2,6,1,1,3,麺類,1493,0.4,1043,0.3,1435,0.4,1709,0.5,2280,0.6
