項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,調査世帯数,365,-,-,53,-,53,-,56,-,53,-,52,-,50,-,49,-
0,世帯人員,3.3,-,-,3.11,-,3.21,-,3.19,-,3.43,-,3.34,-,3.33,-,3.46,-
0,有業人員,1.71,-,-,1.59,-,1.72,-,1.52,-,1.7,-,1.76,-,1.85,-,1.84,-
0,世帯主平均年齢,49.4,-,-,55,-,51,-,47.7,-,46.8,-,47.6,-,49.8,-,48.1,-
0,消費支出,343451,100,-4.8,251098,100,267994,100,300197,100,323101,100,367986,100,413225,100,483110,100
2,基礎的支出,177509,51.7,-,153387,61.1,159546,59.5,163162,54.4,168561,52.2,180741,49.1,192235,46.5,225956,46.8
3,選択的支出,165942,48.3,-,97711,38.9,108448,40.5,137036,45.6,154540,47.8,187244,50.9,220990,53.5,257154,53.2
1,食料,96464,28.1,2,85261,34,77521,28.9,82573,27.5,91650,28.4,98635,26.8,109196,26.4,131018,27.1
2,基礎的支出,73821,21.5,-,70645,28.1,62406,23.3,64188,21.4,70618,21.9,75844,20.6,81088,19.6,92161,19.1
3,選択的支出,22643,6.6,-,14615,5.8,15115,5.6,18385,6.1,21031,6.5,22791,6.2,28108,6.8,38857,8
1,住居,29322,8.5,11.1,22152,8.8,31420,11.7,26882,9,25435,7.9,30898,8.4,28889,7,39980,8.3
2,基礎的支出,26781,7.8,12.6,21925,8.7,31150,11.6,24989,8.3,23446,7.3,27741,7.5,23496,5.7,35141,7.3
3,選択的支出,2542,0.7,-3,227,0.1,269,0.1,1892,0.6,1990,0.6,3157,0.9,5393,1.3,4839,1
1,光熱・水道,20717,6,-2.1,18140,7.2,19557,7.3,19973,6.7,21667,6.7,21036,5.7,22150,5.4,22425,4.6
2,基礎的支出,20717,6,-2.1,18140,7.2,19557,7.3,19973,6.7,21667,6.7,21036,5.7,22150,5.4,22425,4.6
3,選択的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,家具・家事用品,14751,4.3,15.2,12194,4.9,11525,4.3,12317,4.1,11646,3.6,16480,4.5,19129,4.6,20122,4.2
2,基礎的支出,10110,2.9,26.9,9051,3.6,8509,3.2,9013,3,8240,2.6,11530,3.1,11813,2.9,12617,2.6
3,選択的支出,4642,1.4,-4,3143,1.3,3017,1.1,3304,1.1,3406,1.1,4950,1.3,7316,1.8,7505,1.6
1,被服及び履物,13589,4,-21.9,8531,3.4,9969,3.7,10438,3.5,13153,4.1,14432,3.9,16795,4.1,22066,4.6
2,基礎的支出,764,0.2,-10.5,575,0.2,649,0.2,616,0.2,622,0.2,781,0.2,959,0.2,1161,0.2
3,選択的支出,12825,3.7,-22.5,7956,3.2,9319,3.5,9822,3.3,12530,3.9,13651,3.7,15836,3.8,20905,4.3
1,保健医療,16488,4.8,6.6,12957,5.2,14464,5.4,16514,5.5,14418,4.5,17034,4.6,20246,4.9,19901,4.1
2,基礎的支出,13855,4,8.5,11737,4.7,12496,4.7,14173,4.7,12487,3.9,14209,3.9,16831,4.1,15081,3.1
3,選択的支出,2632,0.8,-2.5,1221,0.5,1968,0.7,2341,0.8,1930,0.6,2825,0.8,3415,0.8,4819,1
1,交通・通信,39313,11.4,-15.5,22313,8.9,25700,9.6,38251,12.7,43173,13.4,45350,12.3,46928,11.4,53298,11
2,基礎的支出,7691,2.2,-,5817,2.3,5687,2.1,7015,2.3,8401,2.6,7654,2.1,8297,2,11115,2.3
3,選択的支出,31622,9.2,-,16496,6.6,20013,7.5,31237,10.4,34772,10.8,37696,10.2,38631,9.3,42182,8.7
1,教育,28602,8.3,-12,20731,8.3,15449,5.8,20860,6.9,22415,6.9,36787,10,46547,11.3,37646,7.8
2,基礎的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,選択的支出,28602,8.3,-12,20731,8.3,15449,5.8,20860,6.9,22415,6.9,36787,10,46547,11.3,37646,7.8
1,教養娯楽,35103,10.2,-16.3,22294,8.9,23296,8.7,29065,9.7,32313,10,36830,10,42370,10.3,60027,12.4
2,基礎的支出,6116,1.8,-1.7,4349,1.7,5645,2.1,6422,2.1,5076,1.6,7323,2,6512,1.6,7489,1.6
3,選択的支出,28987,8.4,-18.8,17946,7.1,17652,6.6,22643,7.5,27237,8.4,29507,8,35859,8.7,52538,10.9
1,その他の消費支出,49104,14.3,-5.3,26524,10.6,39092,14.6,43324,14.4,47231,14.6,50503,13.7,60976,14.8,76628,15.9
2,基礎的支出,17655,5.1,1.3,11148,4.4,13447,5,16773,5.6,18003,5.6,14623,4,21090,5.1,28765,6
3,選択的支出,31449,9.2,-8.7,15376,6.1,25645,9.6,26550,8.8,29228,9,35880,9.8,39886,9.7,47863,9.9
,,,,,,,,,,,,,,,,,,
東京都生計分析調査　令和 2年,,,,,,,,,,,,,,,,,,
第２６表　勤め先収入７分位階層別１世帯当たり年平均１か月間の基礎的・選択的支出　―　勤労者世帯　―,,,,,,,,,,,,,,,,,,
項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）,,,,,,,,,,,,,,,,,,
