項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,有業者の有無／有業者なし／実数（円）,有業者の有無／有業者なし／構成比（％）,有業者の有無／有業者あり／実数（円）,有業者の有無／有業者あり／構成比（％）,世帯人員別／2人／実数（円）,世帯人員別／2人／構成比（％）,世帯人員別／3人以上／実数（円）,世帯人員別／3人以上／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,6350,-,3650,-,7227,-,2773,-
0,0,0,0,0,調査世帯数,222,-,142,-,80,-,161,-,61,-
0,0,0,0,0,世帯人員,2.38,-,2.13,-,2.83,-,2,-,3.38,-
0,0,0,0,0,有業人員,0.46,-,-,-,1.25,-,0.22,-,1.08,-
0,0,0,0,0,世帯主平均年齢,75.1,-,76.3,-,72.9,-,76.4,-,71.6,-
1,0,0,0,0,受取,734504,-,684559,-,824147,-,665710,-,916159,-
1,1,0,0,0,実収入,260776,100,239481,100,298246,100,237841,100,322012,100
1,2,0,0,0,経常収入,234119,89.8,219643,91.7,259696,87.1,220259,92.6,270820,84.1
1,3,0,0,0,勤め先収入,26369,10.1,-,-,73267,24.6,12745,5.4,62344,19.4
1,4,0,0,0,世帯主収入,-,-,-,-,-,-,-,-,-,-
1,6,0,0,0,うち男,-,-,-,-,-,-,-,-,-,-
1,5,0,0,0,定期収入,-,-,-,-,-,-,-,-,-,-
1,5,0,0,0,臨時収入,-,-,-,-,-,-,-,-,-,-
1,5,0,0,0,賞与,-,-,-,-,-,-,-,-,-,-
1,4,0,0,0,世帯主の配偶者の収入,6890,2.6,-,-,19099,6.4,4573,1.9,13006,4
1,6,0,0,0,うち女,6890,2.6,-,-,19099,6.4,4573,1.9,13006,4
1,4,0,0,0,他の世帯員収入,19479,7.5,-,-,54168,18.2,8172,3.4,49338,15.3
1,3,0,0,0,事業・内職収入,12544,4.8,5953,2.5,24180,8.1,13202,5.6,10819,3.4
1,4,0,0,0,家賃収入,6420,2.5,3481,1.5,11592,3.9,6646,2.8,5816,1.8
1,4,0,0,0,他の事業収入,1524,0.6,-,-,4240,1.4,1932,0.8,455,0.1
1,4,0,0,0,内職収入,4600,1.8,2472,1,8348,2.8,4624,1.9,4547,1.4
1,3,0,0,0,他の経常収入,195206,74.9,213690,89.2,162249,54.4,194311,81.7,197657,61.4
1,4,0,0,0,財産収入,5225,2,7383,3.1,1242,0.4,6226,2.6,2552,0.8
1,4,0,0,0,社会保障給付,189701,72.7,205901,86,160941,54,187789,79,194861,60.5
1,5,0,0,0,公的年金給付,186167,71.4,203246,84.9,155680,52.2,186452,78.4,185563,57.6
1,5,0,0,0,他の社会保障給付,3534,1.4,2655,1.1,5261,1.8,1337,0.6,9299,2.9
1,4,0,0,0,仕送り金,280,0.1,405,0.2,67,0,296,0.1,243,0.1
1,2,0,0,0,特別収入,26657,10.2,19838,8.3,38550,12.9,17583,7.4,51192,15.9
1,3,0,0,0,受贈金,925,0.4,889,0.4,944,0.3,444,0.2,2216,0.7
1,3,0,0,0,他の特別収入,25732,9.9,18949,7.9,37605,12.6,17139,7.2,48976,15.2
1,1,0,0,0,実収入以外の受取(繰入金を除く),370144,-,359201,-,391404,-,345214,-,435873,-
1,2,0,0,0,預貯金引出,273680,-,266367,-,288066,-,256547,-,318185,-
1,2,0,0,0,保険金,29738,-,34501,-,21046,-,29359,-,30852,-
1,3,0,0,0,個人・企業年金保険金,27898,-,32077,-,20414,-,26912,-,30643,-
1,3,0,0,0,他の保険金,1841,-,2423,-,632,-,2447,-,209,-
1,2,0,0,0,有価証券売却,123,-,196,-,-,-,173,-,-,-
1,2,0,0,0,土地家屋借入金,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,他の借入金,442,-,498,-,323,-,539,-,192,-
1,2,0,0,0,クレジット購入借入金,62903,-,56669,-,74900,-,57736,-,76775,-
1,2,0,0,0,土地家屋売却,2597,-,-,-,6947,-,-,-,9724,-
1,2,0,0,0,実収入以外の受取のその他,660,-,971,-,123,-,860,-,146,-
1,1,0,0,0,繰入金,103584,-,85877,-,134497,-,82654,-,158274,-
2,0,0,0,0,支払,734504,-,684559,-,824147,-,665710,-,916159,-
2,1,0,0,0,実支出,300778,-,296548,-,309808,-,286485,-,338499,-
2,2,0,0,0,生計支出,263689,-,261143,-,269604,-,251424,-,296092,-
2,3,0,0,0,消費支出,263689,100,261143,100,269604,100,251424,100,296092,100
2,4,1,0,0,食料,82388,31.2,79191,30.3,87960,32.6,75218,29.9,101050,34.1
2,5,1,1,0,穀類,6712,2.5,6273,2.4,7479,2.8,5914,2.4,8789,3
2,6,1,1,1,米類,1944,0.7,1819,0.7,2162,0.8,1683,0.7,2620,0.9
2,6,1,1,2,パン,2702,1,2487,1,3078,1.1,2352,0.9,3613,1.2
2,6,1,1,3,麺類,1571,0.6,1470,0.6,1744,0.6,1415,0.6,1976,0.7
2,6,1,1,4,他の穀類,497,0.2,497,0.2,495,0.2,465,0.2,579,0.2
2,5,1,2,0,魚介類,7949,3,7779,3,8241,3.1,7431,3,9307,3.1
2,6,1,2,1,生鮮魚介,4465,1.7,4330,1.7,4693,1.7,4100,1.6,5425,1.8
2,6,1,2,2,塩干魚介,1410,0.5,1396,0.5,1436,0.5,1362,0.5,1534,0.5
2,6,1,2,3,魚肉練製品,872,0.3,876,0.3,867,0.3,827,0.3,993,0.3
