項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,35歳未満／実数（円）,35歳未満／構成比（％）,35～39歳／実数（円）,35～39歳／構成比（％）,40～44歳／実数（円）,40～44歳／構成比（％）,45～49歳／実数（円）,45～49歳／構成比（％）,50～54歳／実数（円）,50～54歳／構成比（％）,55～59歳／実数（円）,55～59歳／構成比（％）,60～64歳／実数（円）,60～64歳／構成比（％）,65歳以上／実数（円）,65歳以上／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,861,-,1141,-,1526,-,1451,-,1698,-,1282,-,1281,-,761,-
0,0,0,0,0,調査世帯数,365,-,31,-,42,-,54,-,52,-,62,-,48,-,48,-,28,-
0,0,0,0,0,世帯人員,3.3,-,3.11,-,3.57,-,3.71,-,3.72,-,3.3,-,3.11,-,2.7,-,2.82,-
0,0,0,0,0,有業人員,1.71,-,1.53,-,1.6,-,1.6,-,1.69,-,1.66,-,2,-,1.9,-,1.72,-
0,0,0,0,0,世帯主平均年齢,49.4,-,30.8,-,36.9,-,42.2,-,46.9,-,51.9,-,56.9,-,61.9,-,69.6,-
1,0,0,0,0,受取,1412099,-,1139229,-,1380293,-,1627755,-,1563804,-,1469208,-,1504793,-,1297215,-,994241,-
1,1,0,0,0,実収入,701538,100,602366,100,713209,100,754505,100,801570,100,732338,100,792714,100,587726,100,465026,100
1,2,0,0,0,経常収入,675758,96.3,578377,96,685255,96.1,722793,95.8,774343,96.6,705755,96.4,772365,97.4,563727,95.9,444784,95.6
1,3,0,0,0,勤め先収入,639589,91.2,555256,92.2,665093,93.3,691869,91.7,751367,93.7,684366,93.4,753349,95,511767,87.1,299586,64.4
1,4,0,0,0,世帯主収入,523450,74.6,452699,75.2,528993,74.2,577740,76.6,627490,78.3,566327,77.3,589486,74.4,419776,71.4,251098,54
1,6,0,0,0,うち男,499359,71.2,432910,71.9,503216,70.6,558601,74,603765,75.3,528891,72.2,562897,71,402768,68.5,241773,52
1,5,0,0,0,定期収入,421611,60.1,365525,60.7,419552,58.8,458469,60.8,490723,61.2,448217,61.2,473921,59.8,360599,61.4,236881,50.9
1,5,0,0,0,臨時収入,6025,0.9,4891,0.8,9238,1.3,7191,1,6463,0.8,5730,0.8,6588,0.8,3223,0.5,2620,0.6
1,5,0,0,0,賞与,95814,13.7,82284,13.7,100203,14,112080,14.9,130304,16.3,112380,15.3,108977,13.7,55954,9.5,11597,2.5
1,4,0,0,0,世帯主の配偶者の収入,101297,14.4,96848,16.1,136022,19.1,112278,14.9,121260,15.1,111033,15.2,120991,15.3,54701,9.3,20434,4.4
1,6,0,0,0,うち女,96503,13.8,90765,15.1,113408,15.9,106963,14.2,120943,15.1,106650,14.6,120780,15.2,54701,9.3,20434,4.4
1,4,0,0,0,他の世帯員収入,14843,2.1,5709,0.9,78,0,1852,0.2,2617,0.3,7006,1,42872,5.4,37290,6.3,28053,6
1,3,0,0,0,事業・内職収入,6722,1,196,0,688,0.1,4006,0.5,4295,0.5,4973,0.7,9380,1.2,23283,4,3982,0.9
1,4,0,0,0,家賃収入,3346,0.5,-,-,-,-,-,-,-,-,959,0.1,6289,0.8,16012,2.7,3622,0.8
1,4,0,0,0,他の事業収入,1910,0.3,196,0,1,0,3979,0.5,3817,0.5,2302,0.3,1038,0.1,1138,0.2,360,0.1
1,4,0,0,0,内職収入,1467,0.2,-,-,686,0.1,27,0,478,0.1,1712,0.2,2053,0.3,6133,1,-,-
1,3,0,0,0,他の経常収入,29447,4.2,22924,3.8,19474,2.7,26918,3.6,18681,2.3,16416,2.2,9635,1.2,28677,4.9,141216,30.4
1,4,0,0,0,財産収入,1363,0.2,223,0,2,0,555,0.1,1974,0.2,747,0.1,2708,0.3,2936,0.5,2231,0.5
1,4,0,0,0,社会保障給付,26967,3.8,22701,3.8,19376,2.7,26255,3.5,15596,1.9,11037,1.5,6921,0.9,24155,4.1,138985,29.9
1,5,0,0,0,公的年金給付,16490,2.4,743,0.1,2672,0.4,5393,0.7,3070,0.4,6707,0.9,5355,0.7,18456,3.1,138360,29.8
1,5,0,0,0,他の社会保障給付,10477,1.5,21959,3.6,16705,2.3,20862,2.8,12525,1.6,4330,0.6,1566,0.2,5699,1,625,0.1
1,4,0,0,0,仕送り金,1117,0.2,-,-,96,0,108,0,1111,0.1,4633,0.6,7,0,1586,0.3,-,-
1,2,0,0,0,特別収入,25780,3.7,23990,4,27955,3.9,31712,4.2,27227,3.4,26583,3.6,20349,2.6,23999,4.1,20242,4.4
1,3,0,0,0,受贈金,1726,0.2,1794,0.3,3643,0.5,1457,0.2,3212,0.4,1529,0.2,412,0.1,1158,0.2,289,0.1
1,3,0,0,0,他の特別収入,24054,3.4,22195,3.7,24311,3.4,30254,4,24015,3,25053,3.4,19937,2.5,22841,3.9,19953,4.3
1,1,0,0,0,実収入以外の受取(繰入金を除く),555528,-,402312,-,542384,-,654713,-,607356,-,595003,-,586330,-,518408,-,443543,-
1,2,0,0,0,預貯金引出,410576,-,296988,-,416449,-,462161,-,453364,-,427207,-,446999,-,388335,-,329080,-
1,2,0,0,0,保険金,5429,-,239,-,265,-,128,-,2051,-,1793,-,3711,-,14360,-,32184,-
1,3,0,0,0,個人・企業年金保険金,4057,-,-,-,-,-,-,-,-,-,313,-,2507,-,14117,-,24832,-
1,3,0,0,0,他の保険金,1373,-,239,-,265,-,128,-,2051,-,1479,-,1204,-,243,-,7352,-
1,2,0,0,0,有価証券売却,247,-,582,-,-,-,59,-,-,-,757,-,575,-,-,-,-,-
1,2,0,0,0,土地家屋借入金,7839,-,-,-,-,-,62930,-,-,-,-,-,-,-,-,-,-,-
