区分,項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,調査世帯数,701,-,-,99,-,105,-,103,-,105,-,96,-,101,-,92,-
0,0,世帯人員,2.92,-,-,2.49,-,2.83,-,2.77,-,2.83,-,3.07,-,3.23,-,3.19,-
0,0,有業人員,1.33,-,-,0.89,-,1.17,-,1.24,-,1.31,-,1.39,-,1.66,-,1.63,-
0,0,世帯主平均年齢,59,-,-,66.3,-,64.2,-,57,-,58.1,-,55.4,-,55.3,-,57,-
0,0,消費支出,315444,100,4.5,110030,100,165559,100,208033,100,257141,100,307153,100,385485,100,772421,100
1,0,商品,167283,53,4.3,78913,71.7,113668,68.7,115981,55.8,150917,58.7,177164,57.7,207759,53.9,325692,42.2
1,1,耐久財,22221,7,29.4,1023,0.9,3113,1.9,1999,1,6063,2.4,18521,6,21835,5.7,102679,13.3
1,2,半耐久財,25664,8.1,-15.9,5313,4.8,10924,6.6,15744,7.6,21742,8.5,27902,9.1,35047,9.1,62770,8.1
1,3,非耐久財,119398,37.9,5.9,72577,66,99631,60.2,98238,47.2,123112,47.9,130741,42.6,150877,39.1,160244,20.7
1,0,サービス,148161,47,4.8,31117,28.3,51891,31.3,92052,44.2,106224,41.3,129989,42.3,177726,46.1,446728,57.8
2,0,食料,96464,30.6,2.9,54657,49.7,74658,45.1,80265,38.6,94635,36.8,101408,33,124524,32.3,144727,18.7
2,3,非耐久財,76934,24.4,6.7,49189,44.7,65534,39.6,65328,31.4,80501,31.3,83045,27,93934,24.4,100798,13
2,4,サービス,19530,6.2,-9.9,5468,5,9123,5.5,14937,7.2,14134,5.5,18364,6,30589,7.9,43930,5.7
2,0,住居,34630,11,-2.2,4809,4.4,5450,3.3,23670,11.4,20614,8,19034,6.2,25807,6.7,142629,18.5
2,1,耐久財,2837,0.9,-55.6,-,-,109,0.1,-,-,412,0.2,33,0,3996,1,15248,2
