項目,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,調査世帯数,689,-,-,96,-,101,-,100,-,101,-,99,-,98,-,94,-
0,世帯人員,2.94,-,-,2.58,-,2.72,-,2.84,-,2.95,-,3.08,-,3.15,-,3.26,-
0,有業人員,1.32,-,-,1.09,-,1.12,-,1.27,-,1.33,-,1.41,-,1.49,-,1.54,-
0,世帯主平均年齢,59.4,-,-,64.1,-,64.1,-,60.3,-,57.6,-,57.1,-,56.3,-,56.2,-
0,消費支出,319428,100,-2.2,103003,100,166342,100,212112,100,259532,100,319205,100,407807,100,769707,100
2,基礎的支出,183375,57.4,-,79276,77,118232,71.1,143404,67.6,164840,63.5,191691,60.1,227838,55.9,358895,46.6
3,選択的支出,136052,42.6,-,23727,23,48110,28.9,68708,32.4,94692,36.5,127514,39.9,179969,44.1,410812,53.4
1,食料,94072,29.5,1.1,52457,50.9,71140,42.8,81128,38.2,88967,34.3,103228,32.3,119368,29.3,142412,18.5
2,基礎的支出,75602,23.7,-,46289,44.9,61649,37.1,68213,32.2,73660,28.4,83389,26.1,92478,22.7,103452,13.4
3,選択的支出,18470,5.8,-,6168,6,9491,5.7,12914,6.1,15307,5.9,19839,6.2,26890,6.6,38959,5.1
1,住居,27642,8.7,17.1,2267,2.2,5650,3.4,13605,6.4,19798,7.6,24305,7.6,33830,8.3,94259,12.2
2,基礎的支出,25586,8,16,2078,2,5103,3.1,12894,6.1,18069,7,21657,6.8,30911,7.6,88593,11.5
3,選択的支出,2056,0.6,31.7,189,0.2,547,0.3,711,0.3,1729,0.7,2648,0.8,2920,0.7,5666,0.7
1,光熱・水道,21509,6.7,1.1,13370,13,19562,11.8,21319,10.1,21404,8.2,23068,7.2,25089,6.2,26680,3.5
2,基礎的支出,21509,6.7,1.1,13370,13,19562,11.8,21319,10.1,21404,8.2,23068,7.2,25089,6.2,26680,3.5
3,選択的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,家具・家事用品,13813,4.3,10.8,3896,3.8,6161,3.7,8134,3.8,10710,4.1,13951,4.4,17964,4.4,35913,4.7
2,基礎的支出,9536,3,14.4,3296,3.2,5103,3.1,6437,3,8171,3.1,10302,3.2,12529,3.1,20895,2.7
3,選択的支出,4277,1.3,3.4,600,0.6,1059,0.6,1697,0.8,2538,1,3649,1.1,5435,1.3,15018,2
1,被服及び履物,11753,3.7,-19.6,2335,2.3,4273,2.6,6911,3.3,9512,3.7,12607,3.9,16272,4,30490,4
2,基礎的支出,790,0.2,-10.7,278,0.3,477,0.3,730,0.3,709,0.3,866,0.3,1006,0.2,1469,0.2
3,選択的支出,10963,3.4,-20.2,2058,2,3797,2.3,6181,2.9,8803,3.4,11741,3.7,15266,3.7,29022,3.8
1,保健医療,17819,5.6,6.2,4938,4.8,8678,5.2,11391,5.4,14179,5.5,17618,5.5,23983,5.9,44185,5.7
2,基礎的支出,15546,4.9,8.9,4666,4.5,7964,4.8,9967,4.7,12474,4.8,15152,4.7,20665,5.1,38133,5
3,選択的支出,2273,0.7,-9,272,0.3,714,0.4,1424,0.7,1705,0.7,2466,0.8,3318,0.8,6052,0.8
1,交通・通信,34253,10.7,-6.7,6877,6.7,14645,8.8,19184,9,25270,9.7,34422,10.8,43522,10.7,95930,12.5
2,基礎的支出,7314,2.3,-,1397,1.4,3636,2.2,4990,2.4,6288,2.4,8765,2.7,11074,2.7,15106,2
3,選択的支出,26939,8.4,-,5479,5.3,11008,6.6,14194,6.7,18982,7.3,25657,8,32448,8,80824,10.5
1,教育,19169,6,-0.6,296,0.3,1428,0.9,3172,1.5,4426,1.7,9368,2.9,17547,4.3,98103,12.7
2,基礎的支出,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
3,選択的支出,19169,6,-0.6,296,0.3,1428,0.9,3172,1.5,4426,1.7,9368,2.9,17547,4.3,98103,12.7
1,教養娯楽,32286,10.1,-17.1,7745,7.5,14299,8.6,18203,8.6,24919,9.6,31374,9.8,45370,11.1,84403,11
2,基礎的支出,7055,2.2,0.7,3311,3.2,5662,3.4,6018,2.8,6622,2.6,7041,2.2,8533,2.1,12204,1.6
3,選択的支出,25232,7.9,-21,4434,4.3,8637,5.2,12185,5.7,18297,7,24332,7.6,36838,9,72199,9.4
1,その他の消費支出,47111,14.7,-5.5,8822,8.6,20506,12.3,29065,13.7,40349,15.5,49265,15.4,64861,15.9,117330,15.2
2,基礎的支出,20439,6.4,-7,4591,4.5,9077,5.5,12835,6.1,17442,6.7,21451,6.7,25553,6.3,52362,6.8
3,選択的支出,26672,8.3,-4.3,4231,4.1,11429,6.9,16230,7.7,22906,8.8,27814,8.7,39308,9.6,64968,8.4
,,,,,,,,,,,,,,,,,,
東京都生計分析調査　令和 2年,,,,,,,,,,,,,,,,,,
第１１表　生計支出７分位階層別１世帯当たり年平均１か月間の基礎的・選択的支出　―　全　世　帯　―,,,,,,,,,,,,,,,,,,
項目（0：世帯数等　1：品目　2：基礎的支出　3：選択的支出）,,,,,,,,,,,,,,,,,,
