項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年増加率（％）,都平均／持家／実数（円）,都平均／持家／構成比（％）,300万円未満／実数（円）,300万円未満／構成比（％）,300万円未満／持家／実数（円）,300万円未満／持家／構成比（％）,300万円以上／実数（円）,300万円以上／構成比（％）,300万円以上／持家／実数（円）,300万円以上／持家／構成比（％）,（再掲）持家以外／実数（円）,（再掲）持家以外／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,-,9242,-,2594,-,2270,-,7406,-,6972,-,758,-
0,0,0,0,0,調査世帯数,222,-,-,205,-,54,-,47,-,168,-,158,-,17,-
0,0,0,0,0,世帯人員,2.38,-,-,2.39,-,2.27,-,2.29,-,2.42,-,2.42,-,2.29,-
0,0,0,0,0,有業人員,0.46,-,-,0.47,-,0.34,-,0.37,-,0.5,-,0.49,-,0.35,-
0,0,0,0,0,世帯主平均年齢,75.1,-,-,75.4,-,76.4,-,76.9,-,74.6,-,74.9,-,71.5,-
1,0,0,0,0,受取,734504,-,11.3,735142,-,436888,-,453583,-,840139,-,828096,-,708243,-
1,1,0,0,0,実収入,260776,100,16.8,265074,100,161726,100,168459,100,295485,100,296881,100,202950,100
1,2,0,0,0,経常収入,234119,89.8,7.7,238329,89.9,149836,92.6,156525,92.9,264238,89.4,265884,89.6,179587,88.5
1,3,0,0,0,勤め先収入,26369,10.1,2.4,26850,10.1,5756,3.6,6446,3.8,33864,11.5,33887,11.4,20118,9.9
1,4,0,0,0,世帯主収入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,6,0,0,0,うち男,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,5,0,0,0,定期収入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,5,0,0,0,臨時収入,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,5,0,0,0,賞与,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,4,0,0,0,世帯主の配偶者の収入,6890,2.6,-11.4,6816,2.6,841,0.5,893,0.5,9202,3.1,8952,3,7382,3.6
1,6,0,0,0,うち女,6890,2.6,-11.4,6816,2.6,841,0.5,893,0.5,9202,3.1,8952,3,7382,3.6
1,4,0,0,0,他の世帯員収入,19479,7.5,8.4,20034,7.6,4915,3,5553,3.3,24662,8.3,24935,8.4,12736,6.3
1,3,0,0,0,事業・内職収入,12544,4.8,112.5,11684,4.4,4207,2.6,4996,3,15662,5.3,14117,4.8,22005,10.8
1,4,0,0,0,家賃収入,6420,2.5,98.2,5634,2.1,1502,0.9,1734,1,8161,2.8,6904,2.3,15385,7.6
1,4,0,0,0,他の事業収入,1524,0.6,266.3,1159,0.4,-,-,-,-,2023,0.7,1481,0.5,5541,2.7
1,4,0,0,0,内職収入,4600,1.8,104.6,4891,1.8,2704,1.7,3262,1.9,5478,1.9,5731,1.9,1079,0.5
1,3,0,0,0,他の経常収入,195206,74.9,5.1,199795,75.4,139873,86.5,145083,86.1,214711,72.7,217880,73.4,137464,67.7
1,4,0,0,0,財産収入,5225,2,38.5,5591,2.1,405,0.3,466,0.3,6891,2.3,7266,2.4,610,0.3
1,4,0,0,0,社会保障給付,189701,72.7,5,194033,73.2,139065,86,144162,85.6,207586,70.3,210536,70.9,135055,66.5
1,5,0,0,0,公的年金給付,186167,71.4,4.8,190911,72,138363,85.6,144105,85.5,203076,68.7,206375,69.5,126614,62.4
1,5,0,0,0,他の社会保障給付,3534,1.4,13.7,3122,1.2,701,0.4,57,0,4510,1.5,4162,1.4,8441,4.2
1,4,0,0,0,仕送り金,280,0.1,-77.6,171,0.1,403,0.2,455,0.3,235,0.1,78,0,1799,0.9
1,2,0,0,0,特別収入,26657,10.2,353.9,26745,10.1,11890,7.4,11934,7.1,31247,10.6,30997,10.4,23364,11.5
1,3,0,0,0,受贈金,925,0.4,-29.9,961,0.4,711,0.4,756,0.4,1070,0.4,1111,0.4,367,0.2
1,3,0,0,0,他の特別収入,25732,9.9,465,25784,9.7,11180,6.9,11177,6.6,30177,10.2,29887,10.1,22997,11.3
1,1,0,0,0,実収入以外の受取(繰入金を除く),370144,-,6,379749,-,212897,-,220487,-,425610,-,432310,-,251860,-
1,2,0,0,0,預貯金引出,273680,-,7.1,279433,-,172851,-,178111,-,309014,-,312502,-,202007,-
1,2,0,0,0,保険金,29738,-,2.5,31219,-,5427,-,5649,-,38597,-,40009,-,11746,-
1,3,0,0,0,個人・企業年金保険金,27898,-,5.2,29296,-,5199,-,5401,-,36227,-,37560,-,10919,-
1,3,0,0,0,他の保険金,1841,-,-26.6,1923,-,228,-,248,-,2370,-,2449,-,827,-
1,2,0,0,0,有価証券売却,123,-,73.2,135,-,-,-,-,-,166,-,182,-,-,-
1,2,0,0,0,土地家屋借入金,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,2,0,0,0,他の借入金,442,-,140.2,482,-,1047,-,1166,-,169,-,176,-,-,-
1,2,0,0,0,クレジット購入借入金,62903,-,12.4,64948,-,33239,-,35154,-,73384,-,74786,-,38104,-
1,2,0,0,0,土地家屋売却,2597,-,-67.2,2818,-,-,-,-,-,3528,-,3857,-,-,-
1,2,0,0,0,実収入以外の受取のその他,660,-,-0.5,714,-,333,-,406,-,754,-,800,-,3,-
1,1,0,0,0,繰入金,103584,-,18.7,90318,-,62265,-,64637,-,119044,-,98905,-,253432,-
2,0,0,0,0,支払,734504,-,11.3,735142,-,436888,-,453583,-,840139,-,828096,-,708243,-
2,1,0,0,0,実支出,300778,-,-1.2,305086,-,198083,-,204307,-,336752,-,337904,-,246773,-
2,2,0,0,0,生計支出,263689,-,-2,266919,-,179680,-,184283,-,293150,-,293807,-,224093,-
2,3,0,0,0,消費支出,263689,100,-2,266919,100,179680,100,184283,100,293150,100,293807,100,224093,100
2,4,1,0,0,食料,82388,31.2,4.9,83979,31.5,65700,36.6,68159,37,88034,30,88963,30.3,63125,28.2
2,5,1,1,0,穀類,6712,2.5,4.9,6852,2.6,5970,3.3,6110,3.3,6935,2.4,7050,2.4,5008,2.2
2,6,1,1,1,米類,1944,0.7,7.9,1965,0.7,1717,1,1693,0.9,2014,0.7,2040,0.7,1692,0.8
2,6,1,1,2,パン,2702,1,-5.8,2784,1,2409,1.3,2523,1.4,2787,1,2850,1,1688,0.8
2,6,1,1,3,麺類,1571,0.6,20.7,1595,0.6,1432,0.8,1479,0.8,1611,0.5,1624,0.6,1275,0.6
2,6,1,1,4,他の穀類,497,0.2,16.9,508,0.2,412,0.2,417,0.2,523,0.2,536,0.2,354,0.2
