年次・月次コード,年次・月次,都平均,第1階層,第2階層,第3階層,第4階層,第5階層,第6階層,第7階層
nen,平成25年平均,30,30.2,33,34,29.5,28.6,29.8,27.2
nen,平成26年平均,28.7,29,27.3,29.7,29,29.8,32,24.8
nen,平成27年平均,29.6,30,33.2,32,32.2,29,28.3,26.1
nen,平成28年平均,29.9,27.8,29.9,33.8,30.2,30.7,31.9,26.5
nen,平成29年平均,28.7,28.9,27.9,27.8,27.7,31.4,29.4,27.8
nen,平成30年平均,30.1,25.6,32.7,33.4,30.9,30.7,30.5,27.3
nen,平成31年・令和元年平均,29.2,27,29.3,32.8,32.4,31.6,26.5,26.6
tuki,令和元年 7月,24.3,20.4,28.8,30.6,26.7,22.2,22.3,23
tuki,令和元年 8月,26.4,27.8,30.2,28.9,26.3,26.9,26.9,20.9
tuki,令和元年 9月,31.1,30.8,34.6,36.4,32,30.5,25.7,30.7
tuki,令和元年10月,31.4,34.7,23.6,34,32.7,33,21.5,37.4
tuki,令和元年11月,24.6,16.1,31,31.3,25,31.3,17.1,25
tuki,令和元年12月,26.1,23.2,28.6,29.6,25.3,24.7,29.6,23.3
tuki,令和 2年 1月,28.4,29.3,28.6,28.3,29.1,28.4,26.7,28.8
tuki,令和 2年 2月,29.9,35.5,30.5,34.1,28.2,27.6,26.9,29.2
tuki,令和 2年 3月,31.1,29.8,33.4,30.7,29.8,34.4,34.1,25.8
tuki,令和 2年 4月,39.8,34.4,39.8,30.2,46.7,39.9,42.8,41.5
tuki,令和 2年 5月,31,35.2,32.5,33.4,27.2,28.6,30,32
tuki,令和 2年 6月,27.7,26.1,25.1,31,31,25.9,26,28.8
tuki,令和 2年 7月,27.2,25.8,26.2,34.9,27,25.6,27.4,23.6
,,,,,,,,,
東京都生計分析調査　令和 2年 7月,,,,,,,,,
主　　要　　指　　標　　　５　　―　勤労者世帯，勤め先収入７分位階層別　―,,,,,,,,,
公共的料金負担率　　　〔＝（公共的料金÷消費支出） ×１００〕,,,,,,,,,
