項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,2人／実数（円）,2人／構成比（％）,3人／実数（円）,3人／構成比（％）,4人／実数（円）,4人／構成比（％）,5人以上／実数（円）,5人以上／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,4448,-,2641,-,2177,-,733,-
0,0,0,0,0,調査世帯数,689,-,307,-,181,-,150,-,52,-
0,0,0,0,0,世帯人員,2.94,-,2,-,3,-,4,-,5.28,-
0,0,0,0,0,有業人員,1.32,-,0.84,-,1.54,-,1.82,-,1.96,-
0,0,0,0,0,世帯主平均年齢,59.4,-,68.3,-,56,-,48.3,-,50.8,-
2,2,0,0,0,生計支出,331138,-,282243,-,337739,-,396257,-,416613,-
2,3,0,0,0,消費支出,319428,100,282243,100,326773,100,355023,100,416613,100
2,4,1,0,0,食料,90238,28.2,79258,28.1,91695,28.1,101576,28.6,118678,28.5
2,5,1,1,0,穀類,7116,2.2,5729,2,7187,2.2,8933,2.5,9903,2.4
2,6,1,1,1,米類,1941,0.6,1539,0.5,1823,0.6,2505,0.7,3132,0.8
2,6,1,1,2,パン,2918,0.9,2409,0.9,3092,0.9,3554,1,3492,0.8
2,6,1,1,3,麺類,1692,0.5,1342,0.5,1712,0.5,2142,0.6,2425,0.6
2,6,1,1,4,他の穀類,565,0.2,439,0.2,560,0.2,733,0.2,854,0.2
2,5,1,2,0,魚介類,6797,2.1,6718,2.4,6732,2.1,6487,1.8,8522,2
2,6,1,2,1,生鮮魚介,3992,1.2,3857,1.4,3948,1.2,3912,1.1,5303,1.3
2,6,1,2,2,塩干魚介,1157,0.4,1155,0.4,1146,0.4,1094,0.3,1391,0.3
2,6,1,2,3,魚肉練製品,649,0.2,676,0.2,657,0.2,571,0.2,697,0.2
2,6,1,2,4,他の魚介加工品,998,0.3,1030,0.4,981,0.3,911,0.3,1132,0.3
2,5,1,3,0,肉類,9050,2.8,6716,2.4,9261,2.8,11496,3.2,15357,3.7
2,6,1,3,1,生鮮肉,7443,2.3,5460,1.9,7623,2.3,9495,2.7,12885,3.1
2,6,1,3,2,加工肉,1607,0.5,1256,0.4,1637,0.5,2001,0.6,2472,0.6
2,5,1,4,0,乳卵類,4805,1.5,4125,1.5,4895,1.5,5537,1.6,6515,1.6
2,6,1,4,1,牛乳,1468,0.5,1250,0.4,1516,0.5,1634,0.5,2150,0.5
2,6,1,4,2,乳製品,2461,0.8,2132,0.8,2515,0.8,2858,0.8,3133,0.8
2,6,1,4,3,卵,876,0.3,743,0.3,863,0.3,1045,0.3,1232,0.3
2,5,1,5,0,野菜・海藻,11355,3.6,10927,3.9,11253,3.4,11701,3.3,13395,3.2
2,6,1,5,1,生鮮野菜,7959,2.5,7565,2.7,7919,2.4,8350,2.4,9428,2.3
2,6,1,5,2,乾物・海藻,869,0.3,839,0.3,815,0.2,900,0.3,1159,0.3
2,6,1,5,3,大豆加工品,1237,0.4,1174,0.4,1276,0.4,1262,0.4,1415,0.3
2,6,1,5,4,他の野菜・海藻加工品,1290,0.4,1350,0.5,1244,0.4,1190,0.3,1392,0.3
2,5,1,6,0,果物,3815,1.2,4140,1.5,3697,1.1,3312,0.9,3840,0.9
2,6,1,6,1,生鮮果物,3372,1.1,3681,1.3,3249,1,2908,0.8,3385,0.8
2,6,1,6,2,果物加工品,443,0.1,459,0.2,448,0.1,405,0.1,455,0.1
2,5,1,7,0,油脂・調味料,4380,1.4,3770,1.3,4557,1.4,4948,1.4,5783,1.4
2,6,1,7,1,油脂,473,0.1,433,0.2,483,0.1,495,0.1,612,0.1
2,6,1,7,2,調味料,3907,1.2,3337,1.2,4074,1.2,4453,1.3,5171,1.2
2,5,1,8,0,菓子類,6937,2.2,5569,2,6952,2.1,8831,2.5,9643,2.3
2,5,1,9,0,調理食品,12826,4,11448,4.1,13745,4.2,13745,3.9,15361,3.7
2,6,1,9,1,主食的調理食品,5579,1.7,5022,1.8,5858,1.8,6134,1.7,6428,1.5
2,6,1,9,2,他の調理食品,7247,2.3,6426,2.3,7887,2.4,7611,2.1,8933,2.1
2,5,1,10,0,飲料,5402,1.7,4690,1.7,5755,1.8,6022,1.7,6621,1.6
2,6,1,10,1,茶類,1245,0.4,1155,0.4,1384,0.4,1220,0.3,1356,0.3
2,6,1,10,2,コーヒー・ココア,1107,0.3,1003,0.4,1171,0.4,1192,0.3,1260,0.3
2,6,1,10,3,他の飲料,3050,1,2532,0.9,3200,1,3609,1,4006,1
2,5,1,11,0,酒類,4232,1.3,4581,1.6,3938,1.2,3925,1.1,4055,1
2,5,1,12,0,外食,13522,4.2,10845,3.8,13723,4.2,16638,4.7,19685,4.7
2,6,1,12,1,一般外食,12867,4,10845,3.8,13273,4.1,15063,4.2,17129,4.1
2,6,1,12,2,学校給食,655,0.2,-,-,450,0.1,1576,0.4,2556,0.6
2,4,2,0,0,住居,27590,8.6,29866,10.6,30491,9.3,20687,5.8,22967,5.5
2,5,2,1,0,家賃地代,16273,5.1,14554,5.2,19958,6.1,14410,4.1,17735,4.3
2,5,2,2,0,設備修繕・維持,11317,3.5,15312,5.4,10533,3.2,6277,1.8,5232,1.3
2,6,2,2,1,設備材料,4308,1.3,5763,2,4109,1.3,2158,0.6,3284,0.8
