項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年増加率（％）,65歳未満／実数（円）,65歳未満／構成比（％）,65歳以上／実数（円）,65歳以上／構成比（％）,（再掲）75歳以上／実数（円）,（再掲）75歳以上／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,-,807,-,9193,-,5284,-
0,0,0,0,0,調査世帯数,222,-,-,17,-,205,-,117,-
0,0,0,0,0,世帯人員,2.38,-,-,2.75,-,2.35,-,2.27,-
0,0,0,0,0,有業人員,0.46,-,-,0.56,-,0.45,-,0.34,-
0,0,0,0,0,世帯主平均年齢,75.1,-,-,58,-,76.6,-,81.5,-
1,0,0,0,0,受取,734504,-,11.3,1102010,-,702782,-,661366,-
1,1,0,0,0,実収入,260776,100,16.8,306420,100,257303,100,241917,100
1,2,0,0,0,経常収入,234119,89.8,7.7,178787,58.3,238884,92.8,225833,93.4
1,3,0,0,0,勤め先収入,26369,10.1,2.4,37258,12.2,25186,9.8,19239,8
1,4,0,0,0,世帯主収入,-,-,-,-,-,-,-,-,-
1,6,0,0,0,うち男,-,-,-,-,-,-,-,-,-
1,5,0,0,0,定期収入,-,-,-,-,-,-,-,-,-
1,5,0,0,0,臨時収入,-,-,-,-,-,-,-,-,-
1,5,0,0,0,賞与,-,-,-,-,-,-,-,-,-
1,4,0,0,0,世帯主の配偶者の収入,6890,2.6,-11.4,19143,6.2,5715,2.2,1523,0.6
1,6,0,0,0,うち女,6890,2.6,-11.4,19143,6.2,5715,2.2,1523,0.6
1,4,0,0,0,他の世帯員収入,19479,7.5,8.4,18115,5.9,19471,7.6,17716,7.3
1,3,0,0,0,事業・内職収入,12544,4.8,112.5,11384,3.7,12646,4.9,11094,4.6
1,4,0,0,0,家賃収入,6420,2.5,98.2,3069,1,6709,2.6,6930,2.9
1,4,0,0,0,他の事業収入,1524,0.6,266.3,-,-,1650,0.6,2802,1.2
1,4,0,0,0,内職収入,4600,1.8,104.6,8315,2.7,4287,1.7,1361,0.6
1,3,0,0,0,他の経常収入,195206,74.9,5.1,130145,42.5,201053,78.1,195501,80.8
1,4,0,0,0,財産収入,5225,2,38.5,6734,2.2,5082,2,4571,1.9
1,4,0,0,0,社会保障給付,189701,72.7,5,123411,40.3,195666,76,190575,78.8
1,5,0,0,0,公的年金給付,186167,71.4,4.8,102722,33.5,193667,75.3,188605,78
1,5,0,0,0,他の社会保障給付,3534,1.4,13.7,20690,6.8,1999,0.8,1971,0.8
1,4,0,0,0,仕送り金,280,0.1,-77.6,-,-,304,0.1,354,0.1
1,2,0,0,0,特別収入,26657,10.2,353.9,127633,41.7,18419,7.2,16085,6.6
1,3,0,0,0,受贈金,925,0.4,-29.9,4357,1.4,626,0.2,490,0.2
1,3,0,0,0,他の特別収入,25732,9.9,465,123276,40.2,17793,6.9,15595,6.4
1,1,0,0,0,実収入以外の受取(繰入金を除く),370144,-,6,482696,-,360542,-,332673,-
1,2,0,0,0,預貯金引出,273680,-,7.1,344610,-,267516,-,252433,-
1,2,0,0,0,保険金,29738,-,2.5,29128,-,29790,-,25831,-
1,3,0,0,0,個人・企業年金保険金,27898,-,5.2,29128,-,27797,-,22545,-
1,3,0,0,0,他の保険金,1841,-,-26.6,-,-,1993,-,3286,-
1,2,0,0,0,有価証券売却,123,-,73.2,-,-,134,-,-,-
1,2,0,0,0,土地家屋借入金,-,-,-,-,-,-,-,-,-
1,2,0,0,0,他の借入金,442,-,140.2,-,-,482,-,855,-
1,2,0,0,0,クレジット購入借入金,62903,-,12.4,104565,-,59391,-,47887,-
1,2,0,0,0,土地家屋売却,2597,-,-67.2,-,-,2857,-,5260,-
1,2,0,0,0,実収入以外の受取のその他,660,-,-0.5,4394,-,372,-,406,-
1,1,0,0,0,繰入金,103584,-,18.7,312894,-,84937,-,86776,-
2,0,0,0,0,支払,734504,-,11.3,1102010,-,702782,-,661366,-
2,1,0,0,0,実支出,300778,-,-1.2,362343,-,295369,-,276736,-
2,2,0,0,0,生計支出,263689,-,-2,318262,-,258904,-,245465,-
2,3,0,0,0,消費支出,263689,100,-2,318262,100,258904,100,245465,100
2,4,1,0,0,食料,82388,31.2,4.9,82931,26.1,82369,31.8,75671,30.8
2,5,1,1,0,穀類,6712,2.5,4.9,6674,2.1,6712,2.6,5896,2.4
2,6,1,1,1,米類,1944,0.7,7.9,1807,0.6,1954,0.8,1805,0.7
2,6,1,1,2,パン,2702,1,-5.8,2838,0.9,2688,1,2324,0.9
2,6,1,1,3,麺類,1571,0.6,20.7,1596,0.5,1568,0.6,1331,0.5
2,6,1,1,4,他の穀類,497,0.2,16.9,434,0.1,502,0.2,435,0.2
2,5,1,2,0,魚介類,7949,3,9.9,5027,1.6,8209,3.2,7873,3.2
2,6,1,2,1,生鮮魚介,4465,1.7,9.6,2700,0.8,4620,1.8,4413,1.8
2,6,1,2,2,塩干魚介,1410,0.5,9.6,862,0.3,1458,0.6,1476,0.6
2,6,1,2,3,魚肉練製品,872,0.3,13.2,583,0.2,899,0.3,886,0.4
2,6,1,2,4,他の魚介加工品,1202,0.5,8.9,883,0.3,1231,0.5,1098,0.4
2,5,1,3,0,肉類,7540,2.9,17.6,7238,2.3,7562,2.9,6594,2.7
2,6,1,3,1,生鮮肉,6105,2.3,19.3,5821,1.8,6127,2.4,5363,2.2
2,6,1,3,2,加工肉,1434,0.5,11,1417,0.4,1436,0.6,1231,0.5
2,5,1,4,0,乳卵類,4959,1.9,22,5759,1.8,4894,1.9,4731,1.9
2,6,1,4,1,牛乳,1573,0.6,15,1265,0.4,1601,0.6,1680,0.7
2,6,1,4,2,乳製品,2505,0.9,28.2,3671,1.2,2406,0.9,2209,0.9
2,6,1,4,3,卵,881,0.3,18.6,823,0.3,887,0.3,842,0.3
2,5,1,5,0,野菜・海藻,12612,4.8,15,9547,3,12880,5,12423,5.1
2,6,1,5,1,生鮮野菜,8593,3.3,15.5,6294,2,8792,3.4,8557,3.5
2,6,1,5,2,乾物・海藻,983,0.4,11.1,736,0.2,1006,0.4,935,0.4
2,6,1,5,3,大豆加工品,1437,0.5,19.1,1082,0.3,1467,0.6,1375,0.6
2,6,1,5,4,他の野菜・海藻加工品,1600,0.6,11.9,1434,0.5,1615,0.6,1556,0.6
2,5,1,6,0,果物,5021,1.9,22.3,4939,1.6,5033,1.9,5091,2.1
2,6,1,6,1,生鮮果物,4465,1.7,21.1,4177,1.3,4493,1.7,4565,1.9
2,6,1,6,2,果物加工品,556,0.2,33.3,761,0.2,540,0.2,526,0.2
2,5,1,7,0,油脂・調味料,4223,1.6,19.8,3880,1.2,4251,1.6,3950,1.6
2,6,1,7,1,油脂,488,0.2,29.4,368,0.1,498,0.2,454,0.2
2,6,1,7,2,調味料,3735,1.4,18.6,3512,1.1,3753,1.4,3496,1.4
2,5,1,8,0,菓子類,5989,2.3,5.7,6742,2.1,5931,2.3,5451,2.2
2,5,1,9,0,調理食品,12597,4.8,5.8,15494,4.9,12360,4.8,11405,4.6
2,6,1,9,1,主食的調理食品,5400,2,6.1,8485,2.7,5139,2,4774,1.9
2,6,1,9,2,他の調理食品,7197,2.7,5.6,7009,2.2,7222,2.8,6630,2.7
2,5,1,10,0,飲料,4907,1.9,13.2,8058,2.5,4640,1.8,4193,1.7
2,6,1,10,1,茶類,1364,0.5,7.2,1363,0.4,1365,0.5,1345,0.5
2,6,1,10,2,コーヒー・ココア,923,0.4,10.7,1191,0.4,900,0.3,788,0.3
2,6,1,10,3,他の飲料,2619,1,17.5,5504,1.7,2375,0.9,2060,0.8
2,5,1,11,0,酒類,3633,1.4,21,2016,0.6,3769,1.5,2559,1
2,5,1,12,0,外食,6247,2.4,-42.7,7556,2.4,6128,2.4,5506,2.2
2,6,1,12,1,一般外食,6225,2.4,-42.8,7362,2.3,6122,2.4,5499,2.2
2,6,1,12,2,学校給食,22,0,37.5,194,0.1,7,0,7,0
2,4,2,0,0,住居,22975,8.7,21.9,39906,12.5,21288,8.2,23614,9.6
2,5,2,1,0,家賃地代,5244,2,-13.5,17635,5.5,4125,1.6,3942,1.6
2,5,2,2,0,設備修繕・維持,17731,6.7,38.7,22272,7,17163,6.6,19672,8
2,6,2,2,1,設備材料,6498,2.5,50.9,18046,5.7,5321,2.1,6445,2.6
2,6,2,2,2,工事その他のサービス,11233,4.3,32.4,4225,1.3,11841,4.6,13227,5.4
2,4,3,0,0,光熱・水道,22219,8.4,8,22564,7.1,22198,8.6,21714,8.8
2,5,3,1,0,電気代,10684,4.1,8,10876,3.4,10668,4.1,10305,4.2
2,5,3,2,0,ガス代,6018,2.3,6.4,6135,1.9,6014,2.3,6125,2.5
2,5,3,3,0,他の光熱,438,0.2,-11.3,480,0.2,434,0.2,367,0.1
2,5,3,4,0,上下水道料,5079,1.9,12.1,5073,1.6,5082,2,4918,2
2,4,4,0,0,家具・家事用品,11414,4.3,2.2,11119,3.5,11433,4.4,9599,3.9
2,5,4,1,0,家庭用耐久財,4094,1.6,-10.2,3630,1.1,4133,1.6,3528,1.4
2,6,4,1,1,家事用耐久財,2573,1,-1.3,2635,0.8,2565,1,2336,1
2,6,4,1,2,冷暖房用器具,1305,0.5,-21.2,758,0.2,1356,0.5,1006,0.4
2,6,4,1,3,一般家具,216,0.1,-27,238,0.1,212,0.1,187,0.1
2,5,4,2,0,室内装備・装飾品,517,0.2,-6.2,361,0.1,531,0.2,472,0.2
2,5,4,3,0,寝具類,796,0.3,12.4,933,0.3,779,0.3,416,0.2
2,5,4,4,0,家事雑貨,1983,0.8,11.9,1811,0.6,1995,0.8,1662,0.7
2,5,4,5,0,家事用消耗品,3163,1.2,18.8,3587,1.1,3128,1.2,2619,1.1
2,5,4,6,0,家事サービス,862,0.3,-6.1,797,0.3,866,0.3,903,0.4
2,4,5,0,0,被服及び履物,6156,2.3,-30.8,13524,4.2,5537,2.1,4645,1.9
2,5,5,1,0,和服,11,0,-96.7,7,0,11,0,6,0
2,5,5,2,0,洋服,2226,0.8,-23.3,8623,2.7,1684,0.7,1279,0.5
2,6,5,2,1,男子用洋服,961,0.4,35.4,6363,2,497,0.2,325,0.1
2,6,5,2,2,婦人用洋服,1219,0.5,-44.1,1806,0.6,1176,0.5,952,0.4
2,6,5,2,3,子供用洋服,47,0,422.2,455,0.1,11,0,1,0
2,5,5,3,0,シャツ・セーター類,1173,0.4,-45.1,1175,0.4,1174,0.5,992,0.4
2,6,5,3,1,男子用シャツ・セーター類,349,0.1,-39.4,407,0.1,344,0.1,246,0.1
2,6,5,3,2,婦人用シャツ・セーター類,818,0.3,-47.4,722,0.2,827,0.3,745,0.3
2,6,5,3,3,子供用シャツ・セーター類,6,0,20,46,0,3,0,0,0
2,5,5,4,0,下着類,883,0.3,4.1,1002,0.3,871,0.3,817,0.3
2,6,5,4,1,男子用下着類,330,0.1,-5.2,277,0.1,335,0.1,338,0.1
2,6,5,4,2,婦人用下着類,547,0.2,10.1,664,0.2,535,0.2,477,0.2
2,6,5,4,3,子供用下着類,6,0,100,62,0,1,0,1,0
2,5,5,5,0,生地・糸類,141,0.1,-15.1,160,0.1,140,0.1,101,0
2,5,5,6,0,他の被服,546,0.2,-28.2,689,0.2,534,0.2,440,0.2
2,5,5,7,0,履物類,772,0.3,-25.2,1480,0.5,716,0.3,699,0.3
2,5,5,8,0,被服関連サービス,404,0.2,-44.1,387,0.1,406,0.2,312,0.1
2,4,6,0,0,保健医療,20467,7.8,15.2,23155,7.3,20230,7.8,19150,7.8
2,5,6,1,0,医薬品,3566,1.4,4.9,3631,1.1,3566,1.4,3320,1.4
2,5,6,2,0,健康保持用摂取品,1741,0.7,3.4,835,0.3,1821,0.7,1822,0.7
2,5,6,3,0,保健医療用品・器具,2680,1,10.2,4191,1.3,2556,1,2263,0.9
2,5,6,4,0,保健医療サービス,12480,4.7,21.8,14498,4.6,12288,4.7,11745,4.8
2,4,7,0,0,交通・通信,25486,9.7,1.5,30200,9.5,25087,9.7,23663,9.6
2,5,7,1,0,交通,2619,1,-53.7,4585,1.4,2450,0.9,2064,0.8
2,5,7,2,0,自動車等関係費,12464,4.7,23.7,9500,3,12717,4.9,13366,5.4
2,6,7,2,1,自動車等購入,4209,1.6,97.7,1098,0.3,4506,1.7,7315,3
2,6,7,2,2,自転車購入,252,0.1,-14.9,195,0.1,255,0.1,228,0.1
2,6,7,2,3,自動車等維持,8004,3,4.6,8208,2.6,7957,3.1,5822,2.4
2,5,7,3,0,通信,10403,3.9,11.1,16115,5.1,9919,3.8,8234,3.4
2,4,8,0,0,教育,1684,0.6,-20.5,13216,4.2,657,0.3,1017,0.4
2,5,8,1,0,授業料等,1532,0.6,-9.8,11674,3.7,627,0.2,972,0.4
2,5,8,2,0,教科書・学習参考教材,29,0,163.6,202,0.1,16,0,20,0
2,5,8,3,0,補習教育,123,0,-69.9,1340,0.4,14,0,24,0
2,4,9,0,0,教養娯楽,24980,9.5,-21.7,32026,10.1,24413,9.4,20864,8.5
2,5,9,1,0,教養娯楽用耐久財,2647,1,39.5,3308,1,2594,1,2190,0.9
2,5,9,2,0,教養娯楽用品,4776,1.8,-21.5,5329,1.7,4734,1.8,3465,1.4
2,5,9,3,0,書籍・他の印刷物,4441,1.7,-1.2,4234,1.3,4461,1.7,4565,1.9
2,5,9,4,0,教養娯楽サービス,13118,5,-32.5,19156,6,12624,4.9,10643,4.3
2,6,9,4,1,宿泊料,686,0.3,-62.6,689,0.2,689,0.3,572,0.2
2,6,9,4,2,パック旅行費,1348,0.5,-74.8,294,0.1,1449,0.6,1397,0.6
2,6,9,4,3,月謝類,1939,0.7,-7.2,4362,1.4,1749,0.7,750,0.3
2,6,9,4,4,他の教養娯楽サービス,9145,3.5,-9.9,13811,4.3,8737,3.4,7923,3.2
2,4,10,0,0,その他の消費支出,45919,17.4,-15.4,49621,15.6,45693,17.6,45528,18.5
2,5,10,1,0,諸雑費,19414,7.4,-18.4,22490,7.1,19141,7.4,18016,7.3
2,6,10,1,1,理美容サービス,2983,1.1,-19.6,2733,0.9,3007,1.2,2825,1.2
2,6,10,1,2,理美容用品,3806,1.4,-11.2,5742,1.8,3640,1.4,2998,1.2
2,6,10,1,3,身の回り用品,854,0.3,-47.6,1527,0.5,797,0.3,585,0.2
2,6,10,1,4,たばこ,679,0.3,-5.8,941,0.3,659,0.3,294,0.1
2,6,10,1,5,他の諸雑費,11092,4.2,-17.5,11547,3.6,11039,4.3,11314,4.6
2,5,10,2,0,こづかい,6052,2.3,3.3,5590,1.8,6109,2.4,5738,2.3
2,5,10,3,0,交際費,19405,7.4,-18.6,16027,5,19751,7.6,21629,8.8
2,6,10,3,0,食料,4410,1.7,-24.4,5572,1.8,4341,1.7,4454,1.8
2,6,10,3,0,家具・家事用品,81,0,-42.6,360,0.1,55,0,16,0
