項目,階層,項目名,都平均／実数（円）,都平均／負担率（％）,都平均／対前年増加率（％）,第1階層／実数（円）,第1階層／負担率（％）,第2階層／実数（円）,第2階層／負担率（％）,第3階層／実数（円）,第3階層／負担率（％）,第4階層／実数（円）,第4階層／負担率（％）,第5階層／実数（円）,第5階層／負担率（％）,第6階層／実数（円）,第6階層／負担率（％）,第7階層／実数（円）,第7階層／負担率（％）
0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,調査世帯数,365,-,-,53,-,53,-,56,-,53,-,52,-,50,-,49,-
0,0,世帯人員,3.3,-,-,3.11,-,3.21,-,3.19,-,3.43,-,3.34,-,3.33,-,3.46,-
0,0,有業人員,1.71,-,-,1.59,-,1.72,-,1.52,-,1.7,-,1.76,-,1.85,-,1.84,-
0,0,世帯主平均年齢,49.4,-,-,55,-,51,-,47.7,-,46.8,-,47.6,-,49.8,-,48.1,-
0,0,消費支出,343451,-,-4.8,251098,-,267994,-,300197,-,323101,-,367986,-,413225,-,483110,-
0,0,公共的料金,99687,29,-5.3,73661,29.3,84597,31.6,96154,32,93083,28.8,107798,29.3,118100,28.6,124482,25.8
1,0,公共料金等,60244,17.5,-8.3,44922,17.9,53521,20,59825,19.9,58597,18.1,60991,16.6,72098,17.4,71651,14.8
1,1,米,1960,0.6,6.4,1775,0.7,1846,0.7,1825,0.6,2178,0.7,1994,0.5,2098,0.5,1974,0.4
1,1,食塩,36,0,12.5,42,0,34,0,24,0,33,0,32,0,51,0,33,0
1,1,学校給食,1037,0.3,-28.2,646,0.3,593,0.2,1121,0.4,1087,0.3,1231,0.3,1416,0.3,1181,0.2
1,1,公営家賃,2998,0.9,-4,2342,0.9,5314,2,4215,1.4,1990,0.6,2916,0.8,2863,0.7,1293,0.3
1,1,電気代,9458,2.8,-3,7777,3.1,8695,3.2,9498,3.2,9900,3.1,9878,2.7,10379,2.5,9998,2.1
1,1,都市ガス,5292,1.5,-7.4,4622,1.8,5008,1.9,4838,1.6,5781,1.8,5141,1.4,5648,1.4,5957,1.2
1,1,上下水道料,5394,1.6,5.5,5072,2,4956,1.8,4945,1.6,5372,1.7,5564,1.5,5769,1.4,6135,1.3
1,1,医科診療代,3219,0.9,-8.2,2661,1.1,3029,1.1,2569,0.9,2702,0.8,2945,0.8,4647,1.1,4064,0.8
1,1,歯科診療代,2980,0.9,11.4,2188,0.9,1023,0.4,4438,1.5,2546,0.8,1507,0.4,5385,1.3,3769,0.8
1,1,出産入院料,199,0.1,-40.8,-,-,-,-,766,0.3,196,0.1,416,0.1,-,-,-,-
1,1,他の入院料,874,0.3,-16.8,761,0.3,1533,0.6,216,0.1,1425,0.4,1120,0.3,369,0.1,667,0.1
1,1,鉄道運賃,2241,0.7,-49.2,1593,0.6,1026,0.4,1182,0.4,2027,0.6,2438,0.7,3752,0.9,3690,0.8
1,1,鉄道通学定期代,387,0.1,-56.4,230,0.1,97,0,325,0.1,310,0.1,541,0.1,452,0.1,746,0.2
1,1,鉄道通勤定期代,3651,1.1,-13.2,547,0.2,2478,0.9,2801,0.9,4060,1.3,4812,1.3,4824,1.2,5926,1.2
1,1,バス代,298,0.1,-35.2,120,0,162,0.1,280,0.1,332,0.1,379,0.1,339,0.1,478,0.1
1,1,バス通学定期代,88,0,-45,-,-,19,0,12,0,64,0,229,0.1,49,0,248,0.1
1,1,バス通勤定期代,111,0,98.2,7,0,2,0,134,0,67,0,125,0,136,0,315,0.1
1,1,タクシー代,532,0.2,-16.5,288,0.1,350,0.1,462,0.2,452,0.1,586,0.2,522,0.1,1061,0.2
1,1,航空運賃,399,0.1,-71.8,466,0.2,87,0,296,0.1,196,0.1,208,0.1,738,0.2,807,0.2
1,1,郵便料,436,0.1,2.1,551,0.2,274,0.1,336,0.1,241,0.1,317,0.1,429,0.1,970,0.2
1,1,固定電話通信料,1177,0.3,-10.3,1251,0.5,1123,0.4,1176,0.4,1064,0.3,1079,0.3,1435,0.3,1102,0.2
1,1,携帯電話通信料,11770,3.4,0.5,7847,3.1,10651,4,11806,3.9,12466,3.9,11821,3.2,13568,3.3,14195,2.9
1,1,ＮＨＫ放送受信料,1138,0.3,2.7,1011,0.4,1271,0.5,1251,0.4,1099,0.3,1192,0.3,825,0.2,1337,0.3
